S_NS1_Ca_028_v1v9_444	2.7.8.41
S_NS1_Ca_028_v1v9_445	4.2.1.126
S_NS1_Ca_028_v1v9_446	2.6.1.83
S_NS1_Ca_028_v1v9_447	2.7.7.27
S_NS1_Ca_028_v1v9_448	2.7.7.27
S_NS1_Ca_028_v1v9_449	1.3.1.31
S_NS1_Ca_028_v1v9_450	1.15.1.2
S_NS1_Ca_028_v1v9_451	2.7.1.199
S_NS1_Ca_028_v1v9_452	2.10.1.1
S_NS1_Ca_028_v1v9_453	6.3.2.8
S_NS1_Ca_028_v1v9_454	6.3.4.21
S_NS1_Ca_028_v1v9_455	2.7.1.208
S_NS1_Ca_028_v1v9_456	2.7.7.85
S_NS1_Ca_028_v1v9_457	2.7.1.205
S_NS1_Ca_028_v1v9_458	2.7.1.205
S_NS1_Ca_028_v1v9_459	2.7.1.205
S_NS1_Ca_028_v1v9_460	2.7.1.205
S_NS1_Ca_028_v1v9_461	2.7.1.205
S_NS1_Ca_028_v1v9_462	2.7.1.205
S_NS1_Ca_028_v1v9_463	2.4.2.22
S_NS1_Ca_028_v1v9_464	2.7.9.3
S_NS1_Ca_028_v1v9_465	2.7.1.196
S_NS1_Ca_028_v1v9_466	2.7.1.196
S_NS1_Ca_028_v1v9_467	2.7.1.196
S_NS1_Ca_028_v1v9_468	2.7.1.196
S_NS1_Ca_028_v1v9_469	2.7.1.196
S_NS1_Ca_028_v1v9_470	2.7.1.196
S_NS1_Ca_028_v1v9_471	2.9.1.1
S_NS1_Ca_028_v1v9_472	3.6.3.29
S_NS1_Ca_028_v1v9_473	4.1.99.22
S_NS1_Ca_028_v1v9_474	4.6.1.17
S_NS1_Ca_028_v1v9_475	2.7.1.191
S_NS1_Ca_028_v1v9_476	3.6.1.23
S_NS1_Ca_028_v1v9_477	2.7.1.218
S_NS1_Ca_028_v1v9_478	1.19.1.1
S_NS1_Ca_028_v1v9_479	1.19.1.1
S_NS1_Ca_028_v1v9_480	1.18.1.2
S_NS1_Ca_028_v1v9_481	1.18.1.2
S_NS1_Ca_028_v1v9_482	1.3.1.98
S_NS1_Ca_028_v1v9_483	1.3.1.98
S_NS1_Ca_028_v1v9_484	4.4.1.21
S_NS1_Ca_028_v1v9_485	1.1.5.3
S_NS1_Ca_028_v1v9_486	3.2.2.9
S_NS1_Ca_028_v1v9_487	5.1.1.13
S_NS1_Ca_028_v1v9_488	2.2.1.2
S_NS1_Ca_028_v1v9_489	3.5.1.24
S_NS1_Ca_028_v1v9_490	1.1.1.77
S_NS1_Ca_028_v1v9_491	4.2.1.53
S_NS1_Ca_028_v1v9_492	3.5.1.1
S_NS1_Ca_028_v1v9_493	1.1.1.6
S_NS1_Ca_028_v1v9_494	1.1.1.6
S_NS1_Ca_028_v1v9_495	1.1.1.6
S_NS1_Ca_028_v1v9_496	2.8.1.4
S_NS1_Ca_028_v1v9_497	2.8.4.5
S_NS1_Ca_028_v1v9_498	4.1.1.49
S_NS1_Ca_028_v1v9_499	6.3.5.4
S_NS1_Ca_028_v1v9_500	4.2.3.1
S_NS1_Ca_028_v1v9_501	3.4.21.88
S_NS1_Ca_028_v1v9_502	1.1.1.31
S_NS1_Ca_028_v1v9_503	3.6.1.31
S_NS1_Ca_028_v1v9_504	3.6.1.31
S_NS1_Ca_028_v1v9_505	2.4.1.315
S_NS1_Ca_028_v1v9_506	3.1.3.11
S_NS1_Ca_028_v1v9_507	2.6.1.52
S_NS1_Ca_028_v1v9_508	5.1.3.9
S_NS1_Ca_028_v1v9_509	5.1.1.3
S_NS1_Ca_028_v1v9_510	2.1.1.171
S_NS1_Ca_028_v1v9_511	2.7.6.2
S_NS1_Ca_028_v1v9_512	3.4.17.19
S_NS1_Ca_028_v1v9_513	2.7.7.12
S_NS1_Ca_028_v1v9_514	2.7.7.12
S_NS1_Ca_028_v1v9_515	2.4.1.21
S_NS1_Ca_028_v1v9_516	3.4.11.21
S_NS1_Ca_028_v1v9_517	2.7.7.72
S_NS1_Ca_028_v1v9_518	3.4.13.19
