Reaction	EC-Number	In-Pathway	Common-Name	Names	Enzymes of a reaction
RXN-15090	EC-2.3.1.22	PWY-7420	2-monoacylglycerol acyltransferase	Chemical Reactions	YOR245C-MONOMER
RXN-14393	EC-1.1.1.35 // EC-1.1.1.211	PWY0-1337		Chemical Reactions	HS01481-MONOMER // MONOMER-12057 // MONOMER-12058 // MONOMER-12059 // MONOMER-12060 // CPLX-6986 // CPLX-9533 // HS03720-MONOMER // AT3G06860-MONOMER // CPLX-9268 // AT4G29010-MONOMER // G7212-MONOMER // FADB-MONOMER
RXN-20977	EC-2.4.1.M56	PWY-6036		Chemical Reactions	MONOMER-20988
RXN-13141	EC-4.2.1.136	PWY-8136		Chemical Reactions	EG11758-MONOMER
RXN3O-581	EC-2.7.1.227	SPHINGOLIPID-SYN-PWY	inositol phosphoceramide synthase	Chemical Reactions	CPLX-8573
RXN-14220		RXN-14199		Chemical Reactions	BSU30630-MONOMER // HS09501-MONOMER
GALACTOLIPID-O-ACYLTRANSFERASE-RXN	EC-2.3.1.134			Chemical Reactions	
RXN-9605	EC-1.3.1	PWY-5984		Chemical Reactions	
RXN-9979		PWY-6133		Chemical Reactions	
HOLOCYTOCHROME-C-SYNTHASE-RXN	EC-4.4.1.17	PWY-8146 // PWY-8145		Chemical Reactions	HS00120-MONOMER // CPLX-9491
RXN-11517	EC-1.14.13.178	PWY-6538	paraxanthine <i>N</i>1-demethylase (NADH)	Chemical Reactions	CPLX-8443
RXN-863	EC-4.1.99.11	PWY-81		Chemical Reactions	CPLX-9308 // CPLX-724
RXN-8769	EC-6.3.5.11	PWY-7377		Small-Molecule Reactions	MONOMER-13217
RXN-23549	EC-1.14.14.184	PWY-8407		Small-Molecule Reactions	MONOMER-124253
RXN-9361	EC-2.1.1.163	PWY-5890		Chemical Reactions	MONOMER-13809 // MONOMER-13820
RXN-7828	EC-2.4.1	PWY-5268 // PWY-5139		Chemical Reactions	MONOMER-12013 // MONOMER-12012
RXN-23483	EC-1.1.1.141	PWY-8399		Chemical Reactions	
DIHYDROXYISOVALDEHYDRAT-RXN	EC-4.2.1.9	VALSYN-PWY // PWY-7111		Chemical Reactions	DIHYDROXYACIDDEHYDRAT-CPLX // MONOMER-18815 // CPLX-7025
PROCOLLAGEN-PROLINE-3-DIOXYGENASE-RXN	EC-1.14.11.7	PWY-7894		Chemical Reactions	CPLX-9237
RXN-22587	EC-3.2.1.26	PWY-8314		Chemical Reactions	
RXN-16014	EC-1.13.11	PWY-7582		Chemical Reactions	CPLX-8942
RXN-10721		PWY-6309 // RXN-21859		Chemical Reactions	CPLX66-375 // CPLX-7119
RXN-5061	EC-1.5.7.1	CODH-PWY // PWY-2201		Chemical Reactions	CPLX-7598
RXN-21529	EC-2.1.1.M76	PWY-5883		Chemical Reactions	MONOMER-21267
RXN-19310	EC-3.1.3.73	PWY-7964		Chemical Reactions	MONOMER-13213
RXN-7589	EC-1.14.11	PWY-5036		Chemical Reactions	MONOMER-11681 // AT4G25420-MONOMER
RXN-22131	EC-2.4.1	PWY-8220		Chemical Reactions	MONOMER-21530
CYSPH-RXN	EC-2.5.1.160	PWY-702		Chemical Reactions	CPLX-1344
RXN-17347	EC-1.14.14.131	PWY-7748		Chemical Reactions	MONOMER-19670
1.1.1.274-RXN	EC-1.1.1.274	KETOGLUCONMET-PWY // PWY-7165		Chemical Reactions	MONOMER-17832
RXN-13102		PWY-6996	tetrahydrodaidzein dehydratase	Chemical Reactions	MONOMER-17165
RXN-12661	EC-1.14.13.171	PWY-6919		Chemical Reactions	MONOMERMETA-16851
SPERMIDINESYN-RXN	EC-2.5.1.16	BSUBPOLYAMSYN-PWY		Chemical Reactions	SPERMIDINESYN-CPLX // YPR069C-MONOMER // CPLX-6907 // SPEEBACSU-MONOMER
PGLYCDEHYDROG-RXN	EC-1.1.1.95	SERSYN-PWY // PWY-8010		Chemical Reactions	PGLYCDEHYDROG-CPLX // MONOMER-20569 // CPLX66-347 // AT1G17745-MONOMER // CPLX-6101
RXN-19085	EC-1.14.13	PWY-7937		Chemical Reactions	
RXN-17867	EC-2.3.1.258			Chemical Reactions	ENSG00000121579-MONOMER
URIDINEKIN-RXN	EC-2.7.1.48	PWY-7193		Chemical Reactions	UDK-MONOMER // YNR012W-MONOMER // HS07003-MONOMER // HS05429-MONOMER // AT5G40870-MONOMER
1.1.1.288-RXN	EC-1.1.1.288	PWY-695		Chemical Reactions	AT1G52340-MONOMER
RXN-9858	EC-1.14.12.26	PWY-6083		Chemical Reactions	CPLX-7696 // MONOMER-41
MANNITOL-2-DEHYDROGENASE-NADP+-RXN	EC-1.1.1.138			Chemical Reactions	
DEMETHYLMACROCIN-O-METHYLTRANSFERASE-RXN	EC-2.1.1.102	PWY-7415		Chemical Reactions	CPLX-8797
RXN-8382	EC-2.5.1.139	PWY-5365		Chemical Reactions	MONOMER-12568
RXN18C3-26	EC-2.3.1	PWY18C3-8	sucrose 4-2-methylbutanoyltransferase	Chemical Reactions	MONOMER18C3-31 // MONOMER18C3-30
RXN1G-377	EC-4.2.1.M1	PWYG-321		Chemical Reactions	CPLX-7729
RXN-13775	EC-4.2.1	PWY-7130		Chemical Reactions	MONOMER-17725
RXN-10051	EC-3.1.1.81			Chemical Reactions	MONOMER-14588
RXN-23345		PWY-8389 // PWY-8388		Chemical Reactions	MONOMER-124189 // MONOMER-124178
RXN-13339	EC-1.5.3.20			Chemical Reactions	
RXN-17612	EC-1.14.13.M36	PWY-7779		Chemical Reactions	CPLX-9108
RXN-12843	EC-5.4.99.48			Chemical Reactions	MONOMER-17970
RXN-11150		PWY-6415	&alpha;-D-galacturonate 1-phosphate phosphatase	Chemical Reactions	
RXN-16379	EC-1.14.19.21	PWY-7300		Chemical Reactions	MONOMER-18095 // MONOMER-18094 // MONOMER-18486
RXN-1064	EC-1.11.2.3	PWY-321		Chemical Reactions	MONOMER-14297
RXN-15336	EC-2.3.1	PWY-7452	cyanidin 3-<i>O</i>-glucoside-3",6"-<i>O</i>-dimalomyltransferase	Chemical Reactions	MONOMER-18527
RXN-10751	EC-1.14.99.69			Chemical Reactions	STM4471-MONOMER
RXN-15384	EC-1.14.14	PWY-7473	12,13&beta;-epoxy-&beta;-amyrin monohydroxylase	Chemical Reactions	MONOMER-18577
GLUCOSE-16-BISPHOSPHATE-SYNTHASE-RXN	EC-2.7.1.106			Chemical Reactions	
RXN-24748		PWY-8540 // RXN-24749		Chemical Reactions	MONOMER-124739
RXN-22823	EC-2.8.3.28			Chemical Reactions	
ISOCITDEH-RXN	EC-1.1.1.42	PWY-5913 // TCA // FERMENTATION-PWY // P23-PWY // PWY-6549 // P105-PWY // PWY-6969 // PWY-7254 // PWY-6728 // PWY-7268 // PWY-7124 // REDCITCYC		Small-Molecule Reactions	ISOCITHASE-CPLX // SYNPCC7942_1719-MONOMER // CPLX-8684 // MONOMER-11847 // MONOMER-16258 // AT1G65930-MONOMER // CPLX-7873 // CPLX-7872 // MONOMER-13167 // CPLX-7039 // CPLX-7396
RXN-19706	EC-2.4.1	PWY-5672		Chemical Reactions	
RXN-16534	EC-2.1.1	PWY-7653		Chemical Reactions	MONOMER-19268
RXN1G-637	EC-1.1.1.M9	PWYG-321	cis,cis-delta11,23-3-oxo-C42:2-[acyl-carrier protein] reductase	Chemical Reactions	CPLX-8830 // CPLX-7646 // CPLX-8167 // YKL055C-MONOMER // SCO1815-MONOMER // SCO1346-MONOMER // BSU15910-MONOMER // ATU5465-MONOMER // G185E-5530-MONOMER // G185E-4363-MONOMER // CPLX0-8005
RXN-12091	EC-1.5.3.13 // EC-1.5.3.17	PWY-6117		Chemical Reactions	MONOMER-14466 // CPLX3O-10519
RXN-18827	EC-4.2.3.173			Chemical Reactions	
RXN-17610	EC-1.14.13.229	PWY-7779		Chemical Reactions	CPLX-9109
RXN-20112		RXN-20115		Chemical Reactions	MONOMER-20665
RXN0-5297	EC-3.2.1.M25			Chemical Reactions	
RXN-9638		PWY-5990 // 1.14.13.117-RXN	<i>N</i>-hydroxy-L-isoleucine <em>N</em>-monooxygenase	Chemical Reactions	MONOMER-6667 // MONOMER-6683 // MONOMER-6681 // MONOMER-6682
RXN0-4281	EC-1.1.1.21	PWY-6786 // PWY-5453		Chemical Reactions	G6967-MONOMER // MONOMER0-148 // G7558-MONOMER // MONOMER0-149 // CPLX0-7667 // AT2G37760-MONOMER // AT2G37770-MONOMER // AT2G24190-MONOMER // AT3G04000-MONOMER // AT1G54870-MONOMER // HS01502-MONOMER // CPLX3O-20
RXN-20308	EC-2.3.1	PWY-8038		Chemical Reactions	CPLX-9386
RXN-12845	EC-5.4.99.52			Chemical Reactions	AT1G78500-MONOMER
RXN-20125	EC-1.1.1.417	PWY-8026		Chemical Reactions	MONOMER-20666
3-SULFINYL-PYRUVATE-SPON-RXN	EC-3.13.1	CYSTEINE-DEG-PWY		Chemical Reactions	
RXN-11440	EC-4.4.1.M2	PWYQT-4472		Chemical Reactions	AT2G20610-MONOMER
RXN-14260	EC-2.4.1.25			Chemical Reactions	AMYLOMALT-MONOMER
RXN-20271		PWY-8035		Chemical Reactions	
RXN-16343	EC-1.14.19	PWY-7629	yatein synthase	Chemical Reactions	
RXN-13560	EC-3.5.4	PWY-7081	benzene-1,4-diol synthase	Chemical Reactions	
RXN-24245		RXN-24232		Chemical Reactions	MONOMER-124534
RXN-20556	EC-3.1.4.46	PWY-8051		Chemical Reactions	HS00157-MONOMER
RXN-18300	EC-2.4.1	PWY-7838		Chemical Reactions	HS11104-MONOMER // HS10855-MONOMER
RXN-10468	EC-1.11.1.8	PWY-6241		Chemical Reactions	MONOMER-14809
RXN-9621		PWY-5987		Chemical Reactions	
LYSDECARBOX-RXN	EC-4.1.1.18	PWY-5468 // PWY0-461 // PWY-8558 // PWY0-1303 // PWY-6328 // PWY0-1601 // PWY-6381 // PWY-6375 // PWY-6376		Chemical Reactions	LYSDECARBOX-CPLX // LDC2-CPLX // MONOMER-15217 // MONOMER-15208 // SCO2782-MONOMER // MONOMER-15076 // MONOMER-12938 // CPLX-7153 // MONOMER-124846
3.5.5.6-RXN	EC-3.5.5.6			Chemical Reactions	
RXN-13124	EC-2.4.1.301	PWY-7000		Chemical Reactions	MONOMER-17222
RXN-17208	EC-2.1.1.M12			Chemical Reactions	G185E-7206-MONOMER
RXN-21820	EC-3.1.1.117			Chemical Reactions	
RXN-23688		PWY-8434		Small-Molecule Reactions	
RXN-24759	EC-1.14.15	PWY-8541		Chemical Reactions	MONOMER-124742
RXN0-1941	EC-1.1.1			Chemical Reactions	MONOMER0-148
R227-RXN		P241-PWY		Chemical Reactions	
RXN-10807	EC-3.1.4	PWY-7366	phosphatidylglycerol phospholipase C activity	Chemical Reactions	G3O-34097-MONOMER
RXN-16093	EC-1.14.20	PWY-7599		Chemical Reactions	MONOMER-19056
HYDROXYPYRUVATE-DECARBOXYLASE-RXN	EC-4.1.1.40			Chemical Reactions	
RXN-24924				Chemical Reactions	
3.5.5.2-RXN	EC-3.5.5.2	PWY-6923		Chemical Reactions	MONOMER-16942
RXN-8134	EC-3.2.1.147	PWY-5267		Chemical Reactions	CPLX-7121 // CPLX-7120 // AT5G25980-MONOMER // AT5G26000-MONOMER
RXN-19175	EC-2.4.1.M35	PWY-7946		Chemical Reactions	MONOMER-20374 // G18NG-10193-MONOMER
RXN-25412	EC-3.5.1.141	PWY-8594		Small-Molecule Reactions	CPLX-85556
RXN-8477	EC-2.4.1	PWY-5397		Chemical Reactions	
2-METHYLCITRATE-DEHYDRATASE-RXN	EC-4.2.1.79	PWY0-42		Chemical Reactions	G6199-MONOMER // MONOMER-64
RXN-18787	EC-4.2.3.160			Chemical Reactions	
RXN-22415	EC-2.3.1	PWY-8272		Chemical Reactions	
RXN-20004	EC-2.4.1.369	PWY-8023		Chemical Reactions	MONOMER-20653
RXN-6380	EC-2.7.8.35	PWY-6397		Chemical Reactions	G185E-5476-MONOMER
RXN-23643	EC-4.2.1.59	PWY-8427		Chemical Reactions	
RXN-18607	EC-2.4.1.346	PWY-7885		Chemical Reactions	G185E-6398-MONOMER
RXN-22458	EC-2.4.1.385			Chemical Reactions	
RXN-13304	EC-4.2.1.134	PWY-7036		Chemical Reactions	MONOMER-12057 // MONOMER-12058 // MONOMER-12059 // MONOMER-12060 // AT4G29010-MONOMER // HS03720-MONOMER // CPLX-9532 // CPLX-9268 // HS01481-MONOMER // AT3G06860-MONOMER // G7212-MONOMER // FADB-MONOMER // AT5G10480-MONOMER // MONOMER3O-85 // CPLX-7066 // MONOMER-17592 // CPLX66-275 // CPLX-8704 // MONOMER-18955 // MONOMER-124751
RXN-10906	EC-2.1.1.6	PWY-6342		Chemical Reactions	HS01791-MONOMER
RXN-13635	EC-1.14.11.45			Chemical Reactions	MONOMER-17595
RXN-11732	EC-4.1.2.47			Chemical Reactions	CPLX-4481
RXN-14791	EC-4.2.1.119	PWY-7339	enoyl-CoA hydratase	Chemical Reactions	CPLX-8704
RXN-14827	EC-4.1.1	PWY-7352	10-carboxy-3-deoxycarminomycin decarboxylase	Chemical Reactions	
RXN-7597	EC-3.2.2.25	PWY-5037 // PWY-5039 // PWY-5038		Chemical Reactions	MONOMER-11672
RXN-4881	EC-4.2.3.28	PWY-2981		Chemical Reactions	DTC1-MONOMER
2.4.99.8-RXN	EC-2.4.3.8			Chemical Reactions	HS03456-MONOMER
RXN66-681	EC-3.4.21	PWY66-432		Chemical Reactions	CPLX66-1723
RXN-9407	EC-1.14.13.107	PWY-5923		Chemical Reactions	MONOMER-13976
RXN66-479	EC-1.2.1.3	PWY66-389		Chemical Reactions	MONOMER-5642 // MONOMER-1082 // CPLX66-81 // MONOMER-13665 // MONOMER-13666 // YMR170C-MONOMER // YMR169C-MONOMER // HS01061-MONOMER // CPLX66-396 // G18NG-12413-MONOMER
RXN-19009	EC-2.4.1.214	PWY-7920		Chemical Reactions	AT1G49710-MONOMER // AT3G19280-MONOMER
RXN-24956	EC-1.16.2.1	PWY-8553		Chemical Reactions	MONOMER-124822 // MONOMER-124824
RXN-17141	EC-2.7.4.M1			Chemical Reactions	MONOMER-19581
RXN-24286	EC-6.3.2.63			Small-Molecule Reactions	MONOMER-124849 // CPLX-7950
RXN-21122		PWY-8117		Chemical Reactions	MONOMER-21076
RXN-14102	EC-1.1.1.21			Chemical Reactions	HS01502-MONOMER
RXN-1803	EC-2.4.1.10	PWY-822		Chemical Reactions	BSU34450-MONOMER // CPLX-1925
RXN-18360	EC-5.5.1.11	14DICHLORBENZDEG-PWY		Chemical Reactions	MONOMER-101 // CPLX-7703 // CPLX-7712
RXN-24372	EC-5.5.1	PWY-8497		Chemical Reactions	MONOMER-124571
RXN-4242	EC-1.3.1	PWY-2541		Chemical Reactions	
RXN-21698	EC-4.2.1.59	PWY-8175		Chemical Reactions	CPLX-7648 // G66-33210-MONOMER // G3O-31118-MONOMER // CPLX1UA-2 // BSU36370-MONOMER // HMPREF1322_RS03560-MONOMER // FABZ-CPLX // FABA-CPLX
RXN1G-240	EC-1.1.1.M9	PWYG-321	cis-delta9-3-oxo-C28:1-[acyl-carrier protein] reductase	Chemical Reactions	CPLX-8830 // YKL055C-MONOMER // SCO1815-MONOMER // SCO1346-MONOMER // BSU15910-MONOMER // ATU5465-MONOMER // G185E-5530-MONOMER // G185E-4363-MONOMER // CPLX0-8005
RXN0-7317	EC-2.6.1.82	PWY0-461 // PWY-6328		Chemical Reactions	CPLX0-8159 // MONOMER-15077
RXN-19700	EC-2.4.1.367 // EC-2.4.1.366	PWY-5672		Chemical Reactions	MONOMER-20535 // MONOMER-20536
RXN-21193		PWY-8118		Chemical Reactions	MONOMER-21085
RXN-15440		PWY-2981 // RXN-15437	<i>syn</i>-stemod-13(17)-en-19-al monooxygenase	Chemical Reactions	MONOMER-18613
RXN-23127	EC-3.1.3.64	PWY-8365		Chemical Reactions	
RXN-12955	EC-1.1.1.322			Chemical Reactions	
RXN-8296	EC-1.14.19.23	PWY-782		Chemical Reactions	CPLX-1904
RXN-23853		PWY-8439		Chemical Reactions	CPLXFG-4006
RXN-16975	EC-2.4.1.173			Chemical Reactions	AT3G07020-MONOMER // MONOMER-16204
RXN-15586	EC-1.13.12	PWY-8437 // PWY-7513	THN monooxygenase	Chemical Reactions	MONOMER-124376 // CPLX-8870
RXN-24134	EC-1.17.5.2			Chemical Reactions	CPLX-8093
VITEXIN-BETA-GLUCOSYLTRANSFERASE-RXN	EC-2.4.1.105	PWY-6015		Chemical Reactions	MONOMER-14160
RXN-16861	EC-1.1.1	PWY-7689		Chemical Reactions	MONOMER-19410
RXN0-6485	EC-3.1.26.12	PWY0-1479		Chemical Reactions	CPLX0-3461
RXN-24403	EC-2.4.1			Chemical Reactions	MONOMER-124580
RXN-11679	EC-1.14.12	PWY5F9-3233		Chemical Reactions	CPLX5F9-21 // CPLX5F9-3251
RXN-18668	EC-2.3.1.84	PWY-6801		Chemical Reactions	MONOMER-16564
3.1.1.77-RXN	EC-3.1.1.77			Chemical Reactions	
RXN-9369		PWY-5290 // PWY-8069 // RXN-12961		Chemical Reactions	MONOMER-20519 // MONOMER-13910 // CPLX0-7667 // G6190-MONOMER // G6269-MONOMER // CPLX0-8549
RXN-24281				Chemical Reactions	
RXN-25418	EC-4.1.2.y			Chemical Reactions	CPLX-85557
RXN-19033		THIOSULFATE--THIOL-SULFURTRANSFERASE-RXN		Chemical Reactions	EG10780-MONOMER // MONOMER-20304 // G3O-33771-MONOMER
RXN-8005	EC-2.4.1	PWY-5160		Chemical Reactions	MONOMER-12113
RXN66-567	EC-1.1.1.213	PWY-7455		Chemical Reactions	HS07754-MONOMER // HS10741-MONOMER // HS03054-MONOMER // HS10739-MONOMER
4.1.1.76-RXN	EC-4.1.1.76			Chemical Reactions	
TRYPTOPHAN-5-MONOOXYGENASE-RXN	EC-1.14.16.4	PWY-6030		Chemical Reactions	CPLX66-308 // CPLX-7488
RXN-8478		PWY-5399		Chemical Reactions	
HOMOCYSTEINE-S-METHYLTRANSFERASE-RXN	EC-2.1.1.10			Chemical Reactions	AT3G25900-MONOMER // AT3G63250-MONOMER
RXN-22239	EC-3.6.1.54	PWY-8245		Chemical Reactions	HMPREF1322_RS01980-MONOMER
RXN-9023	EC-2.4.1.25			Chemical Reactions	HS08717-MONOMER // YPR184W-MONOMER
RXN-15802	EC-1.14.99.52			Chemical Reactions	
RXN-23201	EC-6.2.1	PWY-8374		Chemical Reactions	CPLX-9755
RXN-14016	EC-1.14.13	PWY-7175 // RXN-14018		Chemical Reactions	MONOMER-19198 // MONOMER-19189 // MONOMER-18189 // MONOMER-17879
RXN-16846	EC-2.4.1	PWY-6024	vitexin 2;;-<i>O</i>-arabinoside 7-<i>O</i>-galactosyltransferase	Chemical Reactions	MONOMER-19398
RXN-14793	EC-2.3.1.16	PWY-7339		Chemical Reactions	CPLX-8705
RXN-13303	EC-4.2.1.134	PWY-7036		Chemical Reactions	AT5G10480-MONOMER // MONOMER3O-85 // CPLX-7066 // MONOMER-17592 // CPLX66-275 // CPLX-8704 // MONOMER-18955 // MONOMER-124751
RXN-8317	EC-1.14.19.35	PWY-762		Chemical Reactions	CPLX-1906 // CPLX-1905
RXN-21541	EC-2.4.1.M65	PWY-8447		Chemical Reactions	MONOMER-21278
RXN-17088		PWY-6192		Chemical Reactions	
RXN0-6727	EC-4.2.1.136	PWY-6938-1		Chemical Reactions	EG11758-MONOMER
RXN-17596		PWY-7777		Chemical Reactions	
RXN-14189	EC-1.11.1.6			Chemical Reactions	
4.2.3.25-RXN	EC-4.2.3.25	PWY-7141		Chemical Reactions	MONOMER-12765 // MONOMER-17912 // MONOMER-13464
RXN-22639	EC-3.1.1.120	PWY-8318		Chemical Reactions	MONOMER-21809
3.1.1.66-RXN	EC-3.1.1.66			Chemical Reactions	
DIMETHYLARGININASE-RXN	EC-3.5.3.18			Chemical Reactions	HS03493-MONOMER // HS00016-MONOMER
RXN-25632	EC-3.1.1.1			Chemical Reactions	
RXN-15647	EC-2.7.1.185	PWY-7524		Chemical Reactions	MONOMER-18735
RXN-9064		PWY-5775		Chemical Reactions	
RXN0-5108	EC-3.6.1			Chemical Reactions	CPLX0-3971
RXN-17613	EC-1.1.1.M26	PWY-7779		Chemical Reactions	MONOMER-19842
RXN-15878	EC-1.17.7.3	NONMEVIPP-PWY		Chemical Reactions	EG10370-MONOMER
RXN66-622	EC-2.3.1.85 // EC-2.3.1.86	PWY-5994		Chemical Reactions	CPLX-7628 // YPL231W-MONOMER // G185E-6762-MONOMER
LINB2-RXN	EC-3.8.1.5	GAMMAHEXCHLORDEG-PWY		Chemical Reactions	LINBPSEPA-MONOMER
RXN-22224	EC-2.3.1	PWY-5679		Chemical Reactions	
+-NEOMENTHOL-DEHYDROGENASE-RXN	EC-1.1.1.208	PWY-3061		Chemical Reactions	AT3G61220-MONOMER // MONOMER-6721 // MONOMER-6701
RXN-2562	EC-2.1.1.95	PWY-1422		Chemical Reactions	SGL_RS15350-MONOMER // MONOMER-3282
RXN-11916	EC-3.2.1.144			Chemical Reactions	CPLX-8183
URACIL-5-CARBOXYLATE-DECARBOXYLASE-RXN	EC-4.1.1.66			Chemical Reactions	
RXN-21424		PWY-8147		Chemical Reactions	EG12053-MONOMER
RXN-13105		PWY-6998		Chemical Reactions	MONOMER-17176
RXN-14367	EC-1.1.1			Chemical Reactions	MONOMER-17953 // CPLX-8662 // CPLX0-8292
R83-RXN	EC-3.1.3.87	PWY-4361 // 3.1.3.77-RXN		Chemical Reactions	BSU13600-MONOMER // AT5G53850-MONOMER // MONOMER-1331
RXN-12774	EC-4.2.3.89			Chemical Reactions	
3.2.1.50-RXN	EC-3.2.1.50			Chemical Reactions	
RXN-21868	EC-2.4.1	PWY-8205 // PWY-8208		Chemical Reactions	MONOMER-21450 // MONOMER-21469
RXN-21841				Chemical Reactions	
RXN-19663	EC-4.2.1.M20			Chemical Reactions	MONOMER-20530
RXN-14276	EC-4.2.1.119	PWY-8542 // PWY-6920		Chemical Reactions	CPLX-7066 // MONOMER-17592 // CPLX66-275 // CPLX-8704 // MONOMER-18955 // MONOMER-124751
RXN-19361	EC-2.4.1.17	PWY-5874		Chemical Reactions	HS11970-MONOMER
RXN-18453	EC-1.14.99.M4			Chemical Reactions	MONOMER-12000
RXN-20858		RXN-20911 // PWY-8081		Chemical Reactions	G2T-7803-MONOMER // G2T-7805-MONOMER // G2T-7808-MONOMER
R312-RXN	EC-4.2.1	P345-PWY		Chemical Reactions	CPLX-8045 // MONOMER-2282
RXN-22504	EC-2.8.2.35	PWY-6568		Chemical Reactions	
RXN-14414	EC-1.14.14.119	PWY-7526		Chemical Reactions	MONOMER-18766
RXN-9730	EC-4.1.1.87	PWY-5794		Chemical Reactions	CPLX-7661
RXN-22516	EC-1.1.1.21			Chemical Reactions	HS01502-MONOMER
RXN-20942	EC-2.7.1.230			Chemical Reactions	BSU06640-MONOMER
RXN-19845	EC-6.2.1.65			Small-Molecule Reactions	MONOMER-15914
RXN-10014		PWY-6148		Chemical Reactions	
RXN-9098		PWY-5795		Chemical Reactions	
RXN-24880		PWY-7025		Chemical Reactions	MONOMER-124798
RXN-15321	EC-2.4.1	PWY-7449	cyanidin 3-<i>O</i>-glactoside 2"-<i>O</i>-xyloside glucosykltransferase	Chemical Reactions	
RXN-16016	EC-2.3.1	PWY-7583		Chemical Reactions	CPLX-8943
RXN-13104	EC-2.7.7	PWY-6998		Chemical Reactions	MONOMER-17174
2.7.8.23-RXN	EC-2.7.8.23			Chemical Reactions	
RXN-11771	EC-2.1.1.325	PWY-6650		Chemical Reactions	MONOMER-15959 // MONOMER-15958
RXN-13435	EC-3.1.2.2			Chemical Reactions	YJR019C-MONOMER
RXN-14725	EC-4.2.1.84			Chemical Reactions	CPLX-8044 // CPLX-2062
RXN-17813	EC-2.1.1.334	PWY-7793		Chemical Reactions	MONOMER-19896
XYLONATE-DEHYDRATASE-RXN	EC-4.2.1.82	PWY-8330 // PWY-6760 // PWY-8020 // PWY-7294 // PWY-7178		Chemical Reactions	G7910-MONOMER // G6141-MONOMER // CPLX-9343 // CPLX-8707 // CPLX-8262
RXN-17157	EC-6.3.2	PWY-7735		Chemical Reactions	MONOMER-19599
2.7.1.79-RXN	EC-2.7.1.79			Chemical Reactions	
QUINOLINATE-SYNTHA-RXN	EC-2.5.1.72	PWY-8352 // PWY-8277 // PWY-5316 // PWY-7342 // PYRIDNUCSYN-PWY		Chemical Reactions	CPLX0-7719 // AT5G50210-MONOMER // MONOMER-21960
RXN-22953	EC-2.4.1.221			Chemical Reactions	
RXN-17041	EC-2.3.1	PWY-7730	3-acetylneosolaniol acyltransferase	Chemical Reactions	MONOMER-19569
RXN-22482	EC-2.3.1.191	PWY-8283		Chemical Reactions	
R11-RXN	EC-2.8.3.1 // EC-2.8.3.8	P3-PWY // P162-PWY // PWY-8190 // PWY-5022 // PWY-5677 // PWY-5676		Chemical Reactions	MONOMER-13474 // MONOMER-6
RXN-18418		PWY-7760 // RXN-18419		Chemical Reactions	MONOMER-19714
ACTINOMYCIN-LACTONASE-RXN	EC-3.1.1.39			Chemical Reactions	
RXN-6544	EC-1.14.11	PWY-5036		Chemical Reactions	MONOMER-9709
RXN-15108	EC-1.14.15.33	PWY-7422		Chemical Reactions	MONOMER-18405
RXN-12230	EC-2.4.1.276			Small-Molecule Reactions	MONOMER-14939
RXN-14867				Chemical Reactions	CPLX-8734
RXN-9296	EC-2.7.1.161	PWY-6167		Chemical Reactions	MONOMER-13864
RXN-18945		RXN-19373 // PWY-7484		Chemical Reactions	MONOMER-18620
RXN-17650	EC-6.2.1.42	PWY-8151 // PWY-6946		Chemical Reactions	G185E-7792-MONOMER // MONOMER-21206
RXN-19959	EC-6.2.1.2			Chemical Reactions	EG12357-MONOMER // YER015W-MONOMER // AT3G05970-MONOMER // AT5G27600-MONOMER // HS06695-MONOMER // HS09445-MONOMER
2.3.1.167-RXN	EC-2.3.1.167	PWY-5660		Chemical Reactions	MONOMER-17464 // MONOMER-13414
2-OXOADIPATE-REDUCTASE-RXN	EC-1.1.1.172			Chemical Reactions	
RXN-19707	EC-3.1.3.106			Chemical Reactions	AT3G03520-MONOMER // G3O-30218-MONOMER
RXN-25342	EC-2.4.1			Chemical Reactions	MONOMER-125022
RXN-13773	EC-1.1.1	PWY-7130		Chemical Reactions	MONOMER-17723
RXN66-101		PWY66-201		Chemical Reactions	
RXN-10898		PWY-6341		Chemical Reactions	MONOMER-15128 // MONOMER-15127
RXN-14425	EC-1.1.1.234	PWY-7253		Chemical Reactions	MONOMER-18488 // MONOMER-17993 // MONOMER-17992 // MONOMER-17991
RXN-8892		PWY-5679		Small-Molecule Reactions	
RXN66-25	EC-5.3.3.5	PWY66-3		Chemical Reactions	CPLX66-182
RXN-11565	EC-1.5.1.43	PWY-6562		Chemical Reactions	MONOMER-15805 // FY484_RS08165-MONOMER
RXN-11141	EC-2.6.1.112			Chemical Reactions	
RXN-12494	EC-4.2.3.83	PWY-6836		Chemical Reactions	MONOMER-16739 // MONOMER-16738
RXN-9371		PWY-5290 // RXN-19643		Chemical Reactions	MONOMER-20520
RXN0-7160	EC-2.3.1.fh			Chemical Reactions	EG11207-MONOMER // EG12270-MONOMER // CPLX0-8189 // EG10850-MONOMER // EG10724-MONOMER // ENSG00000114779-MONOMER
RXN-17524	EC-1.3.1.44	PWY-7767		Chemical Reactions	
RXN-13426	EC-1.14.19.3	PWY-7049	&alpha;-linolenoyl-CoA &Delta;<sup>6</sup>-desaturase	Chemical Reactions	MONOMER-19096 // HS05918-MONOMER
2.8.2.29-RXN	EC-2.8.2.29	PWY-6558		Chemical Reactions	HS04557-MONOMER
RXN-10133		PWY-6200		Chemical Reactions	CPLX-7814
RXN-24523		PWY-8518		Chemical Reactions	CPLX-85486
