Reaction	EC-Number	In-Pathway	Common-Name	Names	Enzymes of a reaction
TRYPTOPHAN-AMINOTRANSFERASE-RXN	EC-2.6.1.57 // EC-2.6.1.27 // EC-2.6.1.1	PWY-8585 // PWY-8017 // PWY-581 // TRPIAACAT-PWY // PWY-5081 // TRPKYNCAT-PWY		Chemical Reactions	CPLX-9342 // MONOMER-8130 // CPLX-4802 // MONOMER-7806 // MONOMER-7401
RXN18C3-3	EC-1.14.14	PWY-8477 // PWY18C3-3 // PWY18C3-2		Chemical Reactions	MONOMER18C3-419 // MONOMER18C3-2 // MONOMER-124498
RXN-13848	EC-1.14.13	PWY-7151	3,6,7,4'-methylquercetagetin 2'-monooxygenase	Chemical Reactions	
1.1.3.41-RXN	EC-1.1.3.41			Chemical Reactions	MONOMER-14456
RXN-12278	EC-3.2.1.2	PWY-6724		Chemical Reactions	AT4G17090-MONOMER
RXN-18033	EC-2.7.8.M1			Chemical Reactions	
RXN-21729	EC-3.1.7.13	PWY-8177		Chemical Reactions	MONOMER-21312
RXN0-7386	EC-1.6.5.2			Chemical Reactions	DIHYDROPTERIREDUCT-CPLX
12-BETA-HYDROXYSTEROID-DEHYDROGENASE-RXN	EC-1.1.1.238	PWY-8256		Chemical Reactions	MONOMER-15707
RXN-12302	EC-3.2.1.41			Chemical Reactions	
RXN-10763				Chemical Reactions	
RXN-24012	EC-2.3.1.16	PWY-8463		Chemical Reactions	MONOMER-124463 // MONOMER-124462
RXN-19841		CAMALEXIN-SYN // PWY-8024 // RXN-20041 // RXN-19835		Chemical Reactions	AT2G30750-MONOMER // AT2G30770-MONOMER
RXN-16073	EC-1.14.14	PWY-7599		Chemical Reactions	MONOMER-19042
RXN0-949	EC-2.8.1.8	PWY0-1275 // PWY0-501		Chemical Reactions	CPLX0-782 // YOR196C-MONOMER
RXN-13659	EC-5.1.3	PWY-7104		Chemical Reactions	MONOMER-17631
RXN-13374	EC-1.13.11.63	PWY-6857		Chemical Reactions	CPLX-8549 // CPLX-8340 // CPLX-8474
RXN-24864	EC-2.7.11			Chemical Reactions	KDPD-CPLX // HS07962-MONOMER
