Pathways	Object ID	Names	Enzymes of pathway	Reactions of pathway	Ontology - pathway type	Ontology -  all instances of class	Species	Taxonomic-Range
DsRed-type red fluorescent protein chromophore biosynthesis	PWY-8514	DsRed-type red fluorescent protein chromophore biosynthesis // RFP chromophore biosynthesis	red fluorescent protein DsRed	DsRed-type red fluorescent protein chromophore intermediate 1 + dioxygen  ->  DsRed-type red fluorescent protein chromophore intermediate 2 + hydrogen peroxide // folded DsRed-type red fluorescent protein precursor containing a Gln-Tyr-Gly motif  ->  DsRed-type red fluorescent protein chromophore intermediate 1 // protein containing a Gln-Tyr-Gly motif  ->  folded DsRed-type red fluorescent protein precursor containing a Gln-Tyr-Gly motif // DsRed-type red fluorescent protein chromophore intermediate 2  ->  DsRed-type red fluorescent protein chromophore intermediate 3 + H2O + H+ // DsRed-type red fluorescent protein chromophore intermediate 3 + dioxygen + H+  ->  DsRed-type red fluorescent protein containing an active chromophore + hydrogen peroxide	Fluorescent Protein Biosynthesis		Discosoma striata	Cnidaria
drosopterin and aurodrosopterin biosynthesis	PWY-7442	drosopterin and aurodrosopterin biosynthesis	GTP cyclohydrolase I // 6-pyruvoyl-tetrahydropterin synthase subunit // guanine deaminase // pyrimidodiazepine synthase	2-amino-6-acetyl-3,7,8,9-tetrahydro-3H-pyrimido[4,5-b][1,4]diazepin-4-one + glutathione disulfide + H2O  <-  (6R)-6-pyruvoyl-5,6,7,8-tetrahydropterin + 2 glutathione // 7,8-dihydrolumazine + 2-amino-6-acetyl-3,7,8,9-tetrahydro-3H-pyrimido[4,5-b][1,4]diazepin-4-one  ->  aurodrosopterin + H2O // 7,8-dihydropterin + 2-amino-6-acetyl-3,7,8,9-tetrahydro-3H-pyrimido[4,5-b][1,4]diazepin-4-one  ->  drosopterin + H2O // dihydropterin deaminase // (6R)-6-pyruvoyl-5,6,7,8-tetrahydropterin  ->  7,8-dihydropterin // 7,8-dihydroneopterin 3'-triphosphate  ->  (6R)-6-pyruvoyl-5,6,7,8-tetrahydropterin + triphosphate // GTP + H2O  ->  formate + 7,8-dihydroneopterin 3'-triphosphate + H+	Secondary Metabolite Biosynthesis		Drosophila melanogaster	Drosophila <flies,genus>
doxorubicin biosynthesis	PWY-7355	doxorubicin biosynthesis	daunorubicin C-14 monooxygenase	daunorubicin + NADPH + H+ + dioxygen  ->  doxorubicin + NADP+ + H2O	Secondary Metabolite Biosynthesis		Streptomyces peucetius	Streptomyces peucetius
dopamine degradation	PWY6666-2	dopamine degradation	amine oxidase A // fatty aldehyde dehydrogenase // catechol O-methyltransferase, membrane-bound form // sulfotransferase 1A3/1A4	dopamine + 3'-phosphoadenylyl-sulfate  ->  adenosine 3',5'-bisphosphate + dopamine 3-O-sulfate + H+ // dopamine + S-adenosyl-L-methionine  ->  S-adenosyl-L-homocysteine + 3-methoxytyramine + H+ // (3,4-dihydroxyphenyl)acetate + S-adenosyl-L-methionine  ->  homovanillate + S-adenosyl-L-homocysteine + H+ // 3,4-dihydroxyphenylacetaldehyde + NAD+ + H2O  ->  (3,4-dihydroxyphenyl)acetate + NADH + 2 H+ // dopamine + H2O + dioxygen  ->  3,4-dihydroxyphenylacetaldehyde + ammonium + hydrogen peroxide	Amide, Amidine, Amine, and Polyamine Degradation		Homo sapiens	Metazoa
domoic acid biosynthesis	PWY-8083	domoic acid biosynthesis // domoate biosynthesis	L-glutamate prenylase 2 // <i>N</i>-(7'-carboxy-7'-demethylgeranyl)-L-glutamate cyclase // <i>N</i>-geranyl-L-glutamate oxygenase	N-(8'-oxogeranyl)-L-glutamate + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  N-(7'-carboxy-7'-demethylgeranyl)-L-glutamate + oxidized [NADPH-hemoprotein reductase] + H2O + H+ // N-(8'-hydroxylgeranyl)-L-glutamate + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  N-(8'-oxogeranyl)-L-glutamate + oxidized [NADPH-hemoprotein reductase] + 2 H2O // N-geranyl-L-glutamate + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  N-(8'-hydroxylgeranyl)-L-glutamate + oxidized [NADPH-hemoprotein reductase] + H2O // isodomoic acid A isomerization // N-(7'-carboxy-7'-demethylgeranyl)-L-glutamate + 2-oxoglutarate + dioxygen  ->  isodomoic acid A + succinate + CO2 + H2O // geranyl diphosphate + L-glutamate  ->  N-geranyl-L-glutamate + diphosphate	Secondary Metabolite Biosynthesis		Pseudo-nitzschia multiseries	Pseudo-nitzschia
dolichol and dolichyl phosphate biosynthesis	PWY-6129	dolichol and dolichyl phosphate biosynthesis	polyprenal reductase // polyprenal reductase // dolichol kinase // dehydrodolichyl diphosphate synthase complex // dehydrodolichyl diphosphate synthase complex // dehydrodolichyl diphosphate synthase complex // polyprenol dehydrogenase [NAD(P)H]	a dolichol + NAD(P)+  <-->  a dolichal + NAD(P)H + H+ // a di-trans, poly-cis-polyprenol + NAD(P)+  <-->  a di-trans, poly-cis-polyprenal + NAD(P)H + H+ // (2E,6E)-farnesyl diphosphate + n isopentenyl diphosphate  ->  a di-trans, poly-cis-polyisoprenyl diphosphate + n diphosphate // a dolichol + CTP  ->  a dolichyl phosphate + CDP + H+ // a dolichal + NADP+  <-  a di-trans, poly-cis-polyprenal + NADPH + H+ // a di-trans, poly-cis-polyisoprenyl diphosphate + H2O  ->  a di-trans, poly-cis-polyprenol + diphosphate	Fatty Acid and Lipid Biosynthesis		Homo sapiens // Saccharomyces cerevisiae // Schizosaccharomyces pombe	Eukaryota
dolabralexins biosynthesis	PWY-7994	dolabralexins biosynthesis // dolabradiene-derived diterpenes biosynthesis	dolabradiene monooxygenase // zealexin A1 synthase // dolabradiene synthase // <i>ent</i>-copalyl diphosphate synthase	geranylgeranyl diphosphate  ->  (-)-ent-copalyl diphosphate // (-)-ent-copalyl diphosphate  ->  dolabradiene + diphosphate // 3beta-hydroxy-15,16-epoxydolabrene + H2O  ->  3beta,15,16-trihydroxydolabrene // 15,16-epoxydolabrene + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  3beta-hydroxy-15,16-epoxydolabrene + oxidized [NADPH-hemoprotein reductase] + H2O // dolabradiene + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  15,16-epoxydolabrene + oxidized [NADPH-hemoprotein reductase] + H2O	Secondary Metabolite Biosynthesis		Zea mays	Viridiplantae
docosahexaenoate metabolites biosynthesis	PWY-8400	docosahexaenoate metabolites biosynthesis // DHA metabolites biosynthesis	cytochrome P450 2D6 // arachidonate 12-lipoxygenase // arachidonate 15-lipoxygenase // phospholipid-hydroperoxide glutathione peroxidase // arachidonate 5-lipoxygenase // epoxide hydrolase 3 // prostaglandin G/H synthase 2	a [glycerolipid]-(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoate + H2O  ->  (4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoate + a glycerolipid + H+ // (4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoate + reduced two electron carrier + dioxygen + H+  ->  13-HDoHE + oxidized electron carrier + H2O // (4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoate + reduced two electron carrier + dioxygen  ->  20-HDoHE + oxidized electron carrier + H2O // (4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoate + reduced two electron carrier + dioxygen  ->  10-HDoHE + oxidized electron carrier + H2O // (7S,8S)-epoxy-resolvin + H2O  ->  resolvin D2 // (7S,8S)-epoxy-resolvin + H2O  ->  resolvin D1 // (7S,17S)-17-hydroxy-7-hydroperoxydocosahexaenoate  ->  (7S,8S)-epoxy-resolvin + H2O // 17(S)-HDoHE + dioxygen  ->  (7S,17S)-17-hydroxy-7-hydroperoxydocosahexaenoate // (10S,17S)-diHpDHA + 4 glutathione  ->  protectin DX + 2 glutathione disulfide + 2 H2O // (17S)-HpDHA + dioxygen  ->  (10S,17S)-diHpDHA // (17S)-HpDHA + 2 glutathione  ->  17(S)-HDoHE + glutathione disulfide + H2O // (16S,17S)-epoxy-protectin + H2O  ->  protectin D1 // (17S)-HpDHA  ->  (16S,17S)-epoxy-protectin + H2O // (4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoate + dioxygen  ->  (17S)-HpDHA // 7(8)-epoxy-17R-hydroxy-docosahexaenoate + H2O  ->  aspirin triggered resolvin D2 // (7S,17R)-17-hydroxy-7-hydroperoxydocosahexaenoate  ->  7(8)-epoxy-17R-hydroxy-docosahexaenoate + H2O // 17(R)-HDoHE + dioxygen  ->  (7S,17R)-17-hydroxy-7-hydroperoxydocosahexaenoate // (4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoate + reduced two electron carrier + dioxygen  ->  17(R)-HDoHE + oxidized electron carrier + H2O // (13S,14S)-epoxy-maresin + H2O  ->  maresin 1 // (14S)-HpDHA  ->  (13S,14S)-epoxy-maresin + H2O // (14S)-HpDHA + 2 glutathione + H+  ->  (14S)-HDoHE + glutathione disulfide + H2O // (4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoate + dioxygen  ->  (14S)-HpDHA // (11S)-HpDHA + 2 glutathione  ->  11S-HDoHE + glutathione disulfide + H2O // (4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoate + dioxygen  ->  (11S)-HpDHA // (7S)-HpDHA + 2 glutathione  ->  7S-HDoHE + glutathione disulfide + H2O // (4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoate + dioxygen  ->  (7S)-HpDHA // (4S)-HpDHA + 2 glutathione  ->  4S-HDoHE + glutathione disulfide + H2O // (4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoate + dioxygen  ->  (4S)-HpDHA // 19(20)-EpDPE + H2O  ->  19,20-DiHDPE // (4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoate + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  19(20)-EpDPE + oxidized [NADPH-hemoprotein reductase] + H2O // (4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoate + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  16(17)-EpDPE + oxidized [NADPH-hemoprotein reductase] + H2O	Fatty Acid and Lipid Biosynthesis		Homo sapiens	Eukaryota
docosahexaenoate biosynthesis IV (4-desaturase, mammals)	PWY-7727	docosahexaenoate biosynthesis IV (4-desaturase, mammals)	polyunsaturated long-chain fatty acid elongase 2 // polyunsaturated long-chain fatty acid elongase 5 // very-long-chain 3-oxoacyl-CoA reductase // acyl-CoA 4/6/8-desaturase	(7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA + 2 ferrocytochrome b5 + dioxygen + 2 H+  ->  (4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA + 2 ferricytochrome b5 + 2 H2O // (4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA + a glycerolipid  <-->  a [glycerolipid]-(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoate + coenzyme A // (2E,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA + reduced two electron carrier  ->  (7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA + oxidized electron carrier // (3R,5Z,8Z,11Z,14Z,17Z)-3-hydroxydocosapentaenoyl-CoA  ->  (2E,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA + H2O // (3R,5Z,8Z,11Z,14Z,17Z)-3-hydroxydocosapentaenoyl-CoA + NAD(P)+  <-  (5Z,8Z,11Z,14Z,17Z)-3-oxodocosapentaenoyl-CoA + NAD(P)H + H+ // malonyl-CoA + (5Z,8Z,11Z,14Z,17Z)-icosapentaenoyl-CoA + H+  ->  (5Z,8Z,11Z,14Z,17Z)-3-oxodocosapentaenoyl-CoA + coenzyme A + CO2	Fatty Acid and Lipid Biosynthesis		Homo sapiens	Metazoa // Eukaryota
docosahexaenoate biosynthesis III (6-desaturase, mammals)	PWY-7606	docosahexaenoate biosynthesis III (6-desaturase, mammals)	polyunsaturated long-chain fatty acid elongase 5 // very-long-chain 3-oxoacyl-CoA reductase // polyunsaturated long-chain fatty acid elongase 2 // peroxisomal multifunctional enzyme type 2 // acyl-CoA 4/6/8-desaturase // peroxisomal acyl-coenzyme A oxidase 1 // mitochondrial trifunctional enzyme &alpha; subunit // short-chain enoyl-CoA hydratase // peroxisomal bifunctional enzyme // medium- and short-chain 3-hydroxyacyl-CoA dehydrogenase // type-2 3-hydroxyacyl-CoA dehydrogenase	(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA + a glycerolipid  <-->  a [glycerolipid]-(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoate + coenzyme A // (4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA + acetyl-CoA  <-->  (6Z,9Z,12Z,15Z,18Z,21Z)-3-oxotetracosahexaenoyl-CoA + coenzyme A // (3S,6Z,9Z,12Z,15Z,18Z,21Z)-3-hydroxytetracosahexaenoyl-CoA + NAD+  ->  (6Z,9Z,12Z,15Z,18Z,21Z)-3-oxotetracosahexaenoyl-CoA + NADH + H+ // (3S,6Z,9Z,12Z,15Z,18Z,21Z)-3-hydroxytetracosahexaenoyl-CoA  <-->  (2E,6Z,9Z,12Z,15Z,18Z,21Z)-tetracosaheptaenoyl-CoA + H2O // (6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA + dioxygen  ->  (2E,6Z,9Z,12Z,15Z,18Z,21Z)-tetracosaheptaenoyl-CoA + hydrogen peroxide // (9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA + 2 ferrocytochrome b5 + dioxygen + 2 H+  ->  (6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA + 2 ferricytochrome b5 + 2 H2O // (9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA + NADP+  <-  (2E,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA + NADPH + H+ // (3R,9Z,12Z,15Z,18Z,21Z)-3-hydroxytetracosapentaenoyl-CoA  ->  (2E,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA + H2O // (3R,9Z,12Z,15Z,18Z,21Z)-3-hydroxytetracosapentaenoyl-CoA + NADP+  <-  (9Z,12Z,15Z,18Z,21Z)-3-oxotetracosapentaenoyl-CoA + NADPH + H+ // malonyl-CoA + (7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA + H+  ->  (9Z,12Z,15Z,18Z,21Z)-3-oxotetracosapentaenoyl-CoA + coenzyme A + CO2 // (2E,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA + reduced two electron carrier  ->  (7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA + oxidized electron carrier // (3R,5Z,8Z,11Z,14Z,17Z)-3-hydroxydocosapentaenoyl-CoA  ->  (2E,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA + H2O // (3R,5Z,8Z,11Z,14Z,17Z)-3-hydroxydocosapentaenoyl-CoA + NAD(P)+  <-  (5Z,8Z,11Z,14Z,17Z)-3-oxodocosapentaenoyl-CoA + NAD(P)H + H+ // malonyl-CoA + (5Z,8Z,11Z,14Z,17Z)-icosapentaenoyl-CoA + H+  ->  (5Z,8Z,11Z,14Z,17Z)-3-oxodocosapentaenoyl-CoA + coenzyme A + CO2	Fatty Acid and Lipid Biosynthesis		Homo sapiens	Metazoa // Eukaryota
docosahexaenoate biosynthesis II (bacteria)	PWY-7585	docosahexaenoate biosynthesis II (bacteria)	docosahexaenoate synthase	acetyl-CoA + 10 malonyl-CoA + 14 NADPH + 23 H+  ->  (4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoate + 10 CO2 + 11 coenzyme A + 14 NADP+ + 9 H2O	Fatty Acid and Lipid Biosynthesis		Moritella marina	Bacteria <bacteria>
docosahexaenoate biosynthesis I (lower eukaryotes)	PWY-7053	docosahexaenoate biosynthesis I (lower eukaryotes)	C20 &Delta;5-polyunsaturated fatty acyl-CoA elongase // C20 &Delta;5-polyunsaturated fatty acyl-CoA elongase // acyl-lipid 4-desaturase // acyl-lipid 4-desaturase // acyl-lipid 4-desaturase // acyl-lipid 4-desaturase	(7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA + a glycerolipid  <-->  a [glycerolipid](7Z,10Z,13Z,16Z,19Z)-docosapentaenoate + coenzyme A // a [glycerolipid](7Z,10Z,13Z,16Z,19Z)-docosapentaenoate + 2 ferrocytochrome b5 + dioxygen + 2 H+  ->  a [glycerolipid]-(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoate + 2 ferricytochrome b5 + 2 H2O // (2E,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA + reduced two electron carrier  ->  (7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA + oxidized electron carrier // (3R,5Z,8Z,11Z,14Z,17Z)-3-hydroxydocosapentaenoyl-CoA  ->  (2E,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA + H2O // (3R,5Z,8Z,11Z,14Z,17Z)-3-hydroxydocosapentaenoyl-CoA + NAD(P)+  <-  (5Z,8Z,11Z,14Z,17Z)-3-oxodocosapentaenoyl-CoA + NAD(P)H + H+ // malonyl-CoA + (5Z,8Z,11Z,14Z,17Z)-icosapentaenoyl-CoA + H+  ->  (5Z,8Z,11Z,14Z,17Z)-3-oxodocosapentaenoyl-CoA + coenzyme A + CO2 // a [glycerolipid]-(5Z,8Z,11Z,14Z,17Z)-icosapentaenoate + coenzyme A  <-->  (5Z,8Z,11Z,14Z,17Z)-icosapentaenoyl-CoA + a glycerolipid	Fatty Acid and Lipid Biosynthesis		Euglena gracilis // Isochrysis galbana // Marchantia polymorpha // Mortierella alpina // Diacronema lutheri // Pavlova sp. CCMP459 // Physcomitrium patens // Rebecca salina // Thraustochytrium sp. ATCC21685	Eukaryota // Chlorophyta // Bryophyta
divinyl ether biosynthesis II	PWY-5409	divinyl ether biosynthesis II // etheroleate biosynthesis // 13-LOX and 13-DES pathway	9/13-divinyl ether synthase // linoleate 13S-lipoxygenase	linoleate + dioxygen  ->  (13S)-HPODE // (13S)-HPODE  ->  etheroleate + H2O	Secondary Metabolite Biosynthesis		Allium sativum	Viridiplantae
divinyl ether biosynthesis I	PWY-5406	divinyl ether biosynthesis I // 9-lipoxygenase and divinyl ether synthase pathway // 9-LOX and DES pathway // colneleate biosynthesis // colnelenate biosynthesis	9<i>S</i>-lipoxygenase // 13<i>S</i>/9<i>S</i> lipoxygenase // 9-divinyl ether synthase	9(S)-HpOTre  ->  colnelenate + H2O // alpha-linolenate + dioxygen  ->  9(S)-HpOTre // (9S)-HPODE  ->  colneleate + H2O // linoleate + dioxygen  ->  (9S)-HPODE	Metabolic Clusters // Secondary Metabolite Biosynthesis		Nicotiana tabacum // Solanum lycopersicum // Solanum tuberosum	Viridiplantae
diterpene phytoalexins precursors biosynthesis	PWY-2981	diterpene phytoalexins precursors biosynthesis	ent-copalyl diphosphate synthase // ent-copalyl diphosphate synthase // stemar-13-ene synthase // 9beta-pimara-7,15-diene synthase // ent-cassa-12,15-diene synthase // syn-copalyl diphosphate synthase // stemod-13(17)-ene synthase // 9&beta;-pimara-7,15-diene oxidase // <i>ent</i>-sandaracopimaradiene synthase // ent-pimara-8(14),15-diene synthase	(-)-ent-copalyl diphosphate  ->  ent-pimara-8(14),15-diene + diphosphate // <i>syn</i>-stemod-13(17)-en-19-al monooxygenase // <i>syn</i>-stemod-13(17)-19-ol monooxygenase // <i>syn</i>-stemod-13(17)-ene monooxygnease // 9beta-stemod-13(17)-ene + 3 reduced [NADPH-hemoprotein reductase] + 3 dioxygen  ->  9beta-stemod-13(17)-en-19-oate + 3 oxidized [NADPH-hemoprotein reductase] + 4 H2O // 9alpha-copalyl diphosphate  ->  9beta-stemod-13(17)-ene + diphosphate // geranylgeranyl diphosphate  ->  9alpha-copalyl diphosphate // (-)-ent-copalyl diphosphate  ->  ent-cassa-12,15-diene + diphosphate // (-)-ent-copalyl diphosphate  ->  ent-sandaracopimaradiene + diphosphate // 9alpha-copalyl diphosphate  ->  (-)-9beta-pimara-7,15-diene + diphosphate // 9alpha-copalyl diphosphate  ->  stemar-13-ene + diphosphate // geranylgeranyl diphosphate  ->  (-)-ent-copalyl diphosphate	Secondary Metabolite Biosynthesis		Oryza sativa // Oryza sativa	Poaceae
dissimilatory sulfate reduction	DISSULFRED-PWY	dissimilatory sulfate reduction // sulfate respiration	ATPSGIGAS-MONOMER // sulfate adenylyltransferase // ATP sulfurylase asubunit // adenylylsulfate reductase, alpha complex // adenylylsulfate reductase beta subunit // adenylylsulfate reductase // adenylylsulfate reductase alpha subunit // adenylylsulfate reductase beta subunit // dissimilatory sulfite reductase // dissimilatory sulfite reductase alpha subunit // dissimilatory sulfite reductase beta subunit // dissimilatory sulfite reductase // sulfite reductase, dissimilatory alpha subunit // sulfite reductase, dissimilatory beta subunit // DsrMKJOP complex // quinone-interacting membrane-bound oxidoreductase complex	reduced QmoABC electron-transfer protein complex + a menaquinone  <-->  oxidized QmoABC electron-transfer protein complex + a menaquinol // hydrogen sulfide + a [DsrC protein]-dithiol + 2 a quinone  <-  a [DsrC protein]-trisulfide + 2 a quinol // a [DsrC protein]-trisulfide + NAD+ + 3 H2O  <-->  sulfite + a [DsrC protein]-dithiol + NADH + 3 H+ // sulfite + AMP + oxidized QmoABC electron-transfer protein complex + 2 H+  <-->  adenosine 5'-phosphosulfate + reduced QmoABC electron-transfer protein complex // sulfate + ATP + H+  <-->  adenosine 5'-phosphosulfate + diphosphate	Inorganic Nutrient Metabolism // Generation of Precursor Metabolites and Energy		Archaeoglobus fulgidus // Archaeoglobus profundus // Desulfofundulus australicus // Desulfofundulus kuznetsovii // Desulfoscipio geothermicus // Desulfotomaculum nigrificans // Desulfovibrio desulfuricans // Desulfovibrio multispirans // Desulfolutivibrio sulfodismutans // Nitratidesulfovibrio vulgaris // Nitratidesulfovibrio vulgaris // Megalodesulfovibrio gigas // Thermodesulfobacterium commune // Thermodesulforhabdus norvegica // Thermodesulfovibrio yellowstonii // Bilophila wadsworthia	Archaea // Bacteria <bacteria>
dissimilatory Fe(III) reduction (<i>Shewanella</i>)	PWY-8553	dissimilatory Fe(III) reduction (Shewanella) // dissimilatory iron reduction (Shewanella)	decaheme cytochrome <i>c</i> protein OmcA // decaheme cytochrome <i>c</i> protein MtrC // periplasmic decaheme cytochrome <i>c</i> MtrA // quinol&mdash;cytochrome-<em>c</em> reductase CymA	a quinol[membrane] + 2 oxidized [CymA-like tetraheme protein][in]  <-->  a quinone[membrane] + 2 reduced [CymA-like tetraheme protein][in] + 2 H+[in] // oxidized [periplasmic decaheme cytochrome] + reduced [CymA-like tetraheme protein]  ->  reduced [periplasmic decaheme cytochrome] + oxidized [CymA-like tetraheme protein] // reduced [periplasmic decaheme cytochrome][periplasm] + oxidized [outer membrane decaheme c-type cytochrome][periplasm]  ->  oxidized [periplasmic decaheme cytochrome][periplasm] + reduced [outer membrane decaheme c-type cytochrome][periplasm] // Fe3+[extracellular space] + reduced [outer membrane decaheme c-type cytochrome][periplasm]  ->  Fe2+[extracellular space] + oxidized [outer membrane decaheme c-type cytochrome][periplasm]	Inorganic Nutrient Metabolism // Generation of Precursor Metabolites and Energy		Shewanella frigidimarina // Shewanella oneidensis	Bacteria <bacteria>
dipyrromethane cofactor biosynthesis	PWY-8159	dipyrromethane cofactor biosynthesis	porphobilinogen deaminase // porphobilinogen deaminase // hydroxymethylbilane synthase	a [hydroxymethylbilane synthase] ES4 intermediate + H2O  ->  preuroporphyrinogen + a holo-[hydroxymethylbilane synthase] // a [hydroxymethylbilane synthase] ES3 intermediate + porphobilinogen  ->  a [hydroxymethylbilane synthase] ES4 intermediate + ammonium // a [hydroxymethylbilane synthase] ES2 intermediate + porphobilinogen  ->  a [hydroxymethylbilane synthase] ES3 intermediate + ammonium // an apo-[hydroxymethylbilane synthase]-L-cysteine + preuroporphyrinogen  ->  a [hydroxymethylbilane synthase] ES2 intermediate + H2O	Cofactor, Carrier, and Vitamin Biosynthesis		Escherichia coli // Homo sapiens // Arabidopsis thaliana	Eukaryota // Bacteria <bacteria> // Archaea
diploterol biosynthesis	PWY-6098	diploterol biosynthesis // 22-hydroxyphopane-1 biosynthesis	hydroxyhopane synthase	hopan-22-ol  <-  squalene + H2O // squalene  ->  hop-22(29)-ene	Secondary Metabolite Biosynthesis		Adiantum capillus-veneris	Pteridaceae
dipicolinate biosynthesis	PWY-8088	dipicolinate biosynthesis // dipicolinic acid biosynthesis	aspartate semialdehyde dehydrogenase subunit // aspartate kinase III monomer // aspartate kinase II // 4-hydroxy-tetrahydrodipicolinate synthase // dipicolinate synthase alpha subunit // dipicolinate synthase beta subunit	(2S,4S)-4-hydroxy-2,3,4,5-tetrahydrodipicolinate + NAD+  ->  dipicolinate + NADH + H+ + H2O // pyruvate + L-aspartate 4-semialdehyde  ->  (2S,4S)-4-hydroxy-2,3,4,5-tetrahydrodipicolinate + H2O + H+ // L-aspartate + ATP  ->  L-aspartyl-4-phosphate + ADP // L-aspartate 4-semialdehyde + NADP+ + phosphate  <-->  L-aspartyl-4-phosphate + NADPH + H+	Aromatic Compound Biosynthesis		Priestia megaterium // Bacillus subtilis	Bacteria <bacteria>
diphyllin biosynthesis	PWY-6820	diphyllin biosynthesis	justicidin B 7-hydroxylase	justicidin B + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  diphyllin + oxidized [NADPH-hemoprotein reductase] + H2O	Aromatic Compound Biosynthesis		Linum // Linum perenne	Viridiplantae
diphthamide biosynthesis II (eukaryotes)	PWY-7546	diphthamide biosynthesis II (eukaryotes)	diphthine&mdash;ammonia ligase // 2-(3-amino-3-carboxypropyl)histidine synthase // methylated diphthine methylhydrolase // diphthine synthase	a 2-[(3S)-3-amino-3-carboxypropyl]-L-histidine-[translation elongation factor 2] + 4 S-adenosyl-L-methionine  ->  a diphthine methyl ester-[translation elongation factor 2] + 4 S-adenosyl-L-homocysteine + 3 H+ // a diphthine methyl ester-[translation elongation factor 2] + H2O  ->  a diphthine-[translation elongation factor 2] + methanol + H+ // an L-histidine-[translation elongation factor 2] + S-adenosyl-L-methionine  ->  a 2-[(3S)-3-amino-3-carboxypropyl]-L-histidine-[translation elongation factor 2] + S-methyl-5'-thioadenosine + H+ // a diphthine-[translation elongation factor 2] + ammonium + ATP  ->  a diphthamide-[translation elongation factor 2] + AMP + diphosphate + H+	Amino Acid Biosynthesis		Homo sapiens // Saccharomyces cerevisiae	Eukaryota
diphthamide biosynthesis I (archaea)	PWY-6482	diphthamide biosynthesis I (archaea)	2-(3-amino-3-carboxypropyl)histidine synthase // diphthine synthase	a 2-[(3S)-3-amino-3-carboxypropyl]-L-histidine-[translation elongation factor 2] + 3 S-adenosyl-L-methionine  ->  a diphthine-[translation elongation factor 2] + 3 S-adenosyl-L-homocysteine + 3 H+ // an L-histidine-[translation elongation factor 2] + S-adenosyl-L-methionine  ->  a 2-[(3S)-3-amino-3-carboxypropyl]-L-histidine-[translation elongation factor 2] + S-methyl-5'-thioadenosine + H+ // a diphthine-[translation elongation factor 2] + ammonium + ATP  ->  a diphthamide-[translation elongation factor 2] + AMP + diphosphate + H+	Amino Acid Biosynthesis		Pyrococcus horikoshii	Archaea
diphenylamine degradation	PWY-6532	diphenylamine degradation	diphenylamine dioxygenase	diphenylamine + NADH + dioxygen + H+  ->  aniline + catechol + NAD+	Aromatic Compound Degradation		Ralstonia sp. JS668 // Burkholderia sp. JS667	Bacteria <bacteria>
