Enzyme	GO terms (biological process)	Names	Reactions catalyzed by enzyme	EC-Number
MONOMER-124758			+-BORNEOL-DEHYDROGENASE-RXN	EC-1.1.1.198
MONOMER-19936		tetracycline nonaketamide B/C rings cyclase/dehydratase // OxyN	RXN-17984	EC-4.2.1.M10
G185E-8116-MONOMER		2-<i>O</i>-sulfo trehalose long-chain-acyltransferase	RXN-17326 // RXN-17318	EC-2.3.1.288
CPLX-6601			RXN-7342	EC-2.3.1
MONOMER-13580	GO:0016106	germacrene B synthase // Sesquiterpene synthase 2 // SSTLH2	RXN-8553	EC-4.2.3.71
EG11352-MONOMER	GO:0009103 // GO:0009244	UDP-D-glucose:(glucosyl)LPS &alpha;-1,3-glucosyltransferase // WaaO // WaaI // RfaI	RXN0-5125	EC-2.4.1.73
EG12693-MONOMER	GO:0009132	putative NUDIX hydrolase with low 3-phosphohydroxypyruvate phosphatase activity // YeaB // NudL	RXN0-6562	
MONOMER-17002		dTDP-glucose 4,6-dehydratase // RmlB	DTDPGLUCDEHYDRAT-RXN	EC-4.2.1.46
MONOMER-1401		orcinol hydroxylase	ORCINOL-2-MONOOXYGENASE-RXN	EC-1.14.13.6
AT4G23100-MONOMER		glutamate-cysteine ligase	GLUTCYSLIG-RXN	EC-6.3.2.2
CPLX-7467			RXN-8818	EC-1.13.11.74
CPLX0-2901	GO:0019483 // GO:0015940	aspartate 1-decarboxylase	ASPDECARBOX-RXN	EC-4.1.1.11
G7170-MONOMER	GO:0006629 // GO:0006493 // GO:0009245 // GO:0010041 // GO:0009103	YfbI // ArnT // PmrK	RXN0-2001	EC-2.4.2.43
CPLX-9587		<i>Escherichia coli</i> O:7 antigen polymerase	RXN-22099	EC-2.4.99.27
MONOMER-20985		digitoxin 16&beta;-hydroxylase	RXN-20973 // RXN-20975	EC-1.14.14.M46
CPLX-6946		sorbitol-6-phosphate 1-dehydrogenase // alditol-6-phosphate:NADP 1-oxidoreductase // S6PDH // A6PR // aldose-6-phosphate reductase	ALDOSE-6-PHOSPHATE-REDUCTASE-NADPH-RXN	EC-1.1.1.200
STM1328-MONOMER		lipid A 3'-<i>O</i>-acyloxyacylase // LpxR	RXN1R65-48	EC-3.1.1.M25
CPLX0-3929		D-arabinose 5-phosphate isomerase GutQ	DARAB5PISOM-RXN	EC-5.3.1.13
CPLX-2722		3-oxoadipate CoA-transferase // ketoadipate:succinyl CoA transferase	3-OXOADIPATE-COA-TRANSFERASE-RXN	EC-2.8.3.6
MONOMER-18404		FrbJ	RXN-15082	EC-1.14.11
MONOMER-17772		noscapine synthase	RXN-13812	EC-1.1.1.415
MONOMER-124941		cocaine synthase	RXN-25191 // RXN-9201	EC-2.3.1.334
MONOMER-22059		CDP-archaeol synthase // CarS	RXN-23122 // RXN-23123	EC-2.7.7.67
CPLX-2865		4-carboxy-4-hydroxy-2-oxoadipate aldolase // CHA aldolase	OXALODECARB-RXN // RXN-2464	EC-4.1.1.112 // EC-4.1.3.17
CPLX-9777		4-[(1E)-3-carboxy-3-oxoprop-1-en-1-yl]-2,3-dihydro-1H-pyrrole-2-carboxylate hydrolase	RXN-12859	
AT2G05830-MONOMER		5-methylthioribose-1-phosphate isomerase	5.3.1.23-RXN	EC-5.3.1.23
MONOMER-21109		mycofactocin glucosyltransferase // MftF	RXN-21260 // RXN-21259 // RXN-21258 // RXN-21257 // RXN-21256 // RXN-21255 // RXN-21254 // RXN-21252 // RXN-21251	EC-2.4.1.M64
MONOMER-21902		leinamycin polyketide synthase LnmJ // LnmJ	RXN-22921 // RXN-22923 // RXN-21110 // RXN-22922 // RXN-22926 // RXN-22927 // RXN-22916	EC-2.3.1 // EC-6.2.1.M38 // EC-2.7.7 // EC-4.4.1
MONOMER-124507		methylenetetrahydrofolate dehydrogenase // FolD	1.5.1.15-RXN	EC-1.5.1.15
MONOMER-1			DHSHIKIMATE-DEHYDRO-RXN	EC-4.2.1.118
