Enzyme	GO terms (biological process)	Names	Reactions catalyzed by enzyme	EC-Number
EG10136-MONOMER	GO:0106354 // GO:0008033 // GO:0006396 // GO:0042245 // GO:0001680	fused CCA tRNA nucleotidyltransferase/phosphohydrolase // Cca // CCA-adding enzyme // fused CCA tRNA nucleotidyltransferase / 2',3'-cyclic phosphodiesterase / 2' nucleotidase and phosphatase	TRNA-CYTIDYLYLTRANSFERASE-RXN	EC-2.7.7.72
CPLX-2803			MERCURY-II-REDUCTASE-RXN	EC-1.16.1.1
G3O-30008-MONOMER	GO:0006493 // GO:0006491 // GO:0000032	&alpha;-1,2 mannosyltransferase KRE2 // Killer toxin REsistant 2	RXN-19015 // RXN3O-9783	EC-2.4.1
CPLX-7666			RXN-9770	EC-1.14.13.111
CPLX-1906		chloroplastic acyl-lipid &omega;-3 desaturase // fatty acyl &Delta;<sup>15</sup> desaturase, chloroplastic // omega-3 fatty acid desaturase, chloroplastic // chloroplastic &omega;-3 acyl-lipid desaturase	RXN-16052 // RXN-16049 // RXN-16994 // RXN-16071 // RXN-9667 // RXN-8369 // RXN-8368 // RXN-8366 // RXN-8367 // RXN-8365 // RXN-8364 // RXN-8317 // RXN-8314 // RXN-8311 // RXN-8313 // RXN-8310 // RXN-8295 // RXN-8297 // RXN-8299 // RXN-8303 // RXN-8306 // RXN-8301 // RXN-8309 // RXN-1727	EC-1.14.19.35 // EC-1.14.19.36 // EC-1.14.99.35
MONOMER-18056		8-demethylnovobiocic acid synthase // NovL	RXN-14547	EC-6.3.1.15
CPLX-9238		procollagen-lysine 5-dioxygenase 1	PROCOLLAGEN-LYSINE-5-DIOXYGENASE-RXN	EC-1.14.11.4
MONOMER-5153			RXN-3645	EC-2.1.1.46
MONOMER-19060			RXN-16162	EC-1.1.1
MONOMER-14394		CbsB	RXN-9859	EC-1.3.1.119
HS03665-MONOMER		arylsulfatase B // ASB // G4S // <i>N</i>-acetylgalactosamine-4-sulfatase	3.1.6.12-RXN	EC-3.1.6.12
MONOMER-16408		callose synthase	13-BETA-GLUCAN-SYNTHASE-RXN	EC-2.4.1.34
MONOMER-15961		RhlB	RXN-11763	
CPLX-85531			RXN-25181 // DETHIOBIOTIN-SYN-RXN // RXN1ZN3-9 // RXN1ZN3-10	EC-2.6.1.127 // EC-6.3.3.3
MONOMER-11751		chlorophyll synthase	RXN1F-66	EC-2.5.1.62
MONOMER-20431		adenosylcobinamide-GDP ribazoletransferase // CobS	RXN-19307	EC-2.7.8.26
MONOMER-16830		isoprenyl alcohol synthase	RXN-12646	EC-3.1.3
HMPREF1322_RS03560-MONOMER		bifunctional UDP-3-<i>O</i>-acyl-<i>N</i>-acetylglucosamine deacetylase/3-hydroxyacyl-[acyl-carrier-protein] dehydratase	RXN-22242 // RXN-25456 // RXN-9537 // RXN-9533 // RXN-21656 // RXN-21692 // RXN-21703 // RXN66-616 // RXN-9520 // 4.2.1.61-RXN // RXN66-641 // 4.2.1.58-RXN // 4.2.1.59-RXN // RXN66-620 // RXN-21619 // RXN1G-363 // RXN-21623 // RXN66-646 // RXN-21666 // RXN-10660 // RXN-21646 // RXN-9634 // RXN-9557 // RXN-13009 // RXN-21671 // RXN-9655 // RXN1G-320 // RXN-22025 // RXN-21651 // RXN-9553 // RXN-10656 // RXN-21632 // RXN-20770 // RXN-21698 // RXN-21627 // RXN-10061 // RXN-21725 // RXN-21661 // RXN-21721 // RXN-21615 // RXN66-637 // RXN66-632 // RXN-21636 // RXN66-628 // RXN-21687 // RXN1G-517 // RXN-21677 // RXN-21682 // RXN66-624 // 3-HYDROXYDECANOYL-ACP-DEHYDR-RXN // RXN-22247	EC-3.5.1.108 // EC-4.2.1.59 // EC-2.3.1.85 // EC-2.3.1.86 // EC-4.2.1.M1 // EC-4.2.1
CPLX-8236		archaeosine synthase	RXN-12145	EC-2.6.1.97
CPLX-3921			VCREDCHLOR-RXN	EC-1.21.99.M2
CPLX-568			RXN-15130 // RXN-14048	EC-4.4.1.1
CPLX-2561		taurine:pyruvate aminotransferase // taurine:pyruvate transaminase	TAURINE-AMINOTRANSFERASE-RXN	EC-2.6.1.77
ACETOLACTSYNI-CPLX		acetohydroxybutanoate synthase I // acetohydroxy-acid synthase I // acetolactate synthase I // AHASI	ACETOOHBUTSYN-RXN // ACETOLACTSYN-RXN	EC-2.2.1.6
CPLX-85487		aliphatic sulfonate oxidoreductase // ASOR	RXN-24529 // RXN-24530 // RXN-24531 // RXN-24525 // RXN-24528 // 1.2.7.5-RXN	EC-1.97.1.13 // EC-1.2.7.5
MONOMER-14675		TftG	RXN-10136	EC-4.5.1
MONOMER-20336		psilocybin synthase // PsiM	RXN-19093 // RXN-19091 // RXN-19092	EC-2.1.1.345
ENSG00000153936-MONOMER		[heparan sulfate]-uronosyl-2-<i>O</i>-sulfotransferase 1 // 2-O-sulfotransferase // 2OST	RXN-11559 // RXN-11558	EC-2.8.2
CPLX-3201			ALKANE-1-MONOOXYGENASE-RXN	EC-1.14.15.3
CPLX-6542		toluene 4-monooxygenase	M-CRESOL-METHYLCATECHOL-RXN // TOLUENE-4-MONOOXYGENASE-RXN	EC-1.14.13.236
MONOMER-19039		acyl-lipid 4-desaturase	RXN-16111 // RXN-12797	EC-1.14.19.31
HS11950-MONOMER		phosphatidylinositol-4,5-bisphosphate 5-phosphatase, A // inositol polyphosphate 5-phosphatase // inositol polyphosphate 5-phosphatase J	3.1.3.56-RXN // RXN-8730 // PHOSPHATIDYLINOSITOL-BISPHOSPHATASE-RXN	EC-3.1.3.56 // EC-3.1.3.36
MONOMER18C3-394		sterol C-14 demethylase	RXN-20438 // RXN-21168 // RXN-21169 // RXN-21170 // RXN-19831 // RXN-19832 // RXN-19833	EC-1.14.14.154 // EC-1.14.14
AT5G43600-MONOMER			UREIDOGLYCOLATE-HYDROLASE-RXN	EC-3.5.1.116
MONOMER-11671		7-methylxanthosine synthase // xanthosine:SAM N-methyltransferase // xanthosine:SAM methyltransferase // xanthosine N-methyltransferase // xanthosine methyltransferase	RXN-7596	EC-2.1.1.158
MONOMER-20978		styrylpyrone reductase 1	RXN-20965	EC-1.3.1.M26
CPLX66-315		4-hydroxy-2-oxoglutarate aldolase	4OH2OXOGLUTARALDOL-RXN	EC-4.1.3.16
MONOMER-20534		protopanaxadiol-type ginsenoside-3-<i>O</i>-glucoside 2&prime;&prime;-<em>O</em>-glucosyltransferase	RXN-19695 // RXN-19699	EC-2.4.1.365
CPLX-7558			RXN-7745 // RXN-13158 // 3-ISOPROPYLMALDEHYDROG-RXN	EC-1.1.1 // EC-1.1.1.85
G185E-7240-MONOMER	GO:0006974 // GO:0006281 // GO:0006260	8-oxo-(d)GTP phosphatase	RXN-20667 // RXN-20666	EC-3.6.1.69
G12WB-675-MONOMER	GO:0008033 // GO:0008616	epoxyqueuosine reductase // CueH	RXN-12104	EC-1.17.99.6
CPLX0-3943			RXN0-3942	EC-3.5.1.94
G6532-MONOMER	GO:0061939 // GO:0090609	probable diguanylate cyclase DgcT // DgcT // YcdT	RXN0-5359	EC-2.7.7.65
MONOMER-16406			13-BETA-GLUCAN-SYNTHASE-RXN	EC-2.4.1.34
MONOMER-17432			RXN-13454	EC-2.4.1
CPLX8J2-269		L-lactate dehydrogenase	L-LACTATE-DEHYDROGENASE-RXN	EC-1.1.1.27
MONOMER-14325		UDP-quinovose:digitoxigenin 3-<i>O</i>-quinovosyltransferase // UDP-quinovose:digitoxigenin 3-O-quinovosyltransferase	RXN-9824	EC-2.4.1.M58
CPLX-9251		endo-&alpha;-sialidase // endoNE // tail spike protein // endo-<i>N</i>-acetylneuraminidase	3.2.1.129-RXN	EC-3.2.1.129
MONOMER18C3-9		tomatine galactoside glucosyltransferase	RXN18C3-10	EC-2.4.1
HS11329-MONOMER	GO:0006541 // GO:0006189 // GO:0006164	phosphoribosylformylglycinamidine synthase // FGAM synthase // FGAMS // FGARAT // formylglycinamide ribotide amidotransferase // formylglycinamide ribotide synthetase	FGAMSYN-RXN	EC-6.3.5.3
G6972-MONOMER	GO:0043709 // GO:1902201	diguanylate cyclase DgcJ // DgcJ // YeaJ	RXN0-5359	EC-2.7.7.65
MONOMER-19466		2-dehydro-3-deoxy-L-galactonate 5-dehydrogenase // 2-keto-3-deoxy-L-galactonate 5-dehydrogenase	RXN-16964	EC-1.1.1.389
CPLX-8874		&omega;-amidase NIT2	RXN-13072	EC-3.5.1.3 // EC-3.5.1.111
EG11357-MONOMER	GO:0006139 // GO:0009432 // GO:0006281	ATP-dependent DNA helicase DinG // RarB // DinG	RXN0-4261	EC-5.6.2.3
MONOMER-19403		2-azanidyl-3-sulfanylprop-2-enamido]-3-[NRPS] synthase // HlmL	RXN-16876	EC-6.3.2
MONOMER-21654		WegQ	RXN-22288 // RXN-22289	EC-2.4.1
MONOMER-15066		1-aminocyclopropane-1-carboxylate synthase 2	4.4.1.14-RXN	EC-4.4.1.14
HS02693-MONOMER	GO:0005975 // GO:0006094 // GO:0006096 // GO:0006959 // GO:0007399 // GO:0007599	glucose-6-phosphate isomerase // autocrine motility factor // neuroleukin // phosphoglucose isomerase // phosphohexose isomerase // SA-36 // sperm antigen 36	PGLUCISOM-RXN	EC-5.3.1.9
MONOMER-19119		UgeA	UDPGLUCEPIM-RXN	EC-5.1.3.2
CPLX-85392		L-carnitine dehydrogenase/betainyl-CoA thioesterase/carnityl-CoA thioesterase	RXN-22886 // CARNITINE-3-DEHYDROGENASE-RXN // RXN-22883	EC-3.1.2 // EC-1.1.1.108 // EC-3.1.2.33
MONOMER-21157		NADH-dependent 3&alpha;-hydroxysteroid reductase // BaiO	RXN-17396 // 1.1.1.52-RXN	EC-1.1.1.52
MONOMER-16628		zeaxanthin epoxidase, chloroplastic	RXN-7978	
MONOMER-19981		poly(ribitol phosphate) teichoic acid &beta;-<i>O</i>-GlcNAc transferase // TarS	RXN-18020	EC-2.4.1.355
TREHALAPERI-MONOMER	GO:0005975 // GO:0005991 // GO:0006974 // GO:0005993 // GO:0071474	periplasmic trehalase // Tre // OsmA // TreA	TREHALA-RXN	EC-3.2.1.28
EG12357-MONOMER	GO:0006629 // GO:0006635 // GO:0006631 // GO:0019395	medium-chain-fatty-acid&mdash;CoA ligase // FadK // YdiD // medium-chain acyl-CoA synthetase	RXN-13614 // R223-RXN // RXN-16393 // RXN-12184 // RXN-14172 // RXN-21777 // RXN-19959 // TRANS-RXN0-623 // RXN0-7238 // RXN0-7239 // RXN0-7248	EC-6.2.1.2 // EC-6.2.1.3
MONOMER-15986		xanthan ketal pyruvate transferase // Kpt // GumL	RXN-12324 // RXN-11802	EC-2.5.1 // EC-2.5.1.95
MONOMER-18092		prephenate dehydrogenase // NovF	PREPHENATEDEHYDROG-RXN	EC-1.3.1.12
MONOMER-19207		5-hexenoyl-[acp] acetylenase // JamB	RXN-16464 // RXN-16467 // RXN-16466	EC-1.14.19.40
BAB_RS21530-MONOMER	GO:0009245 // GO:0006629	lipid-A-disaccharide synthase // LpxB	RXN2B4Q-52	EC-2.4.1.182
MONOMER-20784		shimimate dehydratase/3,4-dihydroxycyclohexa-1,5-diene-1-carboxylate--CoA ligase // 3,4-dihydroxycyclohexa-1,5-diene-1-carboxylate--CoA ligase	RXN-20416 // RXN-20417	EC-4.2.1.M27 // EC-6.2.1.M35
CPLX-8981		polyketide type III synthase	RXN-8458 // RXN-7577	EC-2.3.1.212 // EC-2.3.1
MONOMER-18699		DhpJ	RXN-15576	EC-3.5.99
G185E-7843-MONOMER	GO:0046677	arylamine <i>N</i>-acetyltransferase // NhoA // Nat // arylamine acetylase	RXN-25249 // RXN-25248 // RXN-19524 // ARYLAMINE-N-ACETYLTRANSFERASE-RXN // 2.3.1.118-RXN // RXN-13870 // RXN-25212	EC-2.3.1.5 // EC-2.3.1.118
MONOMER-124576		4'-phospho-dehydrooxetanocin synthase // OxsB	RXN-24390 // RXN-24394 // RXN-24387 // RXN-24393 // RXN-24395	EC-5.3.99.13 // EC-2.1.1
YGL184C-MONOMER		cystathionine &beta;-lyase	RXN-19548 // RXN-19558 // RXN-19557 // RXN-19550 // RXN-19544 // RXN-19554 // RXN-19547 // RXN-19562 // RXN-19552 // RXN-19556 // S-ALKYLCYSTEINE-LYASE-RXN // RXN-6763 // RXN-15582 // CYSTATHIONINE-BETA-LYASE-RXN // RXN-15131	EC-4.4.1.13
MONOMER-19591		L-tryptophan--[tryptophyl-carrier-protein] ligase Ecm13	RXN-17146 // RXN-19475 // RXN-19476	EC-6.2.1.73
MONOMER-19616		<i>N</i>-acetyldemethylphosphinothricinyl-transferase // PhpL	RXN-17192	EC-2.3.1
MONOMER-19898		poly(ethylene terephthalate) hydrolase // PETase // PET hydrolase	RXN-17825	EC-3.1.1.101
MONOMER-18213		&beta;-alanopine dehydrogenase	BETA-ALANOPINE-DEHYDROGENASE-RXN	EC-1.5.1.26
MONOMER-18003		anthocyanidin 5-<i>O</i>-glucosyltransferase	RXN-8228	EC-2.4.1.298
YDR272W-MONOMER		Glo2 // GLX II	GLYOXII-RXN	EC-3.1.2.6
MONOMER-13432		UDP-glucose:solanidine glucosyltransferase	RXN-8882	EC-2.4.1
MONOMER-18305		anthocyanidin synthase/flavonol synthase	RXN-602 // RXN-527	EC-1.14.20.4 // EC-1.14.20.6
MONOMER-20042		<i>N</i>-acetyl-D-glucosaminyl-<i>N</i>-acetyl-tunicaminyl-uracil <i>N</i>-deacetylase // TunE	RXN-18073	EC-3.5.1.M4
CPLX-85396		protein tyrosine lyase (tyramine-producing) // splicase // aplicease	RXN-23293	EC-4.1.99
AT2G29090-MONOMER		ABA 8'-hydroxylase	RXN-16460 // 1.14.13.93-RXN	EC-1.14.14 // EC-1.14.14.eo
CPLX-7485			RXN-8849	EC-2.4.1.269
G185E-7827-MONOMER	GO:0006635 // GO:0008152	(5<i>R</i>,7a<i>S</i>)-7a-methyl-1,5-dioxo-3,5,6,7-tetrahydro-2<i>H</i>-indene-4-carboxyl-CoA hydrolase	RXN-19798	EC-4.1.99
AT2G27760-MONOMER		IPT2 // IPPT	RXN0-6274	EC-2.5.1.75
CPLX-9507		3-oxo-&Delta;<sup>1</sup>-steroid hydratase/dehydrogenase // 1-testosterone hydratase/dehydrogenase // &Delta;<sup>1</sup>-dihydrotestosterone hydratase/dehydrogenase	RXN-21497 // RXN-21498 // RXN-21499 // RXN-21494 // RXN-21464 // RXN-21465 // RXN-21495 // RXN-21486 // RXN-21487	EC-1.17.99.11
MONOMER-12518			R186-RXN	
MONOMER-17610		Vao	ARYL-ALCOHOL-OXIDASE-RXN	EC-1.1.3.7
MONOMER-19137		NpdC	RXN-16308 // RXN-16310	EC-1.3.98
AT1G65980-MONOMER		glutaredoxin-dependent peroxiredoxin	RXN-20687 // RXN-19953 // RXN-19954 // RXN-20688	EC-1.11.1.25
BSU34450-MONOMER	GO:0009758	levansucrase // SacB	LEVANSUCRASE-RXN // RXN-1803 // RXN-1804 // RXN-9068	EC-2.4.1.10
CPLX2S1Y-121		FMN-dependent NADH-azoreductase	RXN0-5375	EC-1.7.1.17
AT3G06860-MONOMER		peroxisomal fatty acid &beta;-oxidation multifunctional protein MFP2	RXN-14393 // RXN-17777 // RXN-20679 // RXN-21771 // RXN-12490 // RXN-16136 // RXN-12507 // RXN-16559 // RXN-11662 // RXN-21224 // RXN-17115 // RXN-17794 // RXN-17786 // RXN-17790 // RXN-17781 // RXN-17798 // RXN-12570 // RXN-20676 // OHACYL-COA-DEHYDROG-RXN // RXN0-5393 // RXN-17776 // RXN-20678 // RXN-13304 // RXN-13616 // RXN-16135 // RXN-14273 // RXN-16558 // RXN-11667 // RXN-17114 // RXN-17793 // RXN-17785 // RXN-17789 // RXN-17780 // RXN-17797 // RXN-12567 // RXN-20675 // RXN-15014 // LONG-CHAIN-ENOYL-COA-HYDRATASE-RXN // RXN-23155 // ENOYL-COA-HYDRAT-RXN	EC-1.1.1.35 // EC-1.1.1.211 // EC-1.1.1 // EC-4.2.1.17 // EC-4.2.1.74 // EC-4.2.1.134 // EC-4.2.1.150
MONOMER-18717		fusicocca-1,10(14)-diene-3,8&beta;,16-triol <i>O</i>-methyltransferase	RXN-15594	EC-2.1.1
CARNRACE-MONOMER	GO:0006635 // GO:0009437 // GO:0042413	YaaL // CaiD	CARNDETRU-RXN	EC-4.2.1.149
CPLX-6226			RXN-6742	EC-2.1.1.146
CPLX0-8270		sensor histidine kinase CpxA	2.7.13.2-RXN	EC-2.7.13.2
AT1G69370-MONOMER			CHORISMATEMUT-RXN	EC-5.4.99.5
MONOMER-18736			RXN-15648	EC-2.7.1.186
CPLX-85558		17&alpha;-hydroxysteroid dehydrogenase // 17&alpha;-HSDH	RXN-25419 // RXN-25414	EC-1.1.1.148
CPLX-8051		uronate dehydrogenase // uronic acid dehydrogenase	RXN-11407 // URONATE-DEHYDROGENASE-RXN	EC-1.1.1.203
MONOMER-16824		littorine synthase	RXN-8254	EC-2.4.1.400
MONOMER-19592		L-tryptophyl-[tryptophyl-carrier protein] &beta;-monooxygenase	RXN-17147	EC-1.14.13
CPLX66-504		fructose-1,6-bisphosphatase 2	F16BDEPHOS-RXN	EC-3.1.3.11
ENSG00000138207-MONOMER	GO:0006810 // GO:0007601	plasma retinol-binding protein // retinol-binding protein 4 // PRBP // RBP // serum retinol binding protein	RXN-12549	
CPLX-8705			RXN-14803 // RXN-14799 // RXN-14793 // RXN-14788 // RXN-14774 // RXN-17791 // RXN-17787 // RXN-17778 // RXN-16561 // RXN-16560 // 2.3.1.155-RXN // RXN-17795 // RXN-13617 // RXN-17782 // RXN-14274 // RXN-14268 // RXN-14277 // RXN-12565 // RXN-12561 // KETOACYLCOATHIOL-RXN // METHYLACETOACETYLCOATHIOL-RXN // RXN0-6512 // RXN-12710 // RXN-11246 // RXN-10701 // RXN-10700 // RXN-10699	EC-2.3.1.16 // EC-2.3.1.155 // EC-2.3.1.9 // EC-2.3.1.223
CFTRS-MONOMER		trypanothione synthetase // TryS	GSPAMID-RXN // GSPSYN-RXN // 6.3.1.9-RXN	EC-3.5.1.78 // EC-6.3.1.9 // EC-6.3.1.8
MONOMER-124653		SbzQ	RXN-24596	EC-1.14.11
MONOMER-124822		decaheme cytochrome <i>c</i> protein MtrC // MtrC // OmcB	RXN-24956 // RXN-25270	EC-1.16.2.1 // EC-1.16.2
AT4G04870-MONOMER			RXN-8141	EC-2.7.8.41
AT1G73370-MONOMER		sucrose synthase	SUCROSE-SYNTHASE-RXN	EC-2.4.1.13
XYLISOM-CPLX			XYLISOM-RXN	EC-5.3.1.5
AT4G22756-MONOMER		plant 4,4-dimethylsterol C-4&alpha;-methyl-monooxygenase 1-2	RXN-19720 // RXN-11926 // RXN-11925 // RXN-11927	EC-1.14.18.10
CPLX66-81		mitochondrial aldehyde dehydrogenase // aldehyde dehydrogenase, mitochondrial // ALDH class 2 // ALDHI // ALDH-E2 // aldehyde dehydrogenase class 2 // ALDH-2	RXN-10912 // RXN-10780 // RXN-37 // PHENDEHYD-RXN // RETINAL-DEHYDROGENASE-RXN // LACTALDEHYDE-OXI-RXN // FORMALDEHYDE-DEHYDROGENASE-RXN // RXN-8583 // R222-RXN // RXN-14022 // RXN-16654 // RXN-21863 // RXN-15819 // RXN-663 // RXN-8582 // RXN66-479 // BENZALDEHYDE-DEHYDROGENASE-NAD+-RXN // LACTALDDEHYDROG-RXN // 1.2.1.67-RXN // 1.2.1.53-RXN // RXN-16655 // RXN-16653 // RXN-11746 // 1.2.1.65-RXN // RXN-12332 // METHYL-GLYOXAL-DEHYDROG-RXN // GLYCOLALD-DEHYDROG-RXN // RXN-11970 // RXN66-476 // RXN-4142 // LONG-CHAIN-ALDEHYDE-DEHYDROGENASE-RXN // RXN66-472 // ARYL-ALDEHYDE-DEHYDROGENASE-RXN // ALDHDEHYDROG-RXN // RXN66-3	EC-1.2.1.3 // EC-1.2.1.39 // EC-1.2.1.36 // EC-1.2.1.46 // EC-1.2.1.28 // EC-1.2.1.29 // EC-1.2.1.22 // EC-1.2.1.67 // EC-1.2.1.53 // EC-1.2.1.69 // EC-1.2.1.65 // EC-1.2.1 // EC-1.2.1.23 // EC-1.2.1.21 // EC-1.2.1.86 // EC-1.2.1.48
MONOMER-15192		1-phosphatidylinositol phosphodiesterase // PlcA // phosphatidylinositol-specific phospholipase C // phosphatidylinositol diacylglycerol-lyase	3.1.4.36-RXN // 3.1.4.10-RXN	EC-3.1.4.43 // EC-4.6.1.13
MONOMER-19824		2-oxoethyl-CoM reductase/carboxylase	RXN-17590	EC-1.8.1.5
MONOMER-19027		CruO // carotene ketolase // carotene C-4/4' ketolase	RXN-16056	
MONOMER-19303		3-oxoacyl-[acyl-carrier-protein] reductase // FabG	RXN-16630 // RXN-16626 // RXN-16622 // RXN-16616	EC-1.1.1.100
CPLX-7096		coenzyme F<small><sub>420</sub></small>:<small>L</small>-glutamate ligase // F420:glutamyl ligase	RXN-8081 // RXN-8080	EC-6.3.2.34 // EC-6.3.2.31
MONOMER-125025		6-dehydrogingerdione reductase	RXN-25350	
MONOMER-14161			RXN-4981	EC-2.1.1.153
MONOMER-17726		2-dehydro-3-deoxygalactonokinase // LgnF	DEHYDDEOXGALACTKIN-RXN	EC-2.7.1.178 // EC-2.7.1.58
CPLX0-7826		dITP/XTP pyrophosphatase	RXN0-6382 // RXN0-1602 // RXN0-1603	EC-3.6.1.66 // EC-3.6.1.9
MONOMER-15723		<i>N</i>-glutamylanilide hydrolase	RXN-15251 // RXN-15250	EC-3.5.1.123
DIACYLGLYKIN-CPLX			DIACYLGLYKIN-RXN	EC-2.7.1.107
CPLX-462		methionine &gamma;-lyase	RXN-14301	
CPLX-1425		phosphoinositide phospholipase C 1 // PLC // AtPLC1	RXN-20538 // RXN-20523 // 3.1.4.11-RXN	EC-3.1.4.11
G3O-31303-MONOMER		RING-type E3 ubiquitin transferase DOA10 // ERAD-associated E3 ubiquitin-protein ligase DOA10 // Suppressor of mrna Stability Mutant // ERAD-associated E3 ubiquitin transferase DOA10	UBIQUITIN--CALMODULIN-LIGASE-RXN // RXN-15561	EC-2.3.2.n // EC-2.3.2.27
MONOMER-16944		linoleate 10<i>R</i>-lipoxygenase // PpoC	RXN-12756 // RXN-12761	EC-1.13.11.60 // EC-1.13.11.62
ACYLCOASYN-CPLX		long-chain-fatty-acid&mdash;CoA ligase	RXN-20651 // RXN-9644 // RXN-9623 // RXN-9673 // ARACHIDONATE--COA-LIGASE-RXN // RXN-16380 // RXN-19960 // TRANS-RXN0-623 // RXN0-7238 // RXN0-7239 // RXN0-7248	EC-6.2.1.3 // EC-6.2.1.15
MONOMER-13190		D-xylose reductase XyrA // XyrA	RXN-8772 // RXN-8773	EC-1.1.1.21 // EC-1.1.1.431
MONOMER-15884		SalS	RXN-11719	EC-4.2.1
MONOMER-14930		CrtC	RXN-10665	EC-4.2.1.131
MONOMER-20451		L-aspartate semialdehyde sulfurtransferase	RXN-19380	EC-2.8.1.16
MONOMER-20623		(S)-<i>N</i>-methylcanadine 1-hydroxylase	RXN-13807	EC-1.14.14.166
AT5G08335-MONOMER			2.1.1.100-RXN	EC-2.1.1.100
CPLX-7371		xanthine dehydrogenase	RXN-8752 // RXN-8751 // RXN-8754 // RXN-8753 // RXN0-901	EC-1.17.1.4
CPLX-8661		hexuronate isomerase	GALACTUROISOM-RXN // GLUCUROISOM-RXN	EC-5.3.1.12
AT4G14430-MONOMER		delta3, delta2-enoyl-CoA isomerase	RXN-7836	EC-5.3.3.8
CPLX-3941			TCEREDCHLOR-RXN // 1.97.1.8-RXN	EC-1.21.99.M1 // EC-1.21.99.5
MONOMER-21334		propionate--CoA ligase // PrpE	RXN-21753	EC-6.2.1.17
CPLX-8162		4-fluorothreonine transaldolase	RXN-11747	EC-2.2.1.8
MONOMER-17672			RXN-19748	EC-1.1.1.39
CPLX-6986		type-2 3-hydroxyacyl-CoA dehydrogenase	RXN-14393 // RXN-17777 // RXN-20679 // RXN-21771 // RXN-12490 // RXN-16136 // RXN-12507 // RXN-16559 // RXN-11662 // RXN-21224 // RXN-17115 // RXN-17794 // RXN-17786 // RXN-17790 // RXN-17781 // RXN-17798 // RXN-12570 // RXN-20676 // OHACYL-COA-DEHYDROG-RXN // 1.1.1.178-RXN // RXN-21782 // TESTOSTERONE-17-BETA-DEHYDROGENASE-RXN	EC-1.1.1.35 // EC-1.1.1.211 // EC-1.1.1 // EC-1.1.1.178 // EC-1.1.1.239
MONOMER-124918		4-hydroxy-3-(<i>all-trans</i>-polyprenyl)benzoate decarboxylative hydroxylase // UbiN	RXN-25159 // RXN-9231 // RXN-25162	EC-1.14.13 // EC-4.1.1.98
CPLX-4441		homoaconitase	HOMOACONITATE-HYDRATASE-RXN	EC-4.2.1.36
MONOMER-12185		amorpha-4,11-diene monooxygenase	RXN-8055 // RXN-12314 // RXN-8051 // RXN-8050	
MONOMER-124182		aspoquinolone synthase // AsqO // quinolone epoxide rearrangement protein asqO	RXN-23355 // RXN-23341	
MONOMER-18419			3.1.4.38-RXN	EC-3.1.4.38
CPLX-7234			1.13.11.15-RXN	EC-1.13.11.15
MONOMER-15859		acyl-CoA 5-desaturase	RXN-11678 // RXN-11677	EC-1.14.19.37
AT2G43360-CPLX		biotin synthase	2.8.1.6-RXN // RXN-17472 // RXN-17473	EC-2.8.1.6
CPLX-8980		(4S,5S)-4,5-dihydroxy-2,6-dioxohexanoate reductase	RXN-13040	EC-1.1.1.126
HS07569-MONOMER	GO:0006783 // GO:0006780	uroporphyrinogen-III synthase // Hydroxymethylbilane hydrolyase [cyclizing] // UROIIIS // Uroporphyrinogen-III cosynthetase // UROS	UROGENIIISYN-RXN	EC-4.2.1.75
MONOMER-16226		GH11-type endo-1,4-&beta;-xylanase // XlnA	3.2.1.8-RXN	EC-3.2.1.M35 // EC-3.2.1.M32 // EC-3.2.1.8 // EC-3.2.1.M34
MONOMER-17885		reducing end xylose-releasing exo-oligoxylanase // Rex	3.2.1.156-RXN	EC-3.2.1.156
MONOMER-19524		6-deoxy-D-gluconate 6-sulfonate dehydratase	RXN-17097	EC-4.2.1.162
CPLX-8628		nucleoside diphosphate kinase	GDPKIN-RXN // DTDPKIN-RXN // UDPKIN-RXN // DCDPKIN-RXN // DGDPKIN-RXN // DADPKIN-RXN // CDPKIN-RXN // RXN-22499 // RXN-14228 // RXN-14120 // DUDPKIN-RXN // NUCLEOSIDE-DIP-KIN-RXN	EC-2.7.4.6
MONOMER-17380		MtmOII	RXN-13389	
MONOMER-19959		dTDP-3-amino-4-dehydro-2,3,6-trideoxy-&beta;-L-glucose 4-ketoreductase // DnmV	RXN-18003	EC-1.1.1
CPLX-7629			ACETYLPUTRESCINE-DEACETYLASE-RXN	EC-3.5.1.62
MONOMER-124726		lydicamycin non-ribosomal peptide synthase	RXN-24712 // RXN-24711	EC-6.2.1.66
MONOMER-124763		borneol dehydrogenase 2	--BORNEOL-DEHYDROGENASE-RXN // +-BORNEOL-DEHYDROGENASE-RXN	EC-1.1.1.227 // EC-1.1.1.198
MONOMER-20975		malonyl-CoA:21-hydroxypregnane-21-<i>O</i>-malonyltransferase	RXN-20960	EC-2.3.1
MONOMER-2966			RXN-2301	EC-2.6.1.55
YMR297W-MONOMER	GO:0051603 // GO:0046938 // GO:0007039 // GO:0006508	carboxypeptidase Y // proteinase C // CPY // carboxypeptidase C	2.3.2.15-RXN // RXN-19570 // RXN-16195 // RXN-16202 // RXN-19576 // RXN-16192 // RXN-19571 // RXN-12532 // 3.4.16.5-RXN	EC-2.3.2.15 // EC-3.4.17.25 // EC-3.4.16 // EC-3.4.16.5
MONOMER-13169			PHOSGLYPHOS-RXN	EC-2.7.2.3
CPLX-6967		pinosylvin synthase	PINOSYLVIN-SYNTHASE-RXN	EC-2.3.1.146
