Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1152R_L_M_S2_week9_S64_L001_R1_001	(1.0, 1.5997824098113393)	(2.0, 0.6049666608972298)	(3.0, 0.4153994510792968)	(4.0, 0.3791344196358661)	(5.0, 0.2678667095253402)	(6.0, 0.19286403085824494)	(7.0, 0.16731366779582788)	(8.0, 0.19780926241871277)	(9.0, 0.1335212521326311)	('>10', 2.453659059252116)	('>50', 1.1604810061897814)	('>100', 2.864113278770945)	('>500', 3.544906823595348)	('>1k', 10.444329055708033)	('>5k', 15.680505072983376)	('>10k+', 59.893347839345914)
1152R_L_M_S2_week9_S64_L001_R2_001	(1.0, 5.697730962919005)	(2.0, 0.8637671125617123)	(3.0, 0.5044136191677175)	(4.0, 0.4186962721196087)	(5.0, 0.3049559462288488)	(6.0, 0.2324258833419875)	(7.0, 0.2653940937451063)	(8.0, 0.2044029044993365)	(9.0, 0.20028187819894666)	('>10', 4.373233109973708)	('>50', 0.8093695653965665)	('>100', 3.2383024668463434)	('>500', 1.3525208317879485)	('>1k', 8.010450922697789)	('>5k', 15.791772783093903)	('>10k+', 57.732281647421466)
1152R_R_M_S2_week5_S38_L001_R1_001	(1.0, 1.6901615580159246)	(2.0, 0.6092564969852308)	(3.0, 0.4853043131158218)	(4.0, 0.36135212924641275)	(5.0, 0.3308893043971512)	(6.0, 0.24580348326645518)	(7.0, 0.2279459652513708)	(8.0, 0.15126368201012627)	(9.0, 0.17962562238702492)	('>10', 2.618752494800311)	('>50', 0.8834219206285847)	('>100', 3.5893611210319545)	('>500', 3.0473329271623353)	('>1k', 23.23263093762474)	('>5k', 12.590600642870648)	('>10k+', 49.756297401205906)
1152R_R_M_S2_week5_S38_L001_R2_001	(1.0, 5.266917372213702)	(2.0, 0.9432971280909263)	(3.0, 0.551482173995252)	(4.0, 0.4411857391962016)	(5.0, 0.3308893043971512)	(6.0, 0.35925124477404985)	(7.0, 0.279417634824261)	(8.0, 0.1680707577890292)	(9.0, 0.28361940376898676)	('>10', 4.021092880102524)	('>50', 0.6764848001008424)	('>100', 4.1040778167608565)	('>500', 3.819407970755688)	('>1k', 6.920313451963277)	('>5k', 19.585495493602807)	('>10k+', 52.24899682766445)
1152R_R_M_S2_week9_S65_L001_R1_001	(1.0, 1.6190769035021684)	(2.0, 0.6404207267290829)	(3.0, 0.45168746620296246)	(4.0, 0.33929574926044126)	(5.0, 0.3233912610138581)	(6.0, 0.23538642604943116)	(7.0, 0.18555236287680382)	(8.0, 0.15268308716719858)	(9.0, 0.1717684730630984)	('>10', 2.564863804565648)	('>50', 0.7125210734469267)	('>100', 4.582613213448835)	('>500', 1.44730843043907)	('>1k', 15.114565330336221)	('>5k', 11.788406688367457)	('>10k+', 59.670459003530794)
1152R_R_M_S2_week9_S65_L001_R2_001	(1.0, 5.498711736452027)	(2.0, 0.8715659559127585)	(3.0, 0.5312099074358784)	(4.0, 0.33505455239468573)	(5.0, 0.29158228452069174)	(6.0, 0.2735571978412308)	(7.0, 0.3043058751179583)	(8.0, 0.254471811945331)	(9.0, 0.20993924485489804)	('>10', 4.240136566539078)	('>50', 0.561958584712606)	('>100', 3.0366969558809496)	('>500', 4.182880408851378)	('>1k', 5.061868459279208)	('>5k', 15.823905506133832)	('>10k+', 58.522154952127494)
1152R_S2_week28_S31_L001_R1_001	(1.0, 1.5352483024896817)	(2.0, 0.6057781919850885)	(3.0, 0.3944215151111703)	(4.0, 0.32951670882705364)	(5.0, 0.26211556383970175)	(6.0, 0.2096924510717614)	(7.0, 0.18056849953401677)	(8.0, 0.16642258021568368)	(9.0, 0.1497803221941153)	('>10', 2.427273332445746)	('>50', 0.9602582878444947)	('>100', 3.2602183464252428)	('>500', 1.7582545599786978)	('>1k', 16.593995473305817)	('>5k', 10.2483024896818)	('>10k+', 60.91815337504992)
1152R_S2_week28_S31_L001_R2_001	(1.0, 5.432865131140993)	(2.0, 0.8404340300892025)	(3.0, 0.5267274663826388)	(4.0, 0.4227133537478365)	(5.0, 0.3037212088936227)	(6.0, 0.2596192251364665)	(7.0, 0.2737651444547996)	(8.0, 0.21967780588470243)	(9.0, 0.18722540274264413)	('>10', 3.8992810544534686)	('>50', 1.0551191585674344)	('>100', 2.6461190254293703)	('>500', 1.3738183996804687)	('>1k', 10.409732392491012)	('>5k', 12.716349354280391)	('>10k+', 59.43283184662494)
1174R_0_M_S2_diabetes_S10_L001_R1_001	(1.0, 1.4694664487195608)	(2.0, 0.539838216186764)	(3.0, 0.4048786621400729)	(4.0, 0.3185380778741774)	(5.0, 0.3436858208642441)	(6.0, 0.2514774299006664)	(7.0, 0.2464478813026531)	(8.0, 0.127415231149671)	(9.0, 0.12070916635231989)	('>10', 2.538245525797393)	('>50', 0.8248459700741858)	('>100', 3.308604719393101)	('>500', 1.6111320675636027)	('>1k', 13.986336392975396)	('>5k', 23.496374533718935)	('>10k+', 50.41200385598725)
1174R_0_M_S2_diabetes_S10_L001_R2_001	(1.0, 5.848526761389832)	(2.0, 0.8969361666457102)	(3.0, 0.5104991826983528)	(4.0, 0.3487153694622574)	(5.0, 0.3185380778741774)	(6.0, 0.29171381868477303)	(7.0, 0.3168615616748397)	(8.0, 0.1810637495284798)	(9.0, 0.19615239532251982)	('>10', 4.143509786663314)	('>50', 0.7988599689844503)	('>100', 3.176998197745086)	('>500', 3.3949453036589965)	('>1k', 5.923131732260363)	('>5k', 17.679701580116518)	('>10k+', 55.97384634729033)
1174R_0_M_S2_week5_S39_L001_R1_001	(1.0, 1.642354966760725)	(2.0, 0.6351331962312879)	(3.0, 0.4820890525610981)	(4.0, 0.35582763403319145)	(5.0, 0.286957769381606)	(6.0, 0.2697403032187096)	(7.0, 0.2678272514228323)	(8.0, 0.13773972930317088)	(9.0, 0.20660959395475634)	('>10', 2.554880673394232)	('>50', 1.0493089100387394)	('>100', 2.922186618202688)	('>500', 4.005930460567219)	('>1k', 13.737624946195417)	('>5k', 27.480989047778472)	('>10k+', 43.964799846955856)
