	Naive	MinPath	Total families	Families found
PWY-7997	Yes	Yes	1	1
PWY-6892	Yes	Yes	6	5
PWY-8560	Yes	Yes	6	3
PWY-7197	Yes	Yes	4	2
GLYSYN-THR-PWY	Yes	Yes	1	1
PWY-6012	Yes	Yes	2	1
PWY0-1317	Yes	Yes	2	1
PWY-7985	Yes	No	4	1
PWY-7102	Yes	No	6	2
PWY-5856	Yes	No	8	1
PWY-6389	Yes	Yes	2	1
PWY-6406	Yes	Yes	2	1
SALVPURINE2-PWY	Yes	Yes	2	2
PWY-8049	Yes	No	7	1
PWY-5057	Yes	Yes	3	2
PWY-5973	Yes	Yes	5	4
PWY-8047	Yes	No	7	1
VALDEG-PWY	Yes	Yes	8	3
PWY-6703	Yes	Yes	4	2
ENTBACSYN-PWY	Yes	Yes	1	1
PWY-5663	Yes	Yes	3	2
P562-PWY	Yes	No	7	1
PWY-8138	Yes	Yes	2	2
PWY-7255	Yes	No	4	1
PWY-6599	Yes	Yes	2	1
PWY-3561	Yes	No	3	1
PWY-7111	Yes	Yes	5	4
PWY-301	Yes	No	8	1
PEPTIDOGLYCANSYN-PWY	Yes	Yes	4	2
PWY-7886	Yes	No	3	1
PWY-6683	Yes	Yes	3	1
PWY-6139	Yes	Yes	3	2
PWY-5484	Yes	Yes	11	9
PWY-8294	Yes	Yes	2	1
RUMP-PWY	Yes	No	6	2
PWY-6672	Yes	No	8	1
PWY0-1301	Yes	Yes	1	1
PWY-5892	Yes	Yes	2	2
PWY-7318	Yes	No	5	2
PWY2B4Q-7	Yes	Yes	2	1
PWY-7007	Yes	No	6	1
PWY-8184	Yes	No	3	1
PWY0-1577	Yes	Yes	2	1
GLUDEG-II-PWY	Yes	No	3	1
PWY-8185	Yes	No	3	1
PWY-7805	Yes	Yes	8	4
PWY-6897	Yes	Yes	3	2
ARGSYN-PWY	Yes	Yes	4	4
PWY0-1182	Yes	Yes	2	1
KDO-NAGLIPASYN-PWY	Yes	No	3	1
PWY-7347	Yes	No	3	1
PWY0-1261	Yes	No	13	5
PWY-8232	Yes	No	5	1
PWY-8134	Yes	No	7	1
PWY-6461	Yes	Yes	2	1
PWY-6163	Yes	Yes	5	5
PWY-6906-1	Yes	No	8	2
PWYQT-4429	Yes	Yes	2	2
CITRULLINE-DEG-PWY	Yes	Yes	1	1
SALVADEHYPOX-PWY	Yes	No	4	1
PWY0-1533	Yes	Yes	5	3
PWY-7224	Yes	No	6	1
PWY-5101	Yes	Yes	7	4
PWY-8219	Yes	No	6	1
PWY185E-1	Yes	No	8	1
PWY-8506	Yes	No	3	1
PWY-5674	Yes	Yes	2	1
PWY-43	Yes	No	3	1
ILEUDEG-PWY	Yes	No	6	1
DAPLYSINESYN-PWY	Yes	Yes	9	7
PWY0-662	Yes	Yes	1	1
RHAMCAT-PWY	Yes	Yes	4	1
PWY-4081	Yes	No	3	1
PWY-7220	Yes	Yes	3	3
ANAGLYCOLYSIS-PWY	Yes	Yes	11	9
PWY-5120	Yes	Yes	1	1
PWY-7953	Yes	Yes	8	6
PWY-6470	Yes	Yes	7	3
PWY-1861	Yes	Yes	8	6
PWY490-4	Yes	Yes	4	1
PWY-5151	Yes	Yes	2	1
PWY-7815	Yes	No	12	2
CYSTSYN-PWY	Yes	Yes	2	2
PWY-6122	Yes	Yes	5	4
METHIONINE-DEG1-PWY	Yes	No	3	1
PWY-881	Yes	Yes	2	2
PWY-7657	Yes	No	5	2
ETOH-ACETYLCOA-ANA-PWY	Yes	Yes	2	1
PWY-8222	Yes	No	5	1
PWY-7328	Yes	Yes	2	2
PWY-5437	Yes	No	6	1
PWY-8291	Yes	Yes	2	1
PYRIDNUCSAL-PWY	Yes	No	7	2
PWY-6613	Yes	Yes	2	2
PWY-7399	Yes	Yes	4	4
PWY-8280	Yes	No	6	2
PWY-8352	Yes	No	5	2
