	Unnamed: 0	Pathways	Naive	MinPath	Total families	Families found	Ontology - pathway type	Names	Common-Name-Taxa	Classification	Level 1	Level 1.1	Level 1.2	Level 1.3	Level 2	Level 2.1	Level 2.2	Level 2.3
43	43	PWY-7335	Yes	Yes	1	1	Carbohydrates-Biosynthesis	UDP-<i>N</i>-acetyl-&alpha;-D-mannosaminouronate biosynthesis	Escherichia coli,Staphylococcus aureus,Salmonella enterica	Bacteria	Biosynthesis				Carbohydrate biosynthesis			
44	44	HOMOSERSYN-PWY	Yes	Yes	3	3	Amino-Acid-Biosynthesis	L-homoserine biosynthesis	Escherichia coli,Methanocaldococcus jannaschii	Bacteria	Biosynthesis				Amino acid biosynthesis			
45	45	PWY-7385	Yes	No	9	4	Energy-Metabolism	1,3-propanediol biosynthesis (engineered) // 1,3-PDO biosynthesis	Escherichia coli,Klebsiella pneumoniae,Saccharomyces cerevisiae	Bacteria	Generation of precursor metabolites and energy							
46	46	P142-PWY	Yes	Yes	1	1	Super-Pathways // Energy-Metabolism	pyruvate fermentation to acetate I // acetate fermentation // pyruvic acid fermentation to acetic acid I	Clostridium pasteurianum,Clostridium acetobutylicum,Anaerotignum propionicum	Bacteria	Generation of precursor metabolites and energy	Superpathways						
47	47	PWY-8187	Yes	Yes	4	3	Amino-Acid-Degradation // Energy-Metabolism	L-arginine degradation XIII (reductive Stickland reaction) // L-arginine fermentation	Acetoanaerobium sticklandii,Alkaliphilus metalliredigens,Alkaliphilus oremlandii,Caldanaerobacter subterraneus,Clostridioides difficile,Clostridium sporogenes,Cutibacterium acnes,Fervidobacterium nodosum,Natranaerobius thermophilus,Petrotoga mobilis,Thermoanaerobacter pseudethanolicus,Thermosipho melanesiensis	Bacteria	Degradation/utilization/assimilation	Generation of precursor metabolites and energy			Amino acid degradation			
48	48	PWY-6902	Yes	Yes	4	1	Polymer-Degradation // Carbohydrates-Degradation // Glycan-Pathways	chitin degradation II (Vibrio)	Nepenthes alata,Nepenthes rafflesiana,Serratia marcescens,Vibrio cholerae,Vibrio cholerae non-O1,Vibrio cholerae O1,Vibrio furnissii	Bacteria	Degradation/utilization/assimilation	Degradation/utilization/assimilation	Glycan pathways		Polymeric compound degradation	Carbohydrate degradation		
49	49	PWY-8595	Yes	Yes	6	3	SECONDARY-METABOLITE-BIOSYNTHESIS	koreenceine B biosynthesis	Pseudomonas koreensis	Bacteria	Biosynthesis				Secondary metabolite biosynthesis			
50	50	FERMENTATION-PWY	Yes	Yes	16	10	Super-Pathways // Energy-Metabolism	mixed acid fermentation // fermentation	Escherichia coli	Bacteria	Generation of precursor metabolites and energy	Superpathways						
51	51	ARG-GLU-PWY	Yes	Yes	2	2	Amino-Acid-Degradation	L-arginine degradation VII (arginase 3 pathway)	Agrobacterium tumefaciens,Brucella melitensis,Rhizobiaceae,Sinorhizobium meliloti Rm2011	Bacteria	Degradation/utilization/assimilation				Amino acid degradation			
52	52	PWY-6638	Yes	No	4	1	Noncarbon-Nutrients	sulfolactate degradation III	Bilophila wadsworthia,Roseovarius nubinhibens,Ruegeria pomeroyi	Bacteria	Degradation/utilization/assimilation				Inorganic nutrient metabolism			
53	53	PWY-6587	Yes	Yes	3	3	Energy-Metabolism	pyruvate fermentation to ethanol III // pyruvic acid fermentation to ethanol III	Clostridium acetobutylicum,Clostridium pasteurianum	Bacteria	Generation of precursor metabolites and energy							
54	54	PWY-8204	Yes	Yes	3	2	Glycan-Pathways // Cell-Structure-Biosynthesis // Carbohydrates-Biosynthesis	<i>Salmonella enterica</i> serotype O:54 O antigen biosynthesis // group O:54 <i>Salmonella</i> O antigen biosynthesis	Salmonella enterica	Bacteria	Biosynthesis	Biosynthesis	Glycan pathways		Cell structure biosynthesis	Carbohydrate biosynthesis		
55	55	DENITRIFICATION-PWY	Yes	Yes	4	3	Noncarbon-Nutrients // Energy-Metabolism	nitrate reduction I (denitrification) // denitrification // nitrate respiration	Fusarium oxysporum,Haloarcula marismortui,Paracoccus denitrificans,Pseudomonas aeruginosa,Pseudomonas fluorescens,Stutzerimonas stutzeri	Bacteria	Degradation/utilization/assimilation	Generation of precursor metabolites and energy			Inorganic nutrient metabolism			
56	56	PWY-6983	Yes	Yes	3	2	Cofactor-Biosynthesis	<i>threo</i>-tetrahydrobiopterin biosynthesis	Chlorobaculum tepidum	Bacteria	Biosynthesis				Cofactor, carrier, and vitamin biosynthesis			
57	57	PWY-7663	Yes	Yes	4	4	Lipid-Biosynthesis	gondoate biosynthesis (anaerobic) // <i>cis</i>-11-icosenoate biosynthesis // (11<i>Z</i>)-icos-11-enoate biosynthesis // (11<i>Z</i>)-icosenoate biosynthesis // gondoic acid biosynthesis // 11-eicosenoic acid biosynthesis	Aerococcus viridans	Bacteria	Biosynthesis				Fatty acid and lipid biosynthesis			
58	58	TOLUENE-DEG-DIOL-PWY	Yes	No	4	1	AROMATIC-COMPOUNDS-DEGRADATION	toluene degradation to 2-hydroxypentadienoate (<I>via</I> toluene-<I>cis</I>-diol) // toluene degradation <I>via</I> toluene-<I>cis</I>-diol	Pseudomonas putida	Bacteria	Degradation/utilization/assimilation				Aromatic compound degradation			
59	59	PWY-7806	Yes	Yes	1	1	Noncarbon-Nutrients	glyphosate degradation II	Bacillus subtilis,Sinomonas atrocyanea	Bacteria	Degradation/utilization/assimilation				Inorganic nutrient metabolism			
60	60	PWY-7717	Yes	No	6	2	SECONDARY-METABOLITE-BIOSYNTHESIS	3-hydroxy-4-methyl-anthranilate biosynthesis I // 3-hydroxy-4-methyl-anthranilic acid biosynthesis I	Streptomyces anulatus	Bacteria	Biosynthesis				Secondary metabolite biosynthesis			
61	61	PWY-7821	Yes	No	9	1	SECONDARY-METABOLITE-BIOSYNTHESIS	tunicamycin biosynthesis	Streptomyces chartreusis,Streptomyces clavuligerus,Streptomyces lysosuperificus	Bacteria	Biosynthesis				Secondary metabolite biosynthesis			
62	62	PWY-2942	Yes	Yes	7	5	Amino-Acid-Biosynthesis	L-lysine biosynthesis III	Brevibacterium,Corynebacterium glutamicum,Lysinibacillus sphaericus,Paenibacillus macerans,Proteus vulgaris,Sporosarcina globispora,Sporosarcina pasteurii	Bacteria	Biosynthesis				Amino acid biosynthesis			
63	63	PWY-6151	Yes	Yes	4	3	Cofactor-Biosynthesis	<i>S</i>-adenosyl-L-methionine salvage I // SAM cycle // activated methyl cycle // AMC // <i>S</i>-adenosyl-L-methionine cycle I	Aliivibrio fischeri,Bacillus subtilis,Escherichia coli,Salmonella enterica	Bacteria	Biosynthesis				Cofactor, carrier, and vitamin biosynthesis			
64	64	PWY-622	Yes	Yes	7	5	Glycan-Pathways // Carbohydrates-Biosynthesis	starch biosynthesis	Chlamydomonas reinhardtii,Hordeum vulgare,Manihot esculenta,Nicotiana tabacum,Oryza sativa,Pisum sativum,Solanum tuberosum,Triticum aestivum,Zea mays,Arabidopsis thaliana	Bacteria	Biosynthesis	Glycan pathways			Carboxylic acid biosynthesis			
65	65	PWY-5028	Yes	Yes	5	3	Amino-Acid-Degradation	L-histidine degradation II	Pseudomonas putida,Pseudomonas fluorescens,Pseudomonas aeruginosa	Bacteria	Degradation/utilization/assimilation				Amino acid degradation			
66	66	HEME-BIOSYNTHESIS-II-1	Yes	No	4	1	Cofactor-Biosynthesis // Tetrapyrrole-Biosynthesis	heme <i>b</i> biosynthesis V (aerobic)	Escherichia coli	Bacteria	Biosynthesis	Biosynthesis			Cofactor, carrier, and vitamin biosynthesis	Tetrapyrrole biosynthesis		
67	67	PWY-1722	Yes	Yes	3	3	C1-COMPOUNDS	formate assimilation into 5,10-methylenetetrahydrofolate	Homo sapiens,Methylorubrum extorquens,Saccharomyces cerevisiae,Arabidopsis thaliana,Hyphomicrobium zavarzinii	Bacteria	Degradation/utilization/assimilation				C1 Compound utilization and assimilation			
68	68	P161-PWY	Yes	Yes	5	4	Energy-Metabolism	acetylene degradation (anaerobic) // acetylene fermentation	Mycobacterium lacticola,Syntrophotalea acetylenica,Rhodococcus opacus,Rhodococcus rhodochrous,Rhodococcus ruber	Bacteria	Generation of precursor metabolites and energy							
69	69	PWY-5384	Yes	Yes	4	2	Carbohydrates-Degradation	sucrose degradation IV (sucrose phosphorylase)	Bifidobacterium adolescentis,Bifidobacterium animalis,Bifidobacterium bifidum,Bifidobacterium longum	Bacteria	Degradation/utilization/assimilation				Carbohydrate degradation			
70	70	PWY-7664	Yes	Yes	6	4	Lipid-Biosynthesis	oleate biosynthesis IV (anaerobic) // <i>cis</i>-7-hexadecenoate biosynthesis // <i>cis</i>-9-octadecenoate biosynthesis // (7<i>Z</i>)-hexadec-7-enoate biosynthesis // (9<i>Z</i>)-octadec-9-enoate biosynthesis // (7<i>Z</i>)-hexadecenoate biosynthesis // (9<i>Z</i>)-octadecenoate biosynthesis	Aerococcus viridans,Clostridium beijerinckii,Cereibacter sphaeroides	Bacteria	Biosynthesis				Fatty acid and lipid biosynthesis			
71	71	PWY-6948	Yes	No	13	1	Fatty-Acid-and-Lipid-Degradation	sitosterol degradation to androstenedione	Corynebacterium flavescens,Mycolicibacterium fortuitum,Mycolicibacterium neoaurum,Mycolicibacterium vaccae,Pimelobacter simplex,Mycobacterium sp. NRRL B-3683,Pseudomonas sp. NCIB 10590	Bacteria	Degradation/utilization/assimilation				Fatty acid and lipid degradation			
