"ASV_count","ASV_length","Prevalence_threshold","Num_of_samples","Min_samples_for_prevalence","PPV","TP","FP","Total_ASVs","Unique_taxa","Taxa with no species before filtering","Taxa_with_no_species_after_filtering"
450,250,0.005,37,1,81.9444444444444,59,13,72,34,36,0
450,250,0.01,37,1,81.9444444444444,59,13,72,34,36,0
450,250,0.05,37,2,87.5,56,8,64,32,36,0
450,250,0.1,37,4,88.8888888888889,48,6,54,27,36,0
450,250,0.15,37,6,90,45,5,50,24,36,0
450,250,0.2,37,8,91.4893617021277,43,4,47,22,36,0
450,300,0.001,37,1,81.9444444444444,59,13,72,34,36,0
450,300,0.005,37,1,81.9444444444444,59,13,72,34,36,0
450,300,0.01,37,1,81.9444444444444,59,13,72,34,36,0
450,300,0.05,37,2,87.5,56,8,64,32,36,0
450,300,0.1,37,4,88.8888888888889,48,6,54,27,36,0
450,300,0.15,37,6,90,45,5,50,24,36,0
450,300,0.2,37,8,91.4893617021277,43,4,47,22,36,0
450,350,0.001,37,1,81.9444444444444,59,13,72,34,36,0
450,350,0.005,37,1,81.9444444444444,59,13,72,34,36,0
450,350,0.01,37,1,81.9444444444444,59,13,72,34,36,0
450,350,0.05,37,2,87.5,56,8,64,32,36,0
450,350,0.1,37,4,88.8888888888889,48,6,54,27,36,0
450,350,0.15,37,6,90,45,5,50,24,36,0
450,350,0.2,37,8,91.4893617021277,43,4,47,22,36,0
450,400,0.001,37,1,81.9444444444444,59,13,72,34,36,0
450,400,0.005,37,1,81.9444444444444,59,13,72,34,36,0
450,400,0.01,37,1,81.9444444444444,59,13,72,34,36,0
450,400,0.05,37,2,87.5,56,8,64,32,36,0
450,400,0.1,37,4,88.8888888888889,48,6,54,27,36,0
450,400,0.15,37,6,90,45,5,50,24,36,0
450,400,0.2,37,8,91.4893617021277,43,4,47,22,36,0
500,200,0.001,37,1,84.2857142857143,59,11,70,32,36,0
500,200,0.005,37,1,84.2857142857143,59,11,70,32,36,0
500,200,0.01,37,1,84.2857142857143,59,11,70,32,36,0
500,200,0.05,37,2,88.8888888888889,56,7,63,31,36,0
500,200,0.1,37,4,90.5660377358491,48,5,53,26,36,0
500,200,0.15,37,6,90,45,5,50,24,36,0
500,200,0.2,37,8,91.4893617021277,43,4,47,22,36,0
500,250,0.001,37,1,84.2857142857143,59,11,70,32,36,0
500,250,0.005,37,1,84.2857142857143,59,11,70,32,36,0
500,250,0.01,37,1,84.2857142857143,59,11,70,32,36,0
500,250,0.05,37,2,88.8888888888889,56,7,63,31,36,0
500,250,0.1,37,4,90.5660377358491,48,5,53,26,36,0
500,250,0.15,37,6,90,45,5,50,24,36,0
500,250,0.2,37,8,91.4893617021277,43,4,47,22,36,0
500,300,0.001,37,1,84.2857142857143,59,11,70,32,36,0
500,300,0.005,37,1,84.2857142857143,59,11,70,32,36,0
500,300,0.01,37,1,84.2857142857143,59,11,70,32,36,0
500,300,0.05,37,2,88.8888888888889,56,7,63,31,36,0
500,300,0.1,37,4,90.5660377358491,48,5,53,26,36,0
500,300,0.15,37,6,90,45,5,50,24,36,0
500,300,0.2,37,8,91.4893617021277,43,4,47,22,36,0
500,350,0.001,37,1,84.2857142857143,59,11,70,32,36,0
500,350,0.005,37,1,84.2857142857143,59,11,70,32,36,0
500,350,0.01,37,1,84.2857142857143,59,11,70,32,36,0
500,350,0.05,37,2,88.8888888888889,56,7,63,31,36,0
500,350,0.1,37,4,90.5660377358491,48,5,53,26,36,0
500,350,0.15,37,6,90,45,5,50,24,36,0
500,350,0.2,37,8,91.4893617021277,43,4,47,22,36,0
500,400,0.001,37,1,84.2857142857143,59,11,70,32,36,0
