S_S2_Bs_063_1	NADH-DEHYDROG-A-RXN
S_S2_Bs_063_201	ALPHAGALACTOSID-RXN
S_S2_Bs_063_201	RXN-11501
S_S2_Bs_063_201	RXN-12088
S_S2_Bs_063_202	RXN-14455
S_S2_Bs_063_203	RXN0-1134
S_S2_Bs_063_204	RXN0-1134
S_S2_Bs_063_205	1.8.4.12-RXN
S_S2_Bs_063_206	1.8.4.12-RXN
S_S2_Bs_063_207	RXN-8668
S_S2_Bs_063_208	DIHYDROOROT-RXN
S_S2_Bs_063_209	RXN-11396
S_S2_Bs_063_210	RXN-11396
S_S2_Bs_063_211	RXN-11396
S_S2_Bs_063_212	GLUCOKIN-RXN
S_S2_Bs_063_212	RXN66-521
S_S2_Bs_063_212	RXN-1685
S_S2_Bs_063_213	GLUCOKIN-RXN
S_S2_Bs_063_213	RXN66-521
S_S2_Bs_063_213	RXN-1685
S_S2_Bs_063_214	3-DEHYDROQUINATE-SYNTHASE-RXN
S_S2_Bs_063_215	R-2-METHYLMALATE-DEHYDRATASE-RXN
S_S2_Bs_063_216	R-2-METHYLMALATE-DEHYDRATASE-RXN
S_S2_Bs_063_217	RXN-14970
S_S2_Bs_063_217	RXN-14963
S_S2_Bs_063_217	R601-RXN
S_S2_Bs_063_218	RXN-14970
S_S2_Bs_063_218	RXN-14963
S_S2_Bs_063_218	R601-RXN
S_S2_Bs_063_219	3.5.1.88-RXN
S_S2_Bs_063_219	3.5.1.27-RXN
S_S2_Bs_063_220	3.5.1.88-RXN
S_S2_Bs_063_220	3.5.1.27-RXN
S_S2_Bs_063_221	RXN-14283
S_S2_Bs_063_221	RXN-14282
S_S2_Bs_063_221	RXN-14350
S_S2_Bs_063_221	RXN-15910
S_S2_Bs_063_221	RXN0-5183
S_S2_Bs_063_221	RXN-14349
S_S2_Bs_063_221	MALTODEXGLUCOSID-RXN
S_S2_Bs_063_221	RXN-14281
S_S2_Bs_063_221	RXN-2141
S_S2_Bs_063_222	RXN-14283
S_S2_Bs_063_222	RXN-14282
S_S2_Bs_063_222	RXN-14350
S_S2_Bs_063_222	RXN-15910
S_S2_Bs_063_222	RXN0-5183
S_S2_Bs_063_222	RXN-14349
S_S2_Bs_063_222	MALTODEXGLUCOSID-RXN
S_S2_Bs_063_222	RXN-14281
S_S2_Bs_063_222	RXN-2141
S_S2_Bs_063_223	SUCCCOASYN-RXN
S_S2_Bs_063_224	SUCCCOASYN-RXN
S_S2_Bs_063_225	RXN-11836
S_S2_Bs_063_226	ACETOLACTSYN-RXN
S_S2_Bs_063_226	ACETOOHBUTSYN-RXN
S_S2_Bs_063_227	ACETOLACTSYN-RXN
S_S2_Bs_063_227	ACETOOHBUTSYN-RXN
S_S2_Bs_063_228	ACETOLACTSYN-RXN
S_S2_Bs_063_228	ACETOOHBUTSYN-RXN
S_S2_Bs_063_229	IGPSYN-RXN
S_S2_Bs_063_230	ALARACECAT-RXN
S_S2_Bs_063_231	ALARACECAT-RXN
S_S2_Bs_063_232	3.1.11.6-RXN
S_S2_Bs_063_233	3.1.11.6-RXN
S_S2_Bs_063_234	RXN0-5266
S_S2_Bs_063_235	RXN0-5266
S_S2_Bs_063_236	RXN0-5266
S_S2_Bs_063_237	RXN0-5266
S_S2_Bs_063_238	ALPHA-AMYL-RXN
S_S2_Bs_063_238	RXN0-5181
S_S2_Bs_063_238	3.2.1.1-RXN
S_S2_Bs_063_238	RXN-1823
S_S2_Bs_063_239	GLUTAMIN-RXN
S_S2_Bs_063_240	GLUTAMIN-RXN
S_S2_Bs_063_241	2.1.1.63-RXN
S_S2_Bs_063_242	2.5.1.64-RXN
S_S2_Bs_063_243	3.4.23.43-RXN
S_S2_Bs_063_244	METHIONINE--TRNA-LIGASE-RXN
S_S2_Bs_063_244	RXN-16165
S_S2_Bs_063_245	2.4.1.52-RXN
S_S2_Bs_063_245	TEICHOICSYN5-RXN
S_S2_Bs_063_246	O-SUCCINYLBENZOATE-COA-SYN-RXN
S_S2_Bs_063_247	4-CARBOXYMUCONOLACTONE-DECARBOXYLASE-RXN
S_S2_Bs_063_248	4-CARBOXYMUCONOLACTONE-DECARBOXYLASE-RXN
S_S2_Bs_063_249	DTDPDEHYRHAMREDUCT-RXN
S_S2_Bs_063_250	GLUCOSAMINE-6-P-DEAMIN-RXN
S_S2_Bs_063_251	GLUCOSAMINE-6-P-DEAMIN-RXN
S_S2_Bs_063_252	RXN-12462
S_S2_Bs_063_253	RXN-12463
S_S2_Bs_063_254	RXN-14065
S_S2_Bs_063_255	ADENYLYLSULFKIN-RXN
S_S2_Bs_063_256	ADENYLYLSULFKIN-RXN
S_S2_Bs_063_257	OROPRIBTRANS-RXN
S_S2_Bs_063_258	UNDECAPRENYL-DIPHOSPHATASE-RXN
S_S2_Bs_063_259	UNDECAPRENYL-DIPHOSPHATASE-RXN
S_S2_Bs_063_260	UNDECAPRENYL-DIPHOSPHATASE-RXN
S_S2_Bs_063_261	OROTPDECARB-RXN
S_S2_Bs_063_262	ASPARTATE--TRNA-LIGASE-RXN
S_S2_Bs_063_263	7KAPSYN-RXN
S_S2_Bs_063_263	RXN-11484
S_S2_Bs_063_264	7KAPSYN-RXN
S_S2_Bs_063_264	RXN-11484
S_S2_Bs_063_265	CARBOXYLESTERASE-RXN
S_S2_Bs_063_265	RXN-12575
S_S2_Bs_063_265	RXN-10711
S_S2_Bs_063_265	3.1.1.64-RXN
S_S2_Bs_063_265	RXN-10767
S_S2_Bs_063_265	RXN-12252
S_S2_Bs_063_265	RETINYL-PALMITATE-ESTERASE-RXN
S_S2_Bs_063_265	RXNQT-4366
