S_S2_Cc_069_1	NADH-DEHYDROG-A-RXN
S_S2_Cc_069_313	BRANCHED-CHAINAMINOTRANSFERLEU-RXN
S_S2_Cc_069_314	F16ALDOLASE-RXN
S_S2_Cc_069_314	RXN-8631
S_S2_Cc_069_315	DIAMINOPIMDECARB-RXN
S_S2_Cc_069_316	RXN0-1342
S_S2_Cc_069_317	PGLYCDEHYDROG-RXN
S_S2_Cc_069_318	PGLYCDEHYDROG-RXN
S_S2_Cc_069_319	PGLYCDEHYDROG-RXN
S_S2_Cc_069_320	PGLYCDEHYDROG-RXN
S_S2_Cc_069_321	PGLYCDEHYDROG-RXN
S_S2_Cc_069_327	ASPARAGINE--TRNA-LIGASE-RXN
S_S2_Cc_069_328	IMP-DEHYDROG-RXN
S_S2_Cc_069_329	3-DEHYDROQUINATE-DEHYDRATASE-RXN
S_S2_Cc_069_330	PYRUFLAVREDUCT-RXN
S_S2_Cc_069_330	2-OXOBUTYRATE-SYNTHASE-RXN
S_S2_Cc_069_331	DAHPSYN-RXN
S_S2_Cc_069_332	DAHPSYN-RXN
S_S2_Cc_069_333	FADSYN-RXN
S_S2_Cc_069_334	RIBOFLAVINKIN-RXN
S_S2_Cc_069_335	RXN-11839
S_S2_Cc_069_336	325-BISPHOSPHATE-NUCLEOTIDASE-RXN
S_S2_Cc_069_338	RXN-1961
S_S2_Cc_069_339	PHOSACETYLTRANS-RXN
S_S2_Cc_069_340	PRPPSYN-RXN
S_S2_Cc_069_341	PRPPSYN-RXN
S_S2_Cc_069_342	S-2-HYDROXY-ACID-OXIDASE-RXN
S_S2_Cc_069_342	RXN-969
S_S2_Cc_069_343	RIBOFLAVINSYNDEAM-RXN
S_S2_Cc_069_344	RIBOFLAVINSYNREDUC-RXN
S_S2_Cc_069_345	4.1.1.81-RXN
S_S2_Cc_069_346	RXN-11877
S_S2_Cc_069_347	HISTAMINOTRANS-RXN
S_S2_Cc_069_348	RXN-7669
S_S2_Cc_069_348	GLYCOGEN-BRANCH-RXN
S_S2_Cc_069_348	RXN-7710
S_S2_Cc_069_348	RXN-14371
S_S2_Cc_069_348	RXN-14372
S_S2_Cc_069_349	RXN-7669
S_S2_Cc_069_349	GLYCOGEN-BRANCH-RXN
S_S2_Cc_069_349	RXN-7710
S_S2_Cc_069_349	RXN-14371
S_S2_Cc_069_349	RXN-14372
S_S2_Cc_069_350	RXN-13482
S_S2_Cc_069_350	ORNCARBAMTRANSFER-RXN
S_S2_Cc_069_351	2.7.3.9-RXN
S_S2_Cc_069_352	5-FORMYL-THF-CYCLO-LIGASE-RXN
S_S2_Cc_069_353	GLYCINE--TRNA-LIGASE-RXN
