S_S5_Ea_103_1	NADH-DEHYDROG-A-RXN
S_S5_Ea_103_234	GLUTAMATE-SYNTHASE-NADH-RXN
S_S5_Ea_103_235	GLUTAMATE-SYNTHASE-NADH-RXN
S_S5_Ea_103_236	GLUTAMATE-SYNTHASE-NADH-RXN
S_S5_Ea_103_237	GLUTAMATESYN-RXN
S_S5_Ea_103_238	GLUTAMATESYN-RXN
S_S5_Ea_103_239	GLUTAMATESYN-RXN
S_S5_Ea_103_240	MANNPISOM-RXN
S_S5_Ea_103_241	MANNPISOM-RXN
S_S5_Ea_103_242	MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN
S_S5_Ea_103_242	RXN-10949
S_S5_Ea_103_242	RXN-7253
S_S5_Ea_103_242	RXN0-5408
S_S5_Ea_103_242	RXN-10954
S_S5_Ea_103_242	RXN-10953
S_S5_Ea_103_242	RXN-10952
S_S5_Ea_103_243	RXN-11592
S_S5_Ea_103_244	RXN-12752
S_S5_Ea_103_244	RXN-13142
S_S5_Ea_103_245	MALONYL-COA-ACP-TRANSACYL-RXN
S_S5_Ea_103_246	1.11.1.15-RXN
S_S5_Ea_103_246	RXN0-5468
S_S5_Ea_103_247	3.4.23.36-RXN
S_S5_Ea_103_248	ISOLEUCINE--TRNA-LIGASE-RXN
S_S5_Ea_103_249	PANTOTHENATE-KIN-RXN
S_S5_Ea_103_250	METHIONYL-TRNA-FORMYLTRANSFERASE-RXN
S_S5_Ea_103_251	GALACTOKIN-RXN
S_S5_Ea_103_252	3.1.11.2-RXN
S_S5_Ea_103_253	NAG6PDEACET-RXN
S_S5_Ea_103_253	3.5.1.80-RXN
S_S5_Ea_103_256	3.4.11.18-RXN
S_S5_Ea_103_257	3.4.11.18-RXN
S_S5_Ea_103_258	NAD-KIN-RXN
S_S5_Ea_103_259	RXN-14025
S_S5_Ea_103_259	RXN-14026
S_S5_Ea_103_259	RXN-7607
S_S5_Ea_103_259	RXN-7609
S_S5_Ea_103_259	AMP-DEPHOSPHORYLATION-RXN
S_S5_Ea_103_259	5-NUCLEOTID-RXN
S_S5_Ea_103_259	RXN-14227
S_S5_Ea_103_259	RXN-5841
S_S5_Ea_103_259	XMPXAN-RXN
S_S5_Ea_103_260	RXN-14025
S_S5_Ea_103_260	RXN-14026
S_S5_Ea_103_260	RXN-7607
S_S5_Ea_103_260	RXN-7609
S_S5_Ea_103_260	AMP-DEPHOSPHORYLATION-RXN
S_S5_Ea_103_260	5-NUCLEOTID-RXN
S_S5_Ea_103_260	RXN-14227
S_S5_Ea_103_260	RXN-5841
S_S5_Ea_103_260	XMPXAN-RXN
S_S5_Ea_103_261	RXN-14025
S_S5_Ea_103_261	RXN-14026
S_S5_Ea_103_261	RXN-7607
S_S5_Ea_103_261	RXN-7609
S_S5_Ea_103_261	AMP-DEPHOSPHORYLATION-RXN
S_S5_Ea_103_261	5-NUCLEOTID-RXN
S_S5_Ea_103_261	RXN-14227
S_S5_Ea_103_261	RXN-5841
S_S5_Ea_103_261	XMPXAN-RXN
S_S5_Ea_103_262	RXN0-2921
S_S5_Ea_103_262	FOLYLPOLYGLUTAMATESYNTH-RXN
S_S5_Ea_103_262	FORMYLTHFGLUSYNTH-RXN
S_S5_Ea_103_263	DIHYDROFOLATESYNTH-RXN
S_S5_Ea_103_264	GLUTDEHYD-RXN
S_S5_Ea_103_280	PYRUVFORMLY-RXN
S_S5_Ea_103_281	PYRUVFORMLY-RXN
S_S5_Ea_103_282	PYRUVFORMLY-RXN
S_S5_Ea_103_283	PYRUVFORMLY-RXN
S_S5_Ea_103_284	PYRUVFORMLY-RXN
S_S5_Ea_103_285	THYMIDYLATESYN-RXN
S_S5_Ea_103_286	PRAISOM-RXN
S_S5_Ea_103_287	PRAISOM-RXN
S_S5_Ea_103_288	SELENOCYSTEINE-LYASE-RXN
S_S5_Ea_103_291	ALDOSE1EPIM-RXN
S_S5_Ea_103_291	ALDOSE-1-EPIMERASE-RXN
S_S5_Ea_103_292	RXN-12002
S_S5_Ea_103_293	GAPOXNPHOSPHN-RXN
S_S5_Ea_103_294	GAPOXNPHOSPHN-RXN
S_S5_Ea_103_295	RXN1G-94
S_S5_Ea_103_295	RXN1G-1015
S_S5_Ea_103_295	RXN1G-202
S_S5_Ea_103_295	RXN1G-883
S_S5_Ea_103_295	RXN1G-660
S_S5_Ea_103_295	RXN1G-374
S_S5_Ea_103_295	RXN1G-334
S_S5_Ea_103_295	RXN-8391
S_S5_Ea_103_295	RXN1G-582
S_S5_Ea_103_295	RXN1G-580
S_S5_Ea_103_295	RXN1G-89
S_S5_Ea_103_295	2.3.1.179-RXN
S_S5_Ea_103_295	RXN1G-1212
S_S5_Ea_103_295	RXN1G-424
