S_S2_Bs_063_451	3.1.13.3
S_S2_Bs_063_452	6.3.4.19
S_S2_Bs_063_453	6.3.4.19
S_S2_Bs_063_454	2.3.1.8
S_S2_Bs_063_455	4.2.1.19
S_S2_Bs_063_456	2.7.6.1
S_S2_Bs_063_457	1.1.3.15
S_S2_Bs_063_458	3.5.4.26
S_S2_Bs_063_459	1.1.1.193
S_S2_Bs_063_460	2.6.1.9
S_S2_Bs_063_461	2.4.1.18
S_S2_Bs_063_462	2.1.3.3
S_S2_Bs_063_463	2.7.3.9
S_S2_Bs_063_464	6.3.3.2
S_S2_Bs_063_465	6.1.1.14
S_S2_Bs_063_466	6.1.1.14
S_S2_Bs_063_467	1.1.1.22
S_S2_Bs_063_468	1.1.1.22
S_S2_Bs_063_469	1.1.1.22
S_S2_Bs_063_470	1.1.1.37
S_S2_Bs_063_471	5.4.99.19
S_S2_Bs_063_472	3.6.3.21
S_S2_Bs_063_473	3.6.3.21
S_S2_Bs_063_474	3.6.3.21
S_S2_Bs_063_475	1.2.1.38
S_S2_Bs_063_476	2.3.1.35
S_S2_Bs_063_477	5.3.1.16
S_S2_Bs_063_478	2.1.1.193
S_S2_Bs_063_479	2.5.1.99
S_S2_Bs_063_480	2.5.1.32
S_S2_Bs_063_481	1.5.1.3
S_S2_Bs_063_482	2.7.1.50
S_S2_Bs_063_483	2.7.1.71
S_S2_Bs_063_484	2.3.1.51
S_S2_Bs_063_485	2.3.1.51
S_S2_Bs_063_486	3.1.26.3
S_S2_Bs_063_487	2.1.1.198
S_S2_Bs_063_488	3.5.4.19
S_S2_Bs_063_489	1.1.1.23
S_S2_Bs_063_490	2.7.7.87
S_S2_Bs_063_491	2.4.2.29
S_S2_Bs_063_492	2.1.1.33
S_S2_Bs_063_493	6.1.1.9
S_S2_Bs_063_494	5.4.2.12
S_S2_Bs_063_495	5.4.2.12
S_S2_Bs_063_496	2.2.1.7
S_S2_Bs_063_497	2.3.1.28
S_S2_Bs_063_498	1.3.1.12
S_S2_Bs_063_499	3.5.4.12
S_S2_Bs_063_500	4.1.3.36
S_S2_Bs_063_501	2.7.4.25
S_S2_Bs_063_502	2.7.4.16
S_S2_Bs_063_503	4.3.1.19
S_S2_Bs_063_504	2.3.1.30
S_S2_Bs_063_505	1.2.1.41
S_S2_Bs_063_506	2.7.2.11
S_S2_Bs_063_507	2.7.2.11
S_S2_Bs_063_508	2.2.1.1
S_S2_Bs_063_509	6.3.2.6
S_S2_Bs_063_510	4.2.99.18
S_S2_Bs_063_511	4.2.99.18
S_S2_Bs_063_512	6.3.4.5
S_S2_Bs_063_513	1.8.1.4
S_S2_Bs_063_514	1.8.1.4
S_S2_Bs_063_515	1.8.1.4
S_S2_Bs_063_516	5.3.1.1
S_S2_Bs_063_517	2.3.1.61
S_S2_Bs_063_518	1.2.4.2
S_S2_Bs_063_519	2.1.1.14
S_S2_Bs_063_520	2.1.1.14
S_S2_Bs_063_521	2.1.1.14
S_S2_Bs_063_522	2.1.1.37
S_S2_Bs_063_523	4.3.2.2
S_S2_Bs_063_524	1.1.1.25
S_S2_Bs_063_525	1.17.4.1
S_S2_Bs_063_526	1.17.4.1
S_S2_Bs_063_527	2.7.2.4
S_S2_Bs_063_528	2.7.2.4
S_S2_Bs_063_529	2.7.2.4
S_S2_Bs_063_530	1.1.1.3
S_S2_Bs_063_531	2.6.1.85
S_S2_Bs_063_532	2.6.1.85
S_S2_Bs_063_533	5.4.4.2
S_S2_Bs_063_534	5.4.4.2
S_S2_Bs_063_535	3.4.11.4
S_S2_Bs_063_536	3.4.11.4
S_S2_Bs_063_537	1.1.1.42
S_S2_Bs_063_538	2.7.7.8
S_S2_Bs_063_539	2.4.2.8
S_S2_Bs_063_540	2.4.2.8
S_S2_Bs_063_541	2.3.1.183
S_S2_Bs_063_542	2.7.4.9
S_S2_Bs_063_543	6.3.4.20
S_S2_Bs_063_544	4.2.1.59
S_S2_Bs_063_545	4.2.1.59
S_S2_Bs_063_546	1.1.1.1
S_S2_Bs_063_547	1.1.1.1
S_S2_Bs_063_548	1.1.1.1
S_S2_Bs_063_549	1.1.1.1
S_S2_Bs_063_550	1.7.1.13
S_S2_Bs_063_551	4.2.3.5
S_S2_Bs_063_552	2.5.1.7
S_S2_Bs_063_553	2.5.1.7
S_S2_Bs_063_554	5.3.1.9
S_S2_Bs_063_555	1.5.1.2
S_S2_Bs_063_556	1.5.1.2
S_S2_Bs_063_557	1.5.1.2
S_S2_Bs_063_558	5.4.99.12
S_S2_Bs_063_559	2.7.7.18
S_S2_Bs_063_560	2.7.7.56
S_S2_Bs_063_561	6.3.3.3
S_S2_Bs_063_562	6.3.2.1
S_S2_Bs_063_563	1.1.1.169
S_S2_Bs_063_564	1.1.1.169
S_S2_Bs_063_565	1.1.1.169
S_S2_Bs_063_566	6.3.4.13
S_S2_Bs_063_567	5.4.3.8
S_S2_Bs_063_568	5.4.3.8
S_S2_Bs_063_569	4.1.99.12
S_S2_Bs_063_570	3.5.4.25
S_S2_Bs_063_571	2.5.1.78
S_S2_Bs_063_572	2.1.1.192
S_S2_Bs_063_573	2.3.1.57
S_S2_Bs_063_574	2.3.1.57
S_S2_Bs_063_575	2.6.1.62
S_S2_Bs_063_576	2.8.1.6
S_S2_Bs_063_577	2.1.1.190
S_S2_Bs_063_578	2.1.1.190
S_S2_Bs_063_579	3.4.11.10
S_S2_Bs_063_580	2.5.1.9
S_S2_Bs_063_581	6.1.1.15
S_S2_Bs_063_582	2.1.1.297
S_S2_Bs_063_583	5.1.1.7
S_S2_Bs_063_584	2.1.1.201
S_S2_Bs_063_585	2.1.1.163
S_S2_Bs_063_586	4.3.2.1
S_S2_Bs_063_587	3.1.21.2
S_S2_Bs_063_588	2.8.4.3
S_S2_Bs_063_589	6.1.1.16
S_S2_Bs_063_590	3.4.21.102
S_S2_Bs_063_591	3.4.21.102
S_S2_Bs_063_592	3.1.3.1
S_S2_Bs_063_593	3.1.3.1
S_S2_Bs_063_594	3.1.3.1
S_S2_Bs_063_595	3.1.3.1
S_S2_Bs_063_596	2.6.1.17
S_S2_Bs_063_597	2.6.1.11
S_S2_Bs_063_598	2.7.7.41
S_S2_Bs_063_599	2.3.1.12
S_S2_Bs_063_600	2.3.1.12
S_S2_Bs_063_601	2.3.1.12
S_S2_Bs_063_602	2.1.1.107
S_S2_Bs_063_603	2.1.1.107
S_S2_Bs_063_604	3.4.11.6
S_S2_Bs_063_605	2.7.8.5
S_S2_Bs_063_606	6.5.1.2
S_S2_Bs_063_607	4.2.1.51
S_S2_Bs_063_608	2.3.3.1
S_S2_Bs_063_609	2.3.3.1
S_S2_Bs_063_610	2.3.3.1
S_S2_Bs_063_611	2.1.1.207
S_S2_Bs_063_612	2.5.1.19
S_S2_Bs_063_613	2.7.4.6
S_S2_Bs_063_614	1.1.1.86
S_S2_Bs_063_615	2.6.1.1
S_S2_Bs_063_616	2.6.1.1
S_S2_Bs_063_617	2.5.1.31
S_S2_Bs_063_618	2.7.1.148
S_S2_Bs_063_619	2.7.2.8
S_S2_Bs_063_620	3.5.4.10
S_S2_Bs_063_621	2.1.2.3
S_S2_Bs_063_622	2.7.8.7
S_S2_Bs_063_623	1.15.1.1
S_S2_Bs_063_624	1.15.1.1
S_S2_Bs_063_625	1.15.1.1
S_S2_Bs_063_626	6.1.1.19
S_S2_Bs_063_627	3.6.1.13
S_S2_Bs_063_628	3.6.1.13
S_S2_Bs_063_629	5.4.99.5
S_S2_Bs_063_630	5.4.99.5
S_S2_Bs_063_631	5.4.99.5
S_S2_Bs_063_632	5.99.1.2
S_S2_Bs_063_633	5.99.1.2
S_S2_Bs_063_634	4.2.1.3
S_S2_Bs_063_635	1.5.1.5
S_S2_Bs_063_636	2.1.1.185
S_S2_Bs_063_637	6.1.1.4
S_S2_Bs_063_638	2.5.1.6
S_S2_Bs_063_639	3.4.21.92
S_S2_Bs_063_640	2.3.1.234
S_S2_Bs_063_641	2.3.1.234
S_S2_Bs_063_642	2.5.1.75
S_S2_Bs_063_643	4.1.1.19
S_S2_Bs_063_644	2.4.1.227
S_S2_Bs_063_645	6.3.2.9
