S_S5_He_108_494	6.3.4.4
S_S5_He_108_495	6.3.4.4
S_S5_He_108_496	2.1.2.2
S_S5_He_108_497	1.11.1.6
S_S5_He_108_498	3.5.1.42
S_S5_He_108_499	2.7.1.40
S_S5_He_108_500	2.1.2.10
S_S5_He_108_501	1.4.4.2
S_S5_He_108_502	1.4.4.2
S_S5_He_108_503	1.17.7.3
S_S5_He_108_504	1.17.7.1
S_S5_He_108_505	3.1.1.29
S_S5_He_108_506	6.1.1.7
S_S5_He_108_507	6.1.1.7
S_S5_He_108_508	2.1.1.182
S_S5_He_108_509	4.1.99.19
S_S5_He_108_510	6.3.3.1
S_S5_He_108_511	2.4.2.14
S_S5_He_108_512	4.1.1.36
S_S5_He_108_513	6.3.2.5
S_S5_He_108_514	3.1.3.100
S_S5_He_108_515	3.1.3.100
S_S5_He_108_516	3.1.3.15
S_S5_He_108_517	3.1.3.15
S_S5_He_108_518	2.7.4.8
S_S5_He_108_519	2.7.4.8
S_S5_He_108_520	2.7.4.8
S_S5_He_108_521	2.3.1.180
S_S5_He_108_522	1.1.1.267
S_S5_He_108_523	2.7.7.3
S_S5_He_108_524	3.6.5.4
S_S5_He_108_525	6.1.1.11
S_S5_He_108_526	4.2.1.2
S_S5_He_108_527	4.2.1.2
S_S5_He_108_528	4.3.3.7
S_S5_He_108_529	4.3.3.7
S_S5_He_108_530	4.3.3.7
S_S5_He_108_531	4.3.3.7
S_S5_He_108_532	1.17.1.8
S_S5_He_108_533	6.1.1.3
S_S5_He_108_534	6.1.1.3
S_S5_He_108_535	2.4.1.129
S_S5_He_108_536	2.4.1.129
S_S5_He_108_537	1.1.1.94
S_S5_He_108_538	6.1.1.6
S_S5_He_108_539	6.3.5.2
S_S5_He_108_540	6.3.5.2
S_S5_He_108_541	2.6.1.42
S_S5_He_108_542	4.1.2.13
S_S5_He_108_543	4.1.2.13
S_S5_He_108_544	4.1.2.13
S_S5_He_108_545	4.1.2.13
S_S5_He_108_546	4.1.2.13
S_S5_He_108_547	4.1.1.20
S_S5_He_108_548	2.4.99.17
S_S5_He_108_549	1.1.1.95
S_S5_He_108_550	1.1.1.95
S_S5_He_108_551	1.1.1.399
S_S5_He_108_552	1.1.1.399
S_S5_He_108_553	6.1.1.22
S_S5_He_108_554	1.1.1.205
S_S5_He_108_555	1.1.1.205
S_S5_He_108_556	4.2.1.10
S_S5_He_108_557	1.2.7.1
S_S5_He_108_558	2.5.1.54
S_S5_He_108_559	2.5.1.54
S_S5_He_108_560	2.7.7.2
S_S5_He_108_561	2.7.1.26
S_S5_He_108_562	5.4.99.25
S_S5_He_108_563	3.1.3.7
S_S5_He_108_564	3.1.13.3
S_S5_He_108_565	6.3.4.19
S_S5_He_108_566	1.1.1.262
S_S5_He_108_567	1.1.1.262
S_S5_He_108_568	4.2.1.19
S_S5_He_108_569	2.7.6.1
S_S5_He_108_570	2.7.6.1
S_S5_He_108_571	4.1.1.81
S_S5_He_108_572	4.1.1.81
S_S5_He_108_573	2.6.1.9
S_S5_He_108_574	2.6.1.9
S_S5_He_108_575	2.4.1.18
S_S5_He_108_576	2.4.1.18
S_S5_He_108_577	2.1.3.3
