S_S2_Cc_069_560	2.7.6.5
S_S2_Cc_069_561	2.7.6.5
S_S2_Cc_069_562	2.7.6.5
S_S2_Cc_069_563	3.1.3.97
S_S2_Cc_069_564	3.1.1.31
S_S2_Cc_069_565	3.5.1.18
S_S2_Cc_069_566	3.5.2.10
S_S2_Cc_069_567	3.5.2.10
S_S2_Cc_069_568	4.99.1.4
S_S2_Cc_069_569	4.99.1.4
S_S2_Cc_069_570	1.3.1.76
S_S2_Cc_069_571	1.3.1.76
S_S2_Cc_069_572	3.5.99.10
S_S2_Cc_069_573	3.5.1.44
S_S2_Cc_069_574	3.5.1.44
S_S2_Cc_069_575	2.7.1.17
S_S2_Cc_069_576	4.2.1.7
S_S2_Cc_069_577	4.2.1.7
S_S2_Cc_069_578	4.2.1.7
S_S2_Cc_069_579	1.3.1.14
S_S2_Cc_069_580	5.1.3.13
S_S2_Cc_069_581	5.1.3.13
S_S2_Cc_069_582	3.6.3.31
S_S2_Cc_069_583	3.6.3.31
S_S2_Cc_069_584	3.1.11.5
S_S2_Cc_069_585	2.6.1.16
S_S2_Cc_069_586	2.6.1.16
S_S2_Cc_069_587	3.6.3.3
S_S2_Cc_069_588	3.6.3.3
S_S2_Cc_069_589	3.5.4.5
S_S2_Cc_069_590	3.5.4.5
S_S2_Cc_069_591	3.6.3.5
S_S2_Cc_069_592	3.6.3.5
S_S2_Cc_069_593	2.7.1.30
S_S2_Cc_069_594	5.4.2.10
S_S2_Cc_069_595	5.4.99.9
S_S2_Cc_069_596	3.6.3.40
S_S2_Cc_069_597	5.4.2.8
S_S2_Cc_069_598	3.5.4.2
S_S2_Cc_069_599	3.4.21.107
S_S2_Cc_069_600	3.4.21.107
S_S2_Cc_069_601	3.2.1.68
S_S2_Cc_069_602	5.3.1.6
S_S2_Cc_069_603	5.3.1.6
S_S2_Cc_069_604	1.1.1.69
S_S2_Cc_069_605	2.7.1.24
S_S2_Cc_069_606	2.7.1.24
S_S2_Cc_069_607	2.5.1.17
S_S2_Cc_069_608	2.5.1.17
S_S2_Cc_069_609	1.1.1.27
S_S2_Cc_069_610	1.1.1.27
S_S2_Cc_069_611	2.7.1.48
S_S2_Cc_069_612	2.7.1.48
S_S2_Cc_069_613	2.7.2.2
S_S2_Cc_069_614	3.1.26.11
