S_S5_Ca_088_v1v9_324	EC:2.8.4.3
S_S5_Ca_088_v1v9_325	EC:2.8.4.4
S_S5_Ca_088_v1v9_326	EC:6.1.1.16
S_S5_Ca_088_v1v9_327	EC:2.6.1.17
S_S5_Ca_088_v1v9_328	EC:2.6.1.11
S_S5_Ca_088_v1v9_329	EC:2.7.7.41
S_S5_Ca_088_v1v9_330	EC:2.6.1.66
S_S5_Ca_088_v1v9_331	EC:2.7.8.5
S_S5_Ca_088_v1v9_332	EC:6.5.1.2
S_S5_Ca_088_v1v9_333	EC:4.2.1.51
S_S5_Ca_088_v1v9_334	EC:2.3.3.1
S_S5_Ca_088_v1v9_335	EC:2.1.1.207
S_S5_Ca_088_v1v9_336	EC:2.5.1.19
S_S5_Ca_088_v1v9_337	EC:4.1.2.48
S_S5_Ca_088_v1v9_338	EC:2.6.1.1
S_S5_Ca_088_v1v9_339	EC:2.6.1.1
S_S5_Ca_088_v1v9_340	EC:2.6.1.1
S_S5_Ca_088_v1v9_341	EC:2.5.1.31
S_S5_Ca_088_v1v9_342	EC:2.7.1.148
S_S5_Ca_088_v1v9_343	EC:2.7.2.8
S_S5_Ca_088_v1v9_344	EC:3.5.4.10
S_S5_Ca_088_v1v9_345	EC:2.1.2.3
S_S5_Ca_088_v1v9_346	EC:2.7.8.7
S_S5_Ca_088_v1v9_347	EC:6.1.1.19
S_S5_Ca_088_v1v9_348	EC:4.99.1.12
S_S5_Ca_088_v1v9_349	EC:4.99.1.12
S_S5_Ca_088_v1v9_350	EC:3.6.1.13
S_S5_Ca_088_v1v9_351	EC:5.4.99.5
S_S5_Ca_088_v1v9_352	EC:5.99.1.2
S_S5_Ca_088_v1v9_353	EC:1.5.1.5
S_S5_Ca_088_v1v9_354	EC:2.1.1.185
S_S5_Ca_088_v1v9_355	EC:6.1.1.4
S_S5_Ca_088_v1v9_356	EC:2.5.1.6
S_S5_Ca_088_v1v9_357	EC:3.4.21.92
S_S5_Ca_088_v1v9_358	EC:2.3.1.234
S_S5_Ca_088_v1v9_359	EC:2.5.1.75
S_S5_Ca_088_v1v9_360	EC:2.4.1.227
S_S5_Ca_088_v1v9_361	EC:6.3.2.9
S_S5_Ca_088_v1v9_362	EC:2.7.8.13
S_S5_Ca_088_v1v9_363	EC:6.3.2.10
S_S5_Ca_088_v1v9_364	EC:6.3.2.13
S_S5_Ca_088_v1v9_365	EC:2.1.1.199
S_S5_Ca_088_v1v9_366	EC:2.8.1.13
S_S5_Ca_088_v1v9_367	EC:1.1.1.100
S_S5_Ca_088_v1v9_368	EC:1.4.3.16
S_S5_Ca_088_v1v9_369	EC:1.4.3.16
S_S5_Ca_088_v1v9_370	EC:5.1.3.1
S_S5_Ca_088_v1v9_371	EC:3.5.4.9
S_S5_Ca_088_v1v9_372	EC:6.3.4.2
S_S5_Ca_088_v1v9_373	EC:5.4.2.2
S_S5_Ca_088_v1v9_374	EC:6.1.1.1
S_S5_Ca_088_v1v9_375	EC:5.4.99.18
S_S5_Ca_088_v1v9_376	EC:2.4.2.9
S_S5_Ca_088_v1v9_377	EC:2.4.2.9
S_S5_Ca_088_v1v9_378	EC:2.1.3.2
S_S5_Ca_088_v1v9_379	EC:3.5.4.16
S_S5_Ca_088_v1v9_380	EC:1.17.7.4
S_S5_Ca_088_v1v9_381	EC:2.4.2.17
S_S5_Ca_088_v1v9_382	EC:3.4.11.9
