S_S2_Cc_069_v1v9_1	NADH-DEHYDROG-A-RXN
S_S2_Cc_069_v1v9_258	RXN1G-557
S_S2_Cc_069_v1v9_258	RXN1G-32
S_S2_Cc_069_v1v9_259	RXN8J2-140
S_S2_Cc_069_v1v9_260	2.7.7.60-RXN
S_S2_Cc_069_v1v9_261	2.7.7.60-RXN
S_S2_Cc_069_v1v9_262	2.7.7.60-RXN
S_S2_Cc_069_v1v9_263	2.7.7.60-RXN
S_S2_Cc_069_v1v9_264	TRYPTOPHAN--TRNA-LIGASE-RXN
S_S2_Cc_069_v1v9_265	FRUCTOKINASE-RXN
S_S2_Cc_069_v1v9_266	FRUCTOKINASE-RXN
S_S2_Cc_069_v1v9_267	RXN-14517
S_S2_Cc_069_v1v9_267	RXN-12458
S_S2_Cc_069_v1v9_268	RXN-982
S_S2_Cc_069_v1v9_269	RXN-14285
S_S2_Cc_069_v1v9_269	RXN-14284
S_S2_Cc_069_v1v9_269	RXN-14286
S_S2_Cc_069_v1v9_269	RXN-14353
S_S2_Cc_069_v1v9_269	RXN-9025
S_S2_Cc_069_v1v9_269	RXN0-5182
S_S2_Cc_069_v1v9_269	RXN0-5184
S_S2_Cc_069_v1v9_269	GLYCOPHOSPHORYL-RXN
S_S2_Cc_069_v1v9_269	RXN-12171
S_S2_Cc_069_v1v9_269	GLYMALTOPHOSPHORYL-RXN
S_S2_Cc_069_v1v9_269	RXN-1826
S_S2_Cc_069_v1v9_269	RXN-12392
S_S2_Cc_069_v1v9_270	3.6.3.8-RXN
S_S2_Cc_069_v1v9_271	DTDPGLUCDEHYDRAT-RXN
S_S2_Cc_069_v1v9_272	DTDPGLUCOSEPP-RXN
S_S2_Cc_069_v1v9_273	BIOTINLIG-RXN
S_S2_Cc_069_v1v9_274	HISTIDINE--TRNA-LIGASE-RXN
S_S2_Cc_069_v1v9_275	RXN-13158
S_S2_Cc_069_v1v9_275	RXN-14986
S_S2_Cc_069_v1v9_276	PHOSGLYPHOS-RXN
S_S2_Cc_069_v1v9_277	ADENYLOSUCCINATE-SYNTHASE-RXN
S_S2_Cc_069_v1v9_278	GART-RXN
S_S2_Cc_069_v1v9_279	NMNAMIDOHYDRO-RXN
S_S2_Cc_069_v1v9_280	RXN-14207
S_S2_Cc_069_v1v9_280	PEPDEPHOS-RXN
S_S2_Cc_069_v1v9_280	RXN-14117
S_S2_Cc_069_v1v9_280	RXN-14192
S_S2_Cc_069_v1v9_281	RXN-14207
S_S2_Cc_069_v1v9_281	PEPDEPHOS-RXN
S_S2_Cc_069_v1v9_281	RXN-14117
S_S2_Cc_069_v1v9_281	RXN-14192
S_S2_Cc_069_v1v9_282	RXN-15878
S_S2_Cc_069_v1v9_283	RXN0-882
S_S2_Cc_069_v1v9_284	RXN-12460
S_S2_Cc_069_v1v9_284	AMINOCYL-TRNA-HYDROLASE-RXN
S_S2_Cc_069_v1v9_284	RXN-16637
