S_S2_Bs_063_v1v9_1	NADH-DEHYDROG-A-RXN
S_S2_Bs_063_v1v9_106	PROTEIN-TYROSINE-PHOSPHATASE-RXN
S_S2_Bs_063_v1v9_107	PROTEIN-TYROSINE-PHOSPHATASE-RXN
S_S2_Bs_063_v1v9_108	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_S2_Bs_063_v1v9_109	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_S2_Bs_063_v1v9_110	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_S2_Bs_063_v1v9_111	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_S2_Bs_063_v1v9_112	2-ISOPROPYLMALATESYN-RXN
S_S2_Bs_063_v1v9_113	RXN-11602
S_S2_Bs_063_v1v9_114	TRYPSYN-RXN
S_S2_Bs_063_v1v9_115	TRYPSYN-RXN
S_S2_Bs_063_v1v9_116	6.3.5.6-RXN
S_S2_Bs_063_v1v9_117	6.3.5.6-RXN
S_S2_Bs_063_v1v9_118	6.3.5.6-RXN
S_S2_Bs_063_v1v9_119	6.3.5.7-RXN
S_S2_Bs_063_v1v9_120	6.3.5.7-RXN
S_S2_Bs_063_v1v9_121	6.3.5.7-RXN
S_S2_Bs_063_v1v9_122	6PFRUCTPHOS-RXN
S_S2_Bs_063_v1v9_123	RXN0-2584
S_S2_Bs_063_v1v9_124	RXN-11591
S_S2_Bs_063_v1v9_125	ATPSYN-RXN
S_S2_Bs_063_v1v9_126	ATPSYN-RXN
S_S2_Bs_063_v1v9_127	ATPSYN-RXN
S_S2_Bs_063_v1v9_131	RXN-12104
S_S2_Bs_063_v1v9_132	1.5.1.20-RXN
S_S2_Bs_063_v1v9_133	FGAMSYN-RXN
S_S2_Bs_063_v1v9_134	FGAMSYN-RXN
S_S2_Bs_063_v1v9_135	FGAMSYN-RXN
S_S2_Bs_063_v1v9_136	3.1.26.4-RXN
S_S2_Bs_063_v1v9_137	3.1.26.4-RXN
S_S2_Bs_063_v1v9_138	3.1.26.4-RXN
S_S2_Bs_063_v1v9_139	3.1.26.4-RXN
S_S2_Bs_063_v1v9_140	3.1.3.16-RXN
