Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
3971R_RL_F_NS1_week9_S81_L001_R1_001	(17.0, 1.0)	(18.0, 8.0)	(19.0, 12.0)	(20.0, 33.0)	(21.0, 64.0)	(22.0, 112.0)	(23.0, 183.0)	(24.0, 219.0)	(25.0, 349.0)	(26.0, 569.0)	(27.0, 773.0)	(28.0, 977.0)	(29.0, 1124.0)	(30.0, 1155.0)	(31.0, 1325.0)	(32.0, 1536.0)	(33.0, 1971.0)	(34.0, 2722.0)	(35.0, 4406.0)	(36.0, 9071.0)	(37.0, 45824.0)	(38.0, 1.0)			
3971R_RL_F_NS1_week9_S81_L001_R2_001	(16.0, 2.0)	(17.0, 7.0)	(18.0, 9.0)	(19.0, 11.0)	(20.0, 79.0)	(21.0, 211.0)	(22.0, 277.0)	(23.0, 271.0)	(24.0, 341.0)	(25.0, 374.0)	(26.0, 511.0)	(27.0, 753.0)	(28.0, 1148.0)	(29.0, 1607.0)	(30.0, 2466.0)	(31.0, 3559.0)	(32.0, 5139.0)	(33.0, 8555.0)	(34.0, 12845.0)	(35.0, 16471.0)	(36.0, 15820.0)	(37.0, 1979.0)			
3971R_R_F_NS1_diabetes_S28_L001_R1_001	(17.0, 1.0)	(18.0, 1.0)	(19.0, 7.0)	(20.0, 25.0)	(21.0, 61.0)	(22.0, 89.0)	(23.0, 137.0)	(24.0, 176.0)	(25.0, 310.0)	(26.0, 483.0)	(27.0, 717.0)	(28.0, 814.0)	(29.0, 901.0)	(30.0, 988.0)	(31.0, 1108.0)	(32.0, 1291.0)	(33.0, 1718.0)	(34.0, 2357.0)	(35.0, 3820.0)	(36.0, 7770.0)	(37.0, 38779.0)	(38.0, 1.0)			
3971R_R_F_NS1_diabetes_S28_L001_R2_001	(14.0, 2.0)	(15.0, 5.0)	(16.0, 5.0)	(17.0, 10.0)	(18.0, 12.0)	(19.0, 9.0)	(20.0, 136.0)	(21.0, 338.0)	(22.0, 390.0)	(23.0, 392.0)	(24.0, 399.0)	(25.0, 433.0)	(26.0, 548.0)	(27.0, 710.0)	(28.0, 960.0)	(29.0, 1288.0)	(30.0, 1940.0)	(31.0, 2688.0)	(32.0, 4199.0)	(33.0, 6641.0)	(34.0, 10233.0)	(35.0, 13651.0)	(36.0, 14336.0)	(37.0, 2229.0)	
3971R_R_F_NS1_week9_S80_L001_R1_001	(19.0, 8.0)	(20.0, 39.0)	(21.0, 56.0)	(22.0, 100.0)	(23.0, 147.0)	(24.0, 230.0)	(25.0, 327.0)	(26.0, 496.0)	(27.0, 636.0)	(28.0, 832.0)	(29.0, 879.0)	(30.0, 1014.0)	(31.0, 1095.0)	(32.0, 1297.0)	(33.0, 1817.0)	(34.0, 2434.0)	(35.0, 4181.0)	(36.0, 8642.0)	(37.0, 44477.0)	(38.0, 2.0)					
3971R_R_F_NS1_week9_S80_L001_R2_001	(15.0, 1.0)	(16.0, 6.0)	(17.0, 5.0)	(18.0, 5.0)	(19.0, 14.0)	(20.0, 94.0)	(21.0, 236.0)	(22.0, 293.0)	(23.0, 317.0)	(24.0, 299.0)	(25.0, 330.0)	(26.0, 430.0)	(27.0, 570.0)	(28.0, 850.0)	(29.0, 1237.0)	(30.0, 1868.0)	(31.0, 2894.0)	(32.0, 4403.0)	(33.0, 7372.0)	(34.0, 11791.0)	(35.0, 16610.0)	(36.0, 17101.0)	(37.0, 1983.0)		
3975R_0_F_NS1_week5_S60_L001_R1_001	(18.0, 2.0)	(19.0, 12.0)	(20.0, 27.0)	(21.0, 63.0)	(22.0, 95.0)	(23.0, 138.0)	(24.0, 220.0)	(25.0, 324.0)	(26.0, 544.0)	(27.0, 744.0)	(28.0, 847.0)	(29.0, 965.0)	(30.0, 1083.0)	(31.0, 1206.0)	(32.0, 1290.0)	(33.0, 1637.0)	(34.0, 2499.0)	(35.0, 3940.0)	(36.0, 8174.0)	(37.0, 37937.0)	(38.0, 2.0)				
3975R_0_F_NS1_week5_S60_L001_R2_001	(13.0, 1.0)	(14.0, 3.0)	(15.0, 3.0)	(16.0, 5.0)	(17.0, 7.0)	(18.0, 14.0)	(19.0, 17.0)	(20.0, 125.0)	(21.0, 329.0)	(22.0, 335.0)	(23.0, 342.0)	(24.0, 385.0)	(25.0, 453.0)	(26.0, 529.0)	(27.0, 697.0)	(28.0, 932.0)	(29.0, 1390.0)	(30.0, 1972.0)	(31.0, 2927.0)	(32.0, 4467.0)	(33.0, 6977.0)	(34.0, 10616.0)	(35.0, 13797.0)	(36.0, 13690.0)	(37.0, 1736.0)
3975R_L_F_NS1_diabetes_S30_L001_R1_001	(18.0, 2.0)	(19.0, 9.0)	(20.0, 26.0)	(21.0, 88.0)	(22.0, 117.0)	(23.0, 145.0)	(24.0, 216.0)	(25.0, 403.0)	(26.0, 609.0)	(27.0, 828.0)	(28.0, 1036.0)	(29.0, 1125.0)	(30.0, 1183.0)	(31.0, 1358.0)	(32.0, 1527.0)	(33.0, 1947.0)	(34.0, 2698.0)	(35.0, 4591.0)	(36.0, 9526.0)	(37.0, 49583.0)	(38.0, 3.0)				
3975R_L_F_NS1_diabetes_S30_L001_R2_001	(14.0, 2.0)	(15.0, 4.0)	(16.0, 8.0)	(17.0, 6.0)	(18.0, 16.0)	(19.0, 19.0)	(20.0, 141.0)	(21.0, 443.0)	(22.0, 545.0)	(23.0, 494.0)	(24.0, 472.0)	(25.0, 597.0)	(26.0, 642.0)	(27.0, 888.0)	(28.0, 1178.0)	(29.0, 1791.0)	(30.0, 2347.0)	(31.0, 3386.0)	(32.0, 4868.0)	(33.0, 7939.0)	(34.0, 12161.0)	(35.0, 16554.0)	(36.0, 18992.0)	(37.0, 3527.0)	
3975R_L_F_NS1_week5_S61_L001_R1_001	(17.0, 1.0)	(18.0, 2.0)	(19.0, 9.0)	(20.0, 39.0)	(21.0, 80.0)	(22.0, 102.0)	(23.0, 176.0)	(24.0, 238.0)	(25.0, 381.0)	(26.0, 639.0)	(27.0, 784.0)	(28.0, 1050.0)	(29.0, 1133.0)	(30.0, 1277.0)	(31.0, 1344.0)	(32.0, 1585.0)	(33.0, 2019.0)	(34.0, 2718.0)	(35.0, 4522.0)	(36.0, 9317.0)	(37.0, 45634.0)	(38.0, 1.0)			
3975R_L_F_NS1_week5_S61_L001_R2_001	(14.0, 3.0)	(15.0, 2.0)	(16.0, 5.0)	(17.0, 8.0)	(18.0, 13.0)	(19.0, 19.0)	(20.0, 158.0)	(21.0, 374.0)	(22.0, 462.0)	(23.0, 387.0)	(24.0, 458.0)	(25.0, 528.0)	(26.0, 627.0)	(27.0, 874.0)	(28.0, 1155.0)	(29.0, 1736.0)	(30.0, 2522.0)	(31.0, 3498.0)	(32.0, 5173.0)	(33.0, 8177.0)	(34.0, 12289.0)	(35.0, 15907.0)	(36.0, 16098.0)	(37.0, 2578.0)	
3975R_L_F_NS1_week9_S82_L001_R1_001	(18.0, 5.0)	(19.0, 8.0)	(20.0, 28.0)	(21.0, 60.0)	(22.0, 101.0)	(23.0, 152.0)	(24.0, 224.0)	(25.0, 349.0)	(26.0, 565.0)	(27.0, 790.0)	(28.0, 1004.0)	(29.0, 1221.0)	(30.0, 1258.0)	(31.0, 1428.0)	(32.0, 1659.0)	(33.0, 2118.0)	(34.0, 3000.0)	(35.0, 4908.0)	(36.0, 10093.0)	(37.0, 52423.0)	(38.0, 3.0)				
3975R_L_F_NS1_week9_S82_L001_R2_001	(14.0, 1.0)	(15.0, 4.0)	(16.0, 3.0)	(17.0, 3.0)	(18.0, 4.0)	(19.0, 17.0)	(20.0, 86.0)	(21.0, 238.0)	(22.0, 302.0)	(23.0, 312.0)	(24.0, 354.0)	(25.0, 443.0)	(26.0, 501.0)	(27.0, 727.0)	(28.0, 1190.0)	(29.0, 1761.0)	(30.0, 2441.0)	(31.0, 3769.0)	(32.0, 5896.0)	(33.0, 9485.0)	(34.0, 14701.0)	(35.0, 18953.0)	(36.0, 17992.0)	(37.0, 2214.0)	
3975R_NS1_week14_S33_L001_R1_001	(17.0, 1.0)	(18.0, 3.0)	(19.0, 10.0)	(20.0, 24.0)	(21.0, 59.0)	(22.0, 87.0)	(23.0, 124.0)	(24.0, 191.0)	(25.0, 278.0)	(26.0, 418.0)	(27.0, 546.0)	(28.0, 726.0)	(29.0, 818.0)	(30.0, 925.0)	(31.0, 1067.0)	(32.0, 1296.0)	(33.0, 1635.0)	(34.0, 2384.0)	(35.0, 4223.0)	(36.0, 8915.0)	(37.0, 40060.0)				
3975R_NS1_week14_S33_L001_R2_001	(15.0, 1.0)	(16.0, 3.0)	(17.0, 4.0)	(18.0, 5.0)	(19.0, 5.0)	(20.0, 57.0)	(21.0, 179.0)	(22.0, 231.0)	(23.0, 231.0)	(24.0, 259.0)	(25.0, 282.0)	(26.0, 394.0)	(27.0, 550.0)	(28.0, 841.0)	(29.0, 1311.0)	(30.0, 2015.0)	(31.0, 3020.0)	(32.0, 5241.0)	(33.0, 8484.0)	(34.0, 12764.0)	(35.0, 15557.0)	(36.0, 11631.0)	(37.0, 725.0)		
3975R_RL_F_NS1_diabetes_S32_L001_R1_001	(18.0, 3.0)	(19.0, 9.0)	(20.0, 37.0)	(21.0, 62.0)	(22.0, 90.0)	(23.0, 123.0)	(24.0, 178.0)	(25.0, 281.0)	(26.0, 419.0)	(27.0, 696.0)	(28.0, 850.0)	(29.0, 917.0)	(30.0, 958.0)	(31.0, 1156.0)	(32.0, 1405.0)	(33.0, 1768.0)	(34.0, 2436.0)	(35.0, 4102.0)	(36.0, 8374.0)	(37.0, 40290.0)					
3975R_RL_F_NS1_diabetes_S32_L001_R2_001	(14.0, 1.0)	(15.0, 5.0)	(16.0, 7.0)	(17.0, 10.0)	(18.0, 11.0)	(19.0, 8.0)	(20.0, 121.0)	(21.0, 361.0)	(22.0, 371.0)	(23.0, 367.0)	(24.0, 408.0)	(25.0, 468.0)	(26.0, 531.0)	(27.0, 728.0)	(28.0, 992.0)	(29.0, 1461.0)	(30.0, 2041.0)	(31.0, 2932.0)	(32.0, 4482.0)	(33.0, 7216.0)	(34.0, 11204.0)	(35.0, 14266.0)	(36.0, 14327.0)	(37.0, 1836.0)	
3975R_RL_F_NS1_week9_S83_L001_R1_001	(19.0, 5.0)	(20.0, 41.0)	(21.0, 64.0)	(22.0, 88.0)	(23.0, 136.0)	(24.0, 195.0)	(25.0, 345.0)	(26.0, 534.0)	(27.0, 764.0)	(28.0, 924.0)	(29.0, 1009.0)	(30.0, 1113.0)	(31.0, 1254.0)	(32.0, 1453.0)	(33.0, 1885.0)	(34.0, 2611.0)	(35.0, 4398.0)	(36.0, 8925.0)	(37.0, 46378.0)						
3975R_RL_F_NS1_week9_S83_L001_R2_001	(14.0, 1.0)	(15.0, 0.0)	(16.0, 4.0)	(17.0, 2.0)	(18.0, 3.0)	(19.0, 12.0)	(20.0, 86.0)	(21.0, 259.0)	(22.0, 257.0)	(23.0, 293.0)	(24.0, 297.0)	(25.0, 365.0)	(26.0, 494.0)	(27.0, 700.0)	(28.0, 959.0)	(29.0, 1407.0)	(30.0, 2067.0)	(31.0, 3142.0)	(32.0, 4915.0)	(33.0, 7781.0)	(34.0, 12462.0)	(35.0, 16491.0)	(36.0, 17709.0)	(37.0, 2416.0)	
3975R_R_F_NS1_diabetes_S31_L001_R1_001	(18.0, 5.0)	(19.0, 12.0)	(20.0, 35.0)	(21.0, 73.0)	(22.0, 114.0)	(23.0, 147.0)	(24.0, 227.0)	(25.0, 377.0)	(26.0, 523.0)	(27.0, 721.0)	(28.0, 921.0)	(29.0, 1041.0)	(30.0, 1114.0)	(31.0, 1172.0)	(32.0, 1409.0)	(33.0, 1869.0)	(34.0, 2529.0)	(35.0, 4260.0)	(36.0, 8970.0)	(37.0, 45257.0)					
3975R_R_F_NS1_diabetes_S31_L001_R2_001	(15.0, 2.0)	(16.0, 12.0)	(17.0, 12.0)	(18.0, 22.0)	(19.0, 17.0)	(20.0, 122.0)	(21.0, 411.0)	(22.0, 510.0)	(23.0, 454.0)	(24.0, 440.0)	(25.0, 524.0)	(26.0, 575.0)	(27.0, 826.0)	(28.0, 1072.0)	(29.0, 1524.0)	(30.0, 2048.0)	(31.0, 2992.0)	(32.0, 4401.0)	(33.0, 7434.0)	(34.0, 11612.0)	(35.0, 15936.0)	(36.0, 17086.0)	(37.0, 2744.0)		
NS1_defined_inocula_S88_L001_R1_001	(17.0, 1.0)	(18.0, 3.0)	(19.0, 16.0)	(20.0, 40.0)	(21.0, 78.0)	(22.0, 150.0)	(23.0, 186.0)	(24.0, 271.0)	(25.0, 449.0)	(26.0, 655.0)	(27.0, 919.0)	(28.0, 1091.0)	(29.0, 1275.0)	(30.0, 1358.0)	(31.0, 1462.0)	(32.0, 1740.0)	(33.0, 2332.0)	(34.0, 3150.0)	(35.0, 5060.0)	(36.0, 9594.0)	(37.0, 40963.0)				
NS1_defined_inocula_S88_L001_R2_001	(16.0, 4.0)	(17.0, 12.0)	(18.0, 6.0)	(19.0, 16.0)	(20.0, 63.0)	(21.0, 234.0)	(22.0, 282.0)	(23.0, 305.0)	(24.0, 314.0)	(25.0, 392.0)	(26.0, 534.0)	(27.0, 724.0)	(28.0, 1134.0)	(29.0, 1740.0)	(30.0, 2627.0)	(31.0, 3779.0)	(32.0, 5744.0)	(33.0, 8698.0)	(34.0, 12805.0)	(35.0, 16686.0)	(36.0, 13469.0)	(37.0, 1225.0)			
NS6_defined_inocula_S86_L001_R1_001	(16.0, 1.0)	(17.0, 0.0)	(18.0, 5.0)	(19.0, 21.0)	(20.0, 59.0)	(21.0, 170.0)	(22.0, 262.0)	(23.0, 367.0)	(24.0, 491.0)	(25.0, 688.0)	(26.0, 976.0)	(27.0, 1376.0)	(28.0, 1779.0)	(29.0, 1785.0)	(30.0, 2020.0)	(31.0, 2216.0)	(32.0, 2566.0)	(33.0, 3326.0)	(34.0, 4545.0)	(35.0, 7129.0)	(36.0, 13287.0)	(37.0, 53143.0)			
NS6_defined_inocula_S86_L001_R2_001	(14.0, 1.0)	(15.0, 1.0)	(16.0, 8.0)	(17.0, 10.0)	(18.0, 6.0)	(19.0, 21.0)	(20.0, 112.0)	(21.0, 279.0)	(22.0, 379.0)	(23.0, 390.0)	(24.0, 426.0)	(25.0, 528.0)	(26.0, 657.0)	(27.0, 991.0)	(28.0, 1398.0)	(29.0, 2189.0)	(30.0, 3271.0)	(31.0, 4825.0)	(32.0, 7231.0)	(33.0, 10864.0)	(34.0, 16066.0)	(35.0, 21921.0)	(36.0, 22201.0)	(37.0, 2437.0)	
Negative_extraction_S85_L001_R1_001	(16.0, 1.0)	(17.0, 1.0)	(18.0, 12.0)	(19.0, 35.0)	(20.0, 108.0)	(21.0, 174.0)	(22.0, 295.0)	(23.0, 445.0)	(24.0, 591.0)	(25.0, 818.0)	(26.0, 1157.0)	(27.0, 1605.0)	(28.0, 1999.0)	(29.0, 2276.0)	(30.0, 2470.0)	(31.0, 2688.0)	(32.0, 3444.0)	(33.0, 4435.0)	(34.0, 6252.0)	(35.0, 9384.0)	(36.0, 17912.0)	(37.0, 54851.0)	(38.0, 4.0)		
Negative_extraction_S85_L001_R2_001	(14.0, 2.0)	(15.0, 2.0)	(16.0, 7.0)	(17.0, 10.0)	(18.0, 13.0)	(19.0, 20.0)	(20.0, 123.0)	(21.0, 362.0)	(22.0, 465.0)	(23.0, 518.0)	(24.0, 563.0)	(25.0, 672.0)	(26.0, 977.0)	(27.0, 1588.0)	(28.0, 2537.0)	(29.0, 3680.0)	(30.0, 4947.0)	(31.0, 7172.0)	(32.0, 10576.0)	(33.0, 15624.0)	(34.0, 20836.0)	(35.0, 23563.0)	(36.0, 14166.0)	(37.0, 2534.0)	
Negtive_Control_S90_L001_R1_001	(17.0, 2.0)	(18.0, 7.0)	(19.0, 6.0)	(20.0, 24.0)	(21.0, 42.0)	(22.0, 67.0)	(23.0, 116.0)	(24.0, 187.0)	(25.0, 239.0)	(26.0, 316.0)	(27.0, 299.0)	(28.0, 375.0)	(29.0, 371.0)	(30.0, 442.0)	(31.0, 463.0)	(32.0, 531.0)	(33.0, 654.0)	(34.0, 849.0)	(35.0, 1060.0)	(36.0, 901.0)	(37.0, 2697.0)				
Negtive_Control_S90_L001_R2_001	(16.0, 1.0)	(17.0, 6.0)	(18.0, 12.0)	(19.0, 3.0)	(20.0, 28.0)	(21.0, 63.0)	(22.0, 97.0)	(23.0, 163.0)	(24.0, 181.0)	(25.0, 198.0)	(26.0, 249.0)	(27.0, 332.0)	(28.0, 447.0)	(29.0, 620.0)	(30.0, 715.0)	(31.0, 861.0)	(32.0, 950.0)	(33.0, 1184.0)	(34.0, 1350.0)	(35.0, 1554.0)	(36.0, 613.0)	(37.0, 21.0)			
Pooled_GF_pellet_S84_L001_R1_001	(17.0, 5.0)	(18.0, 6.0)	(19.0, 46.0)	(20.0, 119.0)	(21.0, 226.0)	(22.0, 368.0)	(23.0, 506.0)	(24.0, 737.0)	(25.0, 1051.0)	(26.0, 1388.0)	(27.0, 1903.0)	(28.0, 2341.0)	(29.0, 2650.0)	(30.0, 2858.0)	(31.0, 3220.0)	(32.0, 3705.0)	(33.0, 4692.0)	(34.0, 6473.0)	(35.0, 9751.0)	(36.0, 17965.0)	(37.0, 61800.0)	(38.0, 2.0)			
Pooled_GF_pellet_S84_L001_R2_001	(15.0, 3.0)	(16.0, 5.0)	(17.0, 20.0)	(18.0, 23.0)	(19.0, 33.0)	(20.0, 135.0)	(21.0, 390.0)	(22.0, 492.0)	(23.0, 605.0)	(24.0, 680.0)	(25.0, 889.0)	(26.0, 1193.0)	(27.0, 1909.0)	(28.0, 2914.0)	(29.0, 4390.0)	(30.0, 5889.0)	(31.0, 8128.0)	(32.0, 11282.0)	(33.0, 16568.0)	(34.0, 23516.0)	(35.0, 26831.0)	(36.0, 15118.0)	(37.0, 799.0)		
Positive_Control_S89_L001_R1_001	(17.0, 1.0)	(18.0, 4.0)	(19.0, 8.0)	(20.0, 34.0)	(21.0, 57.0)	(22.0, 117.0)	(23.0, 235.0)	(24.0, 412.0)	(25.0, 608.0)	(26.0, 1034.0)	(27.0, 1444.0)	(28.0, 1812.0)	(29.0, 2100.0)	(30.0, 2236.0)	(31.0, 2546.0)	(32.0, 3029.0)	(33.0, 3799.0)	(34.0, 5177.0)	(35.0, 7974.0)	(36.0, 14700.0)	(37.0, 44779.0)				
Positive_Control_S89_L001_R2_001	(15.0, 1.0)	(16.0, 5.0)	(17.0, 8.0)	(18.0, 12.0)	(19.0, 21.0)	(20.0, 113.0)	(21.0, 274.0)	(22.0, 401.0)	(23.0, 363.0)	(24.0, 447.0)	(25.0, 511.0)	(26.0, 725.0)	(27.0, 1043.0)	(28.0, 1625.0)	(29.0, 2640.0)	(30.0, 4101.0)	(31.0, 6103.0)	(32.0, 9015.0)	(33.0, 12681.0)	(34.0, 17032.0)	(35.0, 20849.0)	(36.0, 13625.0)	(37.0, 511.0)		
S5_defined_inocula_S87_L001_R1_001	(16.0, 1.0)	(17.0, 3.0)	(18.0, 5.0)	(19.0, 14.0)	(20.0, 65.0)	(21.0, 133.0)	(22.0, 233.0)	(23.0, 306.0)	(24.0, 469.0)	(25.0, 634.0)	(26.0, 926.0)	(27.0, 1381.0)	(28.0, 1697.0)	(29.0, 1913.0)	(30.0, 2164.0)	(31.0, 2304.0)	(32.0, 2752.0)	(33.0, 3485.0)	(34.0, 4721.0)	(35.0, 7268.0)	(36.0, 13569.0)	(37.0, 50201.0)	(38.0, 2.0)		
S5_defined_inocula_S87_L001_R2_001	(15.0, 2.0)	(16.0, 4.0)	(17.0, 9.0)	(18.0, 13.0)	(19.0, 11.0)	(20.0, 106.0)	(21.0, 281.0)	(22.0, 373.0)	(23.0, 384.0)	(24.0, 427.0)	(25.0, 530.0)	(26.0, 696.0)	(27.0, 968.0)	(28.0, 1557.0)	(29.0, 2449.0)	(30.0, 3808.0)	(31.0, 5698.0)	(32.0, 8555.0)	(33.0, 12270.0)	(34.0, 17473.0)	(35.0, 21689.0)	(36.0, 15875.0)	(37.0, 1068.0)		
