.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
3861R_L_M_NS1_week9_S78_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3861R_NS1_week28_S39_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3861R_NS1_week28_S39_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3861R_R_M_NS1_week5_S58_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3861R_R_M_NS1_week5_S58_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3924R_L_F_S5_week5_S21_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3924R_L_F_S5_week5_S21_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3929R_0_F_S5_week5_S22_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3929R_0_F_S5_week5_S22_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3971R_0_F_NS1_week5_S59_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3971R_0_F_NS1_week5_S59_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3971R_0_F_NS1_week9_S79_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3971R_0_F_NS1_week9_S79_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3971R_NS1_week30_S40_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3971R_NS1_week30_S40_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3971R_RL_F_NS1_diabetes_S29_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3971R_RL_F_NS1_diabetes_S29_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3971R_RL_F_NS1_week9_S81_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3971R_RL_F_NS1_week9_S81_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3971R_R_F_NS1_diabetes_S28_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3971R_R_F_NS1_diabetes_S28_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3971R_R_F_NS1_week9_S80_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3971R_R_F_NS1_week9_S80_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3975R_0_F_NS1_week5_S60_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3975R_0_F_NS1_week5_S60_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3975R_L_F_NS1_diabetes_S30_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3975R_L_F_NS1_diabetes_S30_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3975R_L_F_NS1_week5_S61_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3975R_L_F_NS1_week5_S61_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3975R_L_F_NS1_week9_S82_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3975R_L_F_NS1_week9_S82_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3975R_NS1_week14_S33_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3975R_NS1_week14_S33_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3975R_RL_F_NS1_diabetes_S32_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3975R_RL_F_NS1_diabetes_S32_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3975R_RL_F_NS1_week9_S83_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3975R_RL_F_NS1_week9_S83_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3975R_R_F_NS1_diabetes_S31_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3975R_R_F_NS1_diabetes_S31_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
NS1_defined_inocula_S88_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
NS1_defined_inocula_S88_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
NS6_defined_inocula_S86_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
NS6_defined_inocula_S86_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Negative_extraction_S85_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Negative_extraction_S85_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	0.25
Negtive_Control_S90_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	0.25
Negtive_Control_S90_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	0.25
Pooled_GF_pellet_S84_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Pooled_GF_pellet_S84_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	0.25
Positive_Control_S89_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Positive_Control_S89_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
S5_defined_inocula_S87_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
S5_defined_inocula_S87_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
