"ASV_count","ASV_length","Prevalence_threshold","Num_of_samples","Min_samples_for_prevalence","NS6_PPV","NS6_TP","NS6_FP","NS6_Total_ASVs","NS6_Unique_taxa","NS6_Taxa_with_no_species_before_filtering","NS6_Taxa_with_no_species_after_filtering"
350,350,0.001,35,1,98.6666666666667,74,1,75,28,36,0
350,350,0.005,35,1,98.6666666666667,74,1,75,28,36,0
350,350,0.01,35,1,98.6666666666667,74,1,75,28,36,0
350,350,0.05,35,2,100,73,0,73,27,36,0
350,350,0.1,35,4,100,63,0,63,24,36,0
350,350,0.15,35,6,100,59,0,59,24,36,0
350,350,0.2,35,7,100,55,0,55,24,36,0
350,400,0.001,35,1,98.6666666666667,74,1,75,28,36,0
350,400,0.005,35,1,98.6666666666667,74,1,75,28,36,0
350,400,0.01,35,1,98.6666666666667,74,1,75,28,36,0
350,400,0.05,35,2,100,73,0,73,27,36,0
350,400,0.1,35,4,100,63,0,63,24,36,0
350,400,0.15,35,6,100,59,0,59,24,36,0
350,400,0.2,35,7,100,55,0,55,24,36,0
400,200,0.001,35,1,98.6486486486486,73,1,74,28,36,0
400,200,0.005,35,1,98.6486486486486,73,1,74,28,36,0
400,200,0.01,35,1,98.6486486486486,73,1,74,28,36,0
400,200,0.05,35,2,100,72,0,72,27,36,0
400,200,0.1,35,4,100,62,0,62,24,36,0
400,200,0.15,35,6,100,59,0,59,24,36,0
400,200,0.2,35,7,100,55,0,55,24,36,0
400,250,0.001,35,1,98.6486486486486,73,1,74,28,36,0
400,250,0.005,35,1,98.6486486486486,73,1,74,28,36,0
400,250,0.01,35,1,98.6486486486486,73,1,74,28,36,0
400,250,0.05,35,2,100,72,0,72,27,36,0
400,250,0.1,35,4,100,62,0,62,24,36,0
400,250,0.15,35,6,100,59,0,59,24,36,0
400,250,0.2,35,7,100,55,0,55,24,36,0
400,300,0.001,35,1,98.6486486486486,73,1,74,28,36,0
400,300,0.005,35,1,98.6486486486486,73,1,74,28,36,0
400,300,0.01,35,1,98.6486486486486,73,1,74,28,36,0
400,300,0.05,35,2,100,72,0,72,27,36,0
400,300,0.1,35,4,100,62,0,62,24,36,0
400,300,0.15,35,6,100,59,0,59,24,36,0
400,300,0.2,35,7,100,55,0,55,24,36,0
400,350,0.001,35,1,98.6486486486486,73,1,74,28,36,0
400,350,0.005,35,1,98.6486486486486,73,1,74,28,36,0
400,350,0.01,35,1,98.6486486486486,73,1,74,28,36,0
400,350,0.05,35,2,100,72,0,72,27,36,0
400,350,0.1,35,4,100,62,0,62,24,36,0
400,350,0.15,35,6,100,59,0,59,24,36,0
400,350,0.2,35,7,100,55,0,55,24,36,0
400,400,0.001,35,1,98.6486486486486,73,1,74,28,36,0
400,400,0.005,35,1,98.6486486486486,73,1,74,28,36,0
400,400,0.01,35,1,98.6486486486486,73,1,74,28,36,0
400,400,0.05,35,2,100,72,0,72,27,36,0
400,400,0.1,35,4,100,62,0,62,24,36,0
400,400,0.15,35,6,100,59,0,59,24,36,0
400,400,0.2,35,7,100,55,0,55,24,36,0
450,200,0.001,35,1,98.6301369863014,72,1,73,28,36,0
450,200,0.005,35,1,98.6301369863014,72,1,73,28,36,0
450,200,0.01,35,1,98.6301369863014,72,1,73,28,36,0
450,200,0.05,35,2,100,71,0,71,27,36,0
450,200,0.1,35,4,100,62,0,62,24,36,0
450,200,0.15,35,6,100,59,0,59,24,36,0
450,200,0.2,35,7,100,55,0,55,24,36,0
450,250,0.001,35,1,98.6301369863014,72,1,73,28,36,0
450,250,0.005,35,1,98.6301369863014,72,1,73,28,36,0
450,250,0.01,35,1,98.6301369863014,72,1,73,28,36,0
450,250,0.05,35,2,100,71,0,71,27,36,0
450,250,0.1,35,4,100,62,0,62,24,36,0
450,250,0.15,35,6,100,59,0,59,24,36,0
450,250,0.2,35,7,100,55,0,55,24,36,0
450,300,0.001,35,1,98.6301369863014,72,1,73,28,36,0
450,300,0.005,35,1,98.6301369863014,72,1,73,28,36,0
450,300,0.01,35,1,98.6301369863014,72,1,73,28,36,0
450,300,0.05,35,2,100,71,0,71,27,36,0
450,300,0.1,35,4,100,62,0,62,24,36,0
450,300,0.15,35,6,100,59,0,59,24,36,0
450,300,0.2,35,7,100,55,0,55,24,36,0
450,350,0.001,35,1,98.6301369863014,72,1,73,28,36,0
450,350,0.005,35,1,98.6301369863014,72,1,73,28,36,0
450,350,0.01,35,1,98.6301369863014,72,1,73,28,36,0
450,350,0.05,35,2,100,71,0,71,27,36,0
450,350,0.1,35,4,100,62,0,62,24,36,0
450,350,0.15,35,6,100,59,0,59,24,36,0
450,350,0.2,35,7,100,55,0,55,24,36,0
