	feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	Pathways	Names	Level 1	Level 1.1	Level 2.1	Level 1.2	Level 2.2	Level 1.3	Level 2.3
61	THRESYN-PWY	Week_and_consortia	NS1_w9w10	0.338147370151715	0.0236048353496025	72	72	1.69597489185439e-22	8.370456724313579e-22	THRESYN-PWY	superpathway of L-threonine biosynthesis	Superpathways	Biosynthesis	Amino acid biosynthesis				
62	PWY-5154	Week_and_consortia	NS1_w9w10	0.399716866195216	0.0283658966726106	72	72	4.00658104920852e-22	1.9210264526270302e-21	PWY-5154	L-arginine biosynthesis III (via <i>N</i>-acetyl-L-citrulline)	Biosynthesis						
63	PWY-7198	Week_and_consortia	NS1_w9w10	-1.18606492065331	0.0841736042708622	72	72	4.01783310353366e-22	1.9210264526270302e-21	PWY-7198	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis IV	Metabolic clusters	Biosynthesis	Nucleoside and nucleotide biosynthesis				
64	PWY-7254	Week_and_consortia	NS1_w9w10	0.606591217932603	0.0432352920709108	72	72	5.02786372673919e-22	2.3669635390495302e-21	PWY-7254	TCA cycle VII (acetate-producers) // tricarboxylic acid cycle // citric acid cycle // Krebs cycle // Szent-Gyorgyi-Krebs cycle // TCA cycle VII (acetic acid-producers)	Generation of precursor metabolites and energy						
65	PENTOSE-P-PWY	Week_and_consortia	NS1_w9w10	0.604580232187058	0.0431952239099189	72	72	5.69232849599516e-22	2.63917048450685e-21	PENTOSE-P-PWY	pentose phosphate pathway // pentose shunt // hexose monophosphate shunt // phosphogluconate pathway // superpathway of oxidative and non-oxidative branches of pentose phosphate pathway // HMP shunt	Superpathways	Generation of precursor metabolites and energy					
66	PWY-6545	Week_and_consortia	NS1_w9w10	-1.12250723569785	0.0803025574597653	72	72	6.084458096174e-22	2.77887190661081e-21	PWY-6545	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III	Metabolic clusters	Biosynthesis	Nucleoside and nucleotide biosynthesis				
67	PEPTIDOGLYCANSYN-PWY	Week_and_consortia	NS1_w9w10	0.189359641181329	0.0136792044369363	72	72	1.0067204258156001e-21	4.5302419161702e-21	PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)	Superpathways	Biosynthesis	Cell structure biosynthesis				
68	PWY-7373	Week_and_consortia	NS1_w9w10	-1.72770051961362	0.124876816639699	72	72	1.3947704872124001e-21	6.18550389981152e-21	PWY-7373	superpathway of demethylmenaquinol-6 biosynthesis II // superpathway of demethylmenaquinone-6 biosynthesis II	Superpathways	Biosynthesis	Cofactor, carrier, and vitamin biosynthesis				
69	PWY-6385	Week_and_consortia	NS1_w9w10	0.205239543633006	0.0149276121279852	72	72	1.42872476702782e-21	6.24556826729305e-21	PWY-6385	peptidoglycan biosynthesis III (mycobacteria)	Superpathways	Biosynthesis	Cell structure biosynthesis				
70	PWY-3001	Week_and_consortia	NS1_w9w10	0.209158032994056	0.0152604423444873	72	72	1.67836264837352e-21	7.23350662538446e-21	PWY-3001	superpathway of L-isoleucine biosynthesis I	Superpathways	Biosynthesis	Amino acid biosynthesis				
