	feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	Pathways	Names	Level 1	Level 1.1	Level 2.1	Level 1.2	Level 2.2	Level 1.3	Level 2.3
90	PWY-5857	Week_and_consortia	NS6_w5w6	-0.455304948747243	0.0444819965918165	54	54	4.62082282513909e-14	1.54194848621489e-13	PWY-5857	ubiquinol-10 biosynthesis (early decarboxylation) // Q10 biosynthesis // ubiquinone-10 biosynthesis (prokaryotic) // ubiquinol-10 biosynthesis (prokaryotic)	Biosynthesis						
91	PWY-6708	Week_and_consortia	NS6_w5w6	-0.455304948747243	0.0444819965918165	54	54	4.62082282513909e-14	1.54194848621489e-13	PWY-6708	ubiquinol-8 biosynthesis (early decarboxylation) // ubiquinone-8 biosynthesis (prokaryotic) // ubiquinol-8 biosynthesis (prokaryotic)	Biosynthesis						
92	PWY-7184	Week_and_consortia	NS6_w5w6	-0.269485964663536	0.0266181661169292	54	54	6.77709186093267e-14	2.23716903366272e-13	PWY-7184	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I	Metabolic clusters	Biosynthesis	Nucleoside and nucleotide biosynthesis				
93	PWY-622	Week_and_consortia	NS6_w5w6	-0.294101631373979	0.0289480263240561	54	54	7.33875136214258e-14	2.39680496614656e-13	PWY-622	starch biosynthesis	Glycan pathways	Biosynthesis	Carboxylic acid biosynthesis				
94	PWY-5845	Week_and_consortia	NS6_w5w6	-0.285470301330675	0.0283347034912649	54	54	8.0276706518394e-14	2.54071638156154e-13	PWY-5845	superpathway of menaquinol-9 biosynthesis // vitamin K<sub>2</sub> biosynthesis // superpathway of menaquinone-9 biosynthesis	Superpathways	Biosynthesis	Cofactor, carrier, and vitamin biosynthesis				
95	PWY-5850	Week_and_consortia	NS6_w5w6	-0.285470301330675	0.0283347034912649	54	54	8.0276706518394e-14	2.54071638156154e-13	PWY-5850	superpathway of menaquinol-6 biosynthesis // superpathway of menaquinone-6 biosynthesis	Superpathways	Biosynthesis	Cofactor, carrier, and vitamin biosynthesis				
96	PWY-5896	Week_and_consortia	NS6_w5w6	-0.285470301330675	0.0283347034912649	54	54	8.0276706518394e-14	2.54071638156154e-13	PWY-5896	superpathway of menaquinol-10 biosynthesis // vitamin K<sub>2</sub> biosynthesis // superpathway of menaquinone-10 biosynthesis	Superpathways	Biosynthesis	Cofactor, carrier, and vitamin biosynthesis				
97	PWY-5505	Week_and_consortia	NS6_w5w6	0.424866808091507	0.0422574562603877	54	54	8.6209243063718e-14	2.70063649189402e-13	PWY-5505	L-glutamate and L-glutamine biosynthesis	Superpathways	Metabolic clusters		Biosynthesis	Amino acid biosynthesis		
98	PWY-7199	Week_and_consortia	NS6_w5w6	0.431581304460068	0.0432275630947503	54	54	1.09883566845099e-13	3.40750050721672e-13	PWY-7199	pyrimidine deoxyribonucleosides salvage	Biosynthesis						
99	SER-GLYSYN-PWY	Week_and_consortia	NS6_w5w6	0.421179617698389	0.0425464114629263	54	54	1.4727259965053399e-13	4.5212688092714e-13	SER-GLYSYN-PWY	superpathway of L-serine and glycine biosynthesis I	Superpathways	Biosynthesis	Amino acid biosynthesis				
