Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
2824_NS1_0_Male_week5_S43_L001_R1_001	(17.0, 1.0)	(18.0, 4.0)	(19.0, 7.0)	(20.0, 37.0)	(21.0, 84.0)	(22.0, 150.0)	(23.0, 207.0)	(24.0, 383.0)	(25.0, 638.0)	(26.0, 1015.0)	(27.0, 1388.0)	(28.0, 1694.0)	(29.0, 2016.0)	(30.0, 2224.0)	(31.0, 2437.0)	(32.0, 2886.0)	(33.0, 3734.0)	(34.0, 4776.0)	(35.0, 7010.0)	(36.0, 13006.0)	(37.0, 57862.0)	(38.0, 1.0)				
2824_NS1_0_Male_week5_S43_L001_R2_001	(15.0, 1.0)	(16.0, 3.0)	(17.0, 6.0)	(18.0, 7.0)	(19.0, 8.0)	(20.0, 82.0)	(21.0, 247.0)	(22.0, 407.0)	(23.0, 524.0)	(24.0, 629.0)	(25.0, 686.0)	(26.0, 1079.0)	(27.0, 1463.0)	(28.0, 2171.0)	(29.0, 3003.0)	(30.0, 4084.0)	(31.0, 5776.0)	(32.0, 8516.0)	(33.0, 12960.0)	(34.0, 18897.0)	(35.0, 22823.0)	(36.0, 16440.0)	(37.0, 1748.0)			
2824_NS1_0_Male_week9_S55_L001_R1_001	(17.0, 2.0)	(18.0, 4.0)	(19.0, 19.0)	(20.0, 108.0)	(21.0, 217.0)	(22.0, 280.0)	(23.0, 464.0)	(24.0, 720.0)	(25.0, 1187.0)	(26.0, 2028.0)	(27.0, 2749.0)	(28.0, 3302.0)	(29.0, 3767.0)	(30.0, 4021.0)	(31.0, 4559.0)	(32.0, 5541.0)	(33.0, 7077.0)	(34.0, 9623.0)	(35.0, 15127.0)	(36.0, 27778.0)	(37.0, 83621.0)					
2824_NS1_0_Male_week9_S55_L001_R2_001	(14.0, 1.0)	(15.0, 1.0)	(16.0, 4.0)	(17.0, 5.0)	(18.0, 4.0)	(19.0, 7.0)	(20.0, 77.0)	(21.0, 255.0)	(22.0, 494.0)	(23.0, 624.0)	(24.0, 702.0)	(25.0, 950.0)	(26.0, 1325.0)	(27.0, 1927.0)	(28.0, 2912.0)	(29.0, 4186.0)	(30.0, 6101.0)	(31.0, 9052.0)	(32.0, 14329.0)	(33.0, 23069.0)	(34.0, 34224.0)	(35.0, 40838.0)	(36.0, 28810.0)	(37.0, 2297.0)		
2824_NS1_L_Male_week5_S44_L001_R1_001	(17.0, 3.0)	(18.0, 3.0)	(19.0, 11.0)	(20.0, 61.0)	(21.0, 108.0)	(22.0, 197.0)	(23.0, 314.0)	(24.0, 495.0)	(25.0, 872.0)	(26.0, 1333.0)	(27.0, 1955.0)	(28.0, 2523.0)	(29.0, 2790.0)	(30.0, 3117.0)	(31.0, 3566.0)	(32.0, 4472.0)	(33.0, 5474.0)	(34.0, 6922.0)	(35.0, 10224.0)	(36.0, 18472.0)	(37.0, 79538.0)	(38.0, 2.0)				
2824_NS1_L_Male_week5_S44_L001_R2_001	(12.0, 1.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 0.0)	(17.0, 4.0)	(18.0, 9.0)	(19.0, 11.0)	(20.0, 69.0)	(21.0, 272.0)	(22.0, 523.0)	(23.0, 663.0)	(24.0, 799.0)	(25.0, 982.0)	(26.0, 1393.0)	(27.0, 2081.0)	(28.0, 3047.0)	(29.0, 4313.0)	(30.0, 6172.0)	(31.0, 8576.0)	(32.0, 12378.0)	(33.0, 18506.0)	(34.0, 26700.0)	(35.0, 30667.0)	(36.0, 22778.0)	(37.0, 2507.0)
2824_NS1_L_Male_week9_S56_L001_R1_001	(17.0, 3.0)	(18.0, 7.0)	(19.0, 22.0)	(20.0, 79.0)	(21.0, 152.0)	(22.0, 225.0)	(23.0, 339.0)	(24.0, 530.0)	(25.0, 857.0)	(26.0, 1465.0)	(27.0, 1970.0)	(28.0, 2524.0)	(29.0, 2877.0)	(30.0, 3061.0)	(31.0, 3559.0)	(32.0, 4553.0)	(33.0, 5989.0)	(34.0, 8414.0)	(35.0, 13543.0)	(36.0, 26576.0)	(37.0, 45892.0)	(38.0, 1.0)				
2824_NS1_L_Male_week9_S56_L001_R2_001	(15.0, 4.0)	(16.0, 3.0)	(17.0, 3.0)	(18.0, 10.0)	(19.0, 4.0)	(20.0, 56.0)	(21.0, 217.0)	(22.0, 412.0)	(23.0, 522.0)	(24.0, 561.0)	(25.0, 832.0)	(26.0, 1210.0)	(27.0, 2059.0)	(28.0, 3258.0)	(29.0, 5464.0)	(30.0, 9077.0)	(31.0, 14561.0)	(32.0, 21975.0)	(33.0, 26657.0)	(34.0, 23566.0)	(35.0, 10488.0)	(36.0, 1668.0)	(37.0, 31.0)			
2824_NS1_R_Male_week5_S45_L001_R1_001	(16.0, 1.0)	(17.0, 1.0)	(18.0, 5.0)	(19.0, 12.0)	(20.0, 41.0)	(21.0, 100.0)	(22.0, 205.0)	(23.0, 316.0)	(24.0, 478.0)	(25.0, 816.0)	(26.0, 1253.0)	(27.0, 1672.0)	(28.0, 2182.0)	(29.0, 2513.0)	(30.0, 2797.0)	(31.0, 3182.0)	(32.0, 4029.0)	(33.0, 4805.0)	(34.0, 6322.0)	(35.0, 9652.0)	(36.0, 17992.0)	(37.0, 72907.0)				
2824_NS1_R_Male_week5_S45_L001_R2_001	(15.0, 2.0)	(16.0, 1.0)	(17.0, 4.0)	(18.0, 2.0)	(19.0, 6.0)	(20.0, 68.0)	(21.0, 214.0)	(22.0, 359.0)	(23.0, 492.0)	(24.0, 645.0)	(25.0, 794.0)	(26.0, 1105.0)	(27.0, 1586.0)	(28.0, 2338.0)	(29.0, 3369.0)	(30.0, 4690.0)	(31.0, 6941.0)	(32.0, 10602.0)	(33.0, 16211.0)	(34.0, 24432.0)	(35.0, 30725.0)	(36.0, 23924.0)	(37.0, 2771.0)			
2824_NS1_R_Male_week9_S57_L001_R1_001	(17.0, 1.0)	(18.0, 5.0)	(19.0, 12.0)	(20.0, 41.0)	(21.0, 84.0)	(22.0, 141.0)	(23.0, 242.0)	(24.0, 408.0)	(25.0, 665.0)	(26.0, 1141.0)	(27.0, 1641.0)	(28.0, 1956.0)	(29.0, 2226.0)	(30.0, 2507.0)	(31.0, 2913.0)	(32.0, 3332.0)	(33.0, 4161.0)	(34.0, 5693.0)	(35.0, 8325.0)	(36.0, 14955.0)	(37.0, 61224.0)	(38.0, 2.0)				
2824_NS1_R_Male_week9_S57_L001_R2_001	(17.0, 3.0)	(18.0, 1.0)	(19.0, 7.0)	(20.0, 44.0)	(21.0, 206.0)	(22.0, 392.0)	(23.0, 513.0)	(24.0, 634.0)	(25.0, 780.0)	(26.0, 1049.0)	(27.0, 1558.0)	(28.0, 2344.0)	(29.0, 3365.0)	(30.0, 4831.0)	(31.0, 6823.0)	(32.0, 10407.0)	(33.0, 15461.0)	(34.0, 21417.0)	(35.0, 24064.0)	(36.0, 16104.0)	(37.0, 1672.0)					
2864_NS1_R_Male_week5_S46_L001_R1_001	(18.0, 6.0)	(19.0, 2.0)	(20.0, 20.0)	(21.0, 53.0)	(22.0, 89.0)	(23.0, 141.0)	(24.0, 261.0)	(25.0, 435.0)	(26.0, 835.0)	(27.0, 1048.0)	(28.0, 1277.0)	(29.0, 1598.0)	(30.0, 1850.0)	(31.0, 2075.0)	(32.0, 2541.0)	(33.0, 3209.0)	(34.0, 4181.0)	(35.0, 6351.0)	(36.0, 11368.0)	(37.0, 49076.0)	(38.0, 1.0)					
2864_NS1_R_Male_week5_S46_L001_R2_001	(15.0, 2.0)	(16.0, 1.0)	(17.0, 3.0)	(18.0, 4.0)	(19.0, 11.0)	(20.0, 55.0)	(21.0, 167.0)	(22.0, 282.0)	(23.0, 361.0)	(24.0, 467.0)	(25.0, 570.0)	(26.0, 807.0)	(27.0, 1176.0)	(28.0, 1616.0)	(29.0, 2308.0)	(30.0, 3396.0)	(31.0, 4817.0)	(32.0, 7350.0)	(33.0, 11336.0)	(34.0, 16289.0)	(35.0, 19716.0)	(36.0, 14286.0)	(37.0, 1397.0)			
2864_NS1_R_Male_week9_S58_L001_R1_001	(18.0, 5.0)	(19.0, 9.0)	(20.0, 27.0)	(21.0, 97.0)	(22.0, 176.0)	(23.0, 273.0)	(24.0, 442.0)	(25.0, 802.0)	(26.0, 1271.0)	(27.0, 1797.0)	(28.0, 2262.0)	(29.0, 2494.0)	(30.0, 2837.0)	(31.0, 3214.0)	(32.0, 3794.0)	(33.0, 4734.0)	(34.0, 6602.0)	(35.0, 9779.0)	(36.0, 17805.0)	(37.0, 75610.0)	(38.0, 5.0)					
2864_NS1_R_Male_week9_S58_L001_R2_001	(15.0, 2.0)	(16.0, 4.0)	(17.0, 3.0)	(18.0, 7.0)	(19.0, 16.0)	(20.0, 96.0)	(21.0, 335.0)	(22.0, 535.0)	(23.0, 631.0)	(24.0, 706.0)	(25.0, 878.0)	(26.0, 1305.0)	(27.0, 1814.0)	(28.0, 2665.0)	(29.0, 3825.0)	(30.0, 5586.0)	(31.0, 7874.0)	(32.0, 12021.0)	(33.0, 18206.0)	(34.0, 25563.0)	(35.0, 29358.0)	(36.0, 20495.0)	(37.0, 2110.0)			
2893_NS1_0_Male_week5_S47_L001_R1_001	(17.0, 1.0)	(18.0, 3.0)	(19.0, 12.0)	(20.0, 26.0)	(21.0, 88.0)	(22.0, 127.0)	(23.0, 216.0)	(24.0, 320.0)	(25.0, 603.0)	(26.0, 971.0)	(27.0, 1336.0)	(28.0, 1681.0)	(29.0, 2010.0)	(30.0, 2200.0)	(31.0, 2438.0)	(32.0, 3033.0)	(33.0, 3707.0)	(34.0, 4945.0)	(35.0, 7354.0)	(36.0, 13397.0)	(37.0, 55875.0)	(38.0, 1.0)				
2893_NS1_0_Male_week5_S47_L001_R2_001	(15.0, 1.0)	(16.0, 2.0)	(17.0, 2.0)	(18.0, 6.0)	(19.0, 10.0)	(20.0, 45.0)	(21.0, 187.0)	(22.0, 367.0)	(23.0, 515.0)	(24.0, 544.0)	(25.0, 740.0)	(26.0, 1024.0)	(27.0, 1509.0)	(28.0, 2109.0)	(29.0, 2942.0)	(30.0, 4316.0)	(31.0, 6237.0)	(32.0, 9135.0)	(33.0, 14148.0)	(34.0, 19629.0)	(35.0, 21421.0)	(36.0, 14240.0)	(37.0, 1215.0)			
2893_NS1_0_Male_week9_S59_L001_R1_001	(18.0, 4.0)	(19.0, 13.0)	(20.0, 35.0)	(21.0, 75.0)	(22.0, 134.0)	(23.0, 264.0)	(24.0, 424.0)	(25.0, 796.0)	(26.0, 1264.0)	(27.0, 1818.0)	(28.0, 2273.0)	(29.0, 2737.0)	(30.0, 3088.0)	(31.0, 3547.0)	(32.0, 4245.0)	(33.0, 5295.0)	(34.0, 7020.0)	(35.0, 10325.0)	(36.0, 19006.0)	(37.0, 77517.0)	(38.0, 2.0)					
2893_NS1_0_Male_week9_S59_L001_R2_001	(15.0, 1.0)	(16.0, 2.0)	(17.0, 2.0)	(18.0, 5.0)	(19.0, 13.0)	(20.0, 81.0)	(21.0, 259.0)	(22.0, 428.0)	(23.0, 615.0)	(24.0, 817.0)	(25.0, 958.0)	(26.0, 1324.0)	(27.0, 2032.0)	(28.0, 2934.0)	(29.0, 4181.0)	(30.0, 6009.0)	(31.0, 8857.0)	(32.0, 12952.0)	(33.0, 19537.0)	(34.0, 27485.0)	(35.0, 29712.0)	(36.0, 19841.0)	(37.0, 1837.0)			
2893_NS1_R_Male_week5_S48_L001_R1_001	(17.0, 1.0)	(18.0, 3.0)	(19.0, 11.0)	(20.0, 33.0)	(21.0, 90.0)	(22.0, 151.0)	(23.0, 236.0)	(24.0, 404.0)	(25.0, 631.0)	(26.0, 1002.0)	(27.0, 1466.0)	(28.0, 1689.0)	(29.0, 2048.0)	(30.0, 2220.0)	(31.0, 2585.0)	(32.0, 3180.0)	(33.0, 3828.0)	(34.0, 4998.0)	(35.0, 7521.0)	(36.0, 13747.0)	(37.0, 57070.0)					
2893_NS1_R_Male_week5_S48_L001_R2_001	(14.0, 1.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 4.0)	(19.0, 8.0)	(20.0, 37.0)	(21.0, 175.0)	(22.0, 332.0)	(23.0, 448.0)	(24.0, 525.0)	(25.0, 760.0)	(26.0, 931.0)	(27.0, 1393.0)	(28.0, 2107.0)	(29.0, 3041.0)	(30.0, 4253.0)	(31.0, 6086.0)	(32.0, 8821.0)	(33.0, 13261.0)	(34.0, 19479.0)	(35.0, 22754.0)	(36.0, 16871.0)	(37.0, 1626.0)		
2893_NS1_R_Male_week9_S60_L001_R1_001	(17.0, 3.0)	(18.0, 6.0)	(19.0, 12.0)	(20.0, 36.0)	(21.0, 92.0)	(22.0, 183.0)	(23.0, 301.0)	(24.0, 540.0)	(25.0, 959.0)	(26.0, 1547.0)	(27.0, 2269.0)	(28.0, 2865.0)	(29.0, 3370.0)	(30.0, 3781.0)	(31.0, 4438.0)	(32.0, 5187.0)	(33.0, 6750.0)	(34.0, 8857.0)	(35.0, 12963.0)	(36.0, 24033.0)	(37.0, 95879.0)					
2893_NS1_R_Male_week9_S60_L001_R2_001	(15.0, 3.0)	(16.0, 2.0)	(17.0, 4.0)	(18.0, 11.0)	(19.0, 7.0)	(20.0, 84.0)	(21.0, 296.0)	(22.0, 538.0)	(23.0, 780.0)	(24.0, 983.0)	(25.0, 1154.0)	(26.0, 1684.0)	(27.0, 2554.0)	(28.0, 3688.0)	(29.0, 5461.0)	(30.0, 7733.0)	(31.0, 11470.0)	(32.0, 17417.0)	(33.0, 26284.0)	(34.0, 35654.0)	(35.0, 36501.0)	(36.0, 20716.0)	(37.0, 1047.0)			
2999_NS1_0_Female_week5_S41_L001_R1_001	(18.0, 1.0)	(19.0, 4.0)	(20.0, 27.0)	(21.0, 70.0)	(22.0, 115.0)	(23.0, 147.0)	(24.0, 292.0)	(25.0, 502.0)	(26.0, 792.0)	(27.0, 1140.0)	(28.0, 1497.0)	(29.0, 1759.0)	(30.0, 1883.0)	(31.0, 2056.0)	(32.0, 2507.0)	(33.0, 3286.0)	(34.0, 4285.0)	(35.0, 6412.0)	(36.0, 11513.0)	(37.0, 45307.0)						
2999_NS1_0_Female_week5_S41_L001_R2_001	(16.0, 2.0)	(17.0, 2.0)	(18.0, 6.0)	(19.0, 4.0)	(20.0, 40.0)	(21.0, 155.0)	(22.0, 258.0)	(23.0, 341.0)	(24.0, 414.0)	(25.0, 565.0)	(26.0, 731.0)	(27.0, 1071.0)	(28.0, 1602.0)	(29.0, 2342.0)	(30.0, 3339.0)	(31.0, 4861.0)	(32.0, 7301.0)	(33.0, 11465.0)	(34.0, 16195.0)	(35.0, 18398.0)	(36.0, 13157.0)	(37.0, 1346.0)				
2999_NS1_0_Female_week9_S53_L001_R1_001	(17.0, 1.0)	(18.0, 4.0)	(19.0, 4.0)	(20.0, 23.0)	(21.0, 40.0)	(22.0, 76.0)	(23.0, 142.0)	(24.0, 284.0)	(25.0, 453.0)	(26.0, 784.0)	(27.0, 1128.0)	(28.0, 1428.0)	(29.0, 1778.0)	(30.0, 1857.0)	(31.0, 2252.0)	(32.0, 2644.0)	(33.0, 3414.0)	(34.0, 4332.0)	(35.0, 6509.0)	(36.0, 11903.0)	(37.0, 52431.0)	(38.0, 1.0)				
2999_NS1_0_Female_week9_S53_L001_R2_001	(15.0, 1.0)	(16.0, 2.0)	(17.0, 2.0)	(18.0, 2.0)	(19.0, 6.0)	(20.0, 48.0)	(21.0, 183.0)	(22.0, 367.0)	(23.0, 473.0)	(24.0, 552.0)	(25.0, 672.0)	(26.0, 915.0)	(27.0, 1503.0)	(28.0, 2218.0)	(29.0, 3025.0)	(30.0, 4096.0)	(31.0, 5973.0)	(32.0, 8913.0)	(33.0, 13160.0)	(34.0, 17710.0)	(35.0, 18618.0)	(36.0, 12000.0)	(37.0, 1049.0)			
2999_NS1_R_Female_week5_S42_L001_R1_001	(17.0, 4.0)	(18.0, 8.0)	(19.0, 12.0)	(20.0, 44.0)	(21.0, 100.0)	(22.0, 204.0)	(23.0, 347.0)	(24.0, 570.0)	(25.0, 973.0)	(26.0, 1674.0)	(27.0, 2470.0)	(28.0, 3180.0)	(29.0, 3941.0)	(30.0, 4400.0)	(31.0, 5105.0)	(32.0, 6250.0)	(33.0, 7954.0)	(34.0, 10485.0)	(35.0, 15411.0)	(36.0, 28099.0)	(37.0, 115539.0)	(38.0, 3.0)				
2999_NS1_R_Female_week5_S42_L001_R2_001	(16.0, 4.0)	(17.0, 7.0)	(18.0, 8.0)	(19.0, 13.0)	(20.0, 75.0)	(21.0, 300.0)	(22.0, 536.0)	(23.0, 813.0)	(24.0, 954.0)	(25.0, 1275.0)	(26.0, 1725.0)	(27.0, 2517.0)	(28.0, 3754.0)	(29.0, 5602.0)	(30.0, 8117.0)	(31.0, 12133.0)	(32.0, 18849.0)	(33.0, 28838.0)	(34.0, 40289.0)	(35.0, 45567.0)	(36.0, 31767.0)	(37.0, 3629.0)	(38.0, 1.0)			
2999_NS1_R_Female_week9_S54_L001_R1_001	(18.0, 4.0)	(19.0, 8.0)	(20.0, 23.0)	(21.0, 69.0)	(22.0, 128.0)	(23.0, 246.0)	(24.0, 374.0)	(25.0, 731.0)	(26.0, 1196.0)	(27.0, 1728.0)	(28.0, 2204.0)	(29.0, 2508.0)	(30.0, 2977.0)	(31.0, 3429.0)	(32.0, 4063.0)	(33.0, 5055.0)	(34.0, 6753.0)	(35.0, 10157.0)	(36.0, 18429.0)	(37.0, 83239.0)	(38.0, 3.0)					
2999_NS1_R_Female_week9_S54_L001_R2_001	(16.0, 4.0)	(17.0, 2.0)	(18.0, 9.0)	(19.0, 5.0)	(20.0, 54.0)	(21.0, 207.0)	(22.0, 416.0)	(23.0, 624.0)	(24.0, 753.0)	(25.0, 923.0)	(26.0, 1320.0)	(27.0, 1822.0)	(28.0, 2745.0)	(29.0, 4003.0)	(30.0, 5696.0)	(31.0, 8247.0)	(32.0, 12778.0)	(33.0, 19684.0)	(34.0, 27445.0)	(35.0, 31125.0)	(36.0, 22765.0)	(37.0, 2697.0)				
3995R_S2_0_Female_week5_S64_L001_R1_001	(16.0, 1.0)	(17.0, 2.0)	(18.0, 3.0)	(19.0, 13.0)	(20.0, 46.0)	(21.0, 134.0)	(22.0, 267.0)	(23.0, 382.0)	(24.0, 639.0)	(25.0, 1060.0)	(26.0, 1754.0)	(27.0, 2590.0)	(28.0, 3259.0)	(29.0, 3805.0)	(30.0, 4249.0)	(31.0, 4651.0)	(32.0, 5527.0)	(33.0, 6996.0)	(34.0, 9195.0)	(35.0, 13364.0)	(36.0, 23618.0)	(37.0, 95338.0)	(38.0, 1.0)			
3995R_S2_0_Female_week5_S64_L001_R2_001	(15.0, 2.0)	(16.0, 5.0)	(17.0, 5.0)	(18.0, 9.0)	(19.0, 9.0)	(20.0, 88.0)	(21.0, 328.0)	(22.0, 654.0)	(23.0, 875.0)	(24.0, 1028.0)	(25.0, 1316.0)	(26.0, 1823.0)	(27.0, 2672.0)	(28.0, 4034.0)	(29.0, 5763.0)	(30.0, 8219.0)	(31.0, 11964.0)	(32.0, 17381.0)	(33.0, 25427.0)	(34.0, 34344.0)	(35.0, 35877.0)	(36.0, 22785.0)	(37.0, 2286.0)			
3995R_S2_0_Female_week9_S78_L001_R1_001	(17.0, 4.0)	(18.0, 5.0)	(19.0, 18.0)	(20.0, 46.0)	(21.0, 117.0)	(22.0, 212.0)	(23.0, 336.0)	(24.0, 492.0)	(25.0, 937.0)	(26.0, 1533.0)	(27.0, 2275.0)	(28.0, 2748.0)	(29.0, 2965.0)	(30.0, 3345.0)	(31.0, 3656.0)	(32.0, 4322.0)	(33.0, 5504.0)	(34.0, 7282.0)	(35.0, 11312.0)	(36.0, 20406.0)	(37.0, 56679.0)	(38.0, 1.0)				
3995R_S2_0_Female_week9_S78_L001_R2_001	(15.0, 1.0)	(16.0, 4.0)	(17.0, 3.0)	(18.0, 7.0)	(19.0, 5.0)	(20.0, 65.0)	(21.0, 213.0)	(22.0, 286.0)	(23.0, 441.0)	(24.0, 541.0)	(25.0, 715.0)	(26.0, 1029.0)	(27.0, 1618.0)	(28.0, 2572.0)	(29.0, 3814.0)	(30.0, 5644.0)	(31.0, 8613.0)	(32.0, 12895.0)	(33.0, 19530.0)	(34.0, 25677.0)	(35.0, 24668.0)	(36.0, 14555.0)	(37.0, 1299.0)			
3995R_S2_L_Female_week5_S65_L001_R1_001	(18.0, 1.0)	(19.0, 6.0)	(20.0, 31.0)	(21.0, 87.0)	(22.0, 159.0)	(23.0, 248.0)	(24.0, 364.0)	(25.0, 660.0)	(26.0, 1133.0)	(27.0, 1557.0)	(28.0, 1904.0)	(29.0, 2362.0)	(30.0, 2574.0)	(31.0, 2851.0)	(32.0, 3367.0)	(33.0, 4191.0)	(34.0, 5465.0)	(35.0, 8033.0)	(36.0, 14624.0)	(37.0, 64692.0)						
3995R_S2_L_Female_week5_S65_L001_R2_001	(15.0, 1.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 5.0)	(19.0, 11.0)	(20.0, 74.0)	(21.0, 286.0)	(22.0, 495.0)	(23.0, 602.0)	(24.0, 680.0)	(25.0, 921.0)	(26.0, 1241.0)	(27.0, 1890.0)	(28.0, 2761.0)	(29.0, 3996.0)	(30.0, 5502.0)	(31.0, 7855.0)	(32.0, 11454.0)	(33.0, 16830.0)	(34.0, 22370.0)	(35.0, 22473.0)	(36.0, 13635.0)	(37.0, 1226.0)			
3995R_S2_L_Female_week9_S79_L001_R1_001	(16.0, 2.0)	(17.0, 3.0)	(18.0, 5.0)	(19.0, 8.0)	(20.0, 52.0)	(21.0, 127.0)	(22.0, 230.0)	(23.0, 368.0)	(24.0, 553.0)	(25.0, 919.0)	(26.0, 1376.0)	(27.0, 1902.0)	(28.0, 2523.0)	(29.0, 2702.0)	(30.0, 2847.0)	(31.0, 3272.0)	(32.0, 3959.0)	(33.0, 4937.0)	(34.0, 6553.0)	(35.0, 9627.0)	(36.0, 17374.0)	(37.0, 72141.0)	(38.0, 2.0)			
3995R_S2_L_Female_week9_S79_L001_R2_001	(16.0, 1.0)	(17.0, 2.0)	(18.0, 6.0)	(19.0, 13.0)	(20.0, 78.0)	(21.0, 270.0)	(22.0, 442.0)	(23.0, 550.0)	(24.0, 740.0)	(25.0, 939.0)	(26.0, 1254.0)	(27.0, 1790.0)	(28.0, 2648.0)	(29.0, 3708.0)	(30.0, 5364.0)	(31.0, 7679.0)	(32.0, 10895.0)	(33.0, 16960.0)	(34.0, 24514.0)	(35.0, 29691.0)	(36.0, 21757.0)	(37.0, 2181.0)				
3995R_S2_RR_Female_week5_S67_L001_R1_001	(17.0, 1.0)	(18.0, 1.0)	(19.0, 2.0)	(20.0, 12.0)	(21.0, 50.0)	(22.0, 89.0)	(23.0, 145.0)	(24.0, 274.0)	(25.0, 503.0)	(26.0, 775.0)	(27.0, 1232.0)	(28.0, 1613.0)	(29.0, 1978.0)	(30.0, 2212.0)	(31.0, 2611.0)	(32.0, 3194.0)	(33.0, 4105.0)	(34.0, 5517.0)	(35.0, 8327.0)	(36.0, 14811.0)	(37.0, 61445.0)	(38.0, 1.0)				
3995R_S2_RR_Female_week5_S67_L001_R2_001	(16.0, 1.0)	(17.0, 2.0)	(18.0, 1.0)	(19.0, 4.0)	(20.0, 60.0)	(21.0, 202.0)	(22.0, 347.0)	(23.0, 455.0)	(24.0, 545.0)	(25.0, 690.0)	(26.0, 997.0)	(27.0, 1389.0)	(28.0, 2193.0)	(29.0, 3314.0)	(30.0, 4753.0)	(31.0, 7100.0)	(32.0, 10775.0)	(33.0, 15872.0)	(34.0, 21486.0)	(35.0, 22966.0)	(36.0, 14443.0)	(37.0, 1303.0)				
3995R_S2_RR_Female_week9_S81_L001_R1_001	(17.0, 3.0)	(18.0, 5.0)	(19.0, 17.0)	(20.0, 39.0)	(21.0, 116.0)	(22.0, 234.0)	(23.0, 322.0)	(24.0, 626.0)	(25.0, 1198.0)	(26.0, 1845.0)	(27.0, 2755.0)	(28.0, 3393.0)	(29.0, 4027.0)	(30.0, 4410.0)	(31.0, 5246.0)	(32.0, 6147.0)	(33.0, 7845.0)	(34.0, 10412.0)	(35.0, 15011.0)	(36.0, 26737.0)	(37.0, 112412.0)	(38.0, 2.0)				
3995R_S2_RR_Female_week9_S81_L001_R2_001	(16.0, 3.0)	(17.0, 3.0)	(18.0, 8.0)	(19.0, 16.0)	(20.0, 79.0)	(21.0, 348.0)	(22.0, 587.0)	(23.0, 742.0)	(24.0, 974.0)	(25.0, 1278.0)	(26.0, 1776.0)	(27.0, 2883.0)	(28.0, 4244.0)	(29.0, 6451.0)	(30.0, 9317.0)	(31.0, 13364.0)	(32.0, 19943.0)	(33.0, 29550.0)	(34.0, 40004.0)	(35.0, 41624.0)	(36.0, 26859.0)	(37.0, 2749.0)				
3995R_S2_R_Female_week5_S66_L001_R1_001	(16.0, 1.0)	(17.0, 0.0)	(18.0, 8.0)	(19.0, 17.0)	(20.0, 26.0)	(21.0, 113.0)	(22.0, 156.0)	(23.0, 254.0)	(24.0, 422.0)	(25.0, 743.0)	(26.0, 1149.0)	(27.0, 1589.0)	(28.0, 1977.0)	(29.0, 2258.0)	(30.0, 2487.0)	(31.0, 2698.0)	(32.0, 3303.0)	(33.0, 4033.0)	(34.0, 5605.0)	(35.0, 8158.0)	(36.0, 15475.0)	(37.0, 54272.0)	(38.0, 3.0)			
3995R_S2_R_Female_week5_S66_L001_R2_001	(13.0, 1.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 4.0)	(17.0, 2.0)	(18.0, 3.0)	(19.0, 7.0)	(20.0, 50.0)	(21.0, 233.0)	(22.0, 387.0)	(23.0, 489.0)	(24.0, 581.0)	(25.0, 735.0)	(26.0, 1021.0)	(27.0, 1478.0)	(28.0, 2132.0)	(29.0, 3174.0)	(30.0, 4256.0)	(31.0, 6240.0)	(32.0, 9700.0)	(33.0, 15000.0)	(34.0, 21044.0)	(35.0, 22739.0)	(36.0, 14304.0)	(37.0, 1166.0)	
3995R_S2_R_Female_week9_S80_L001_R1_001	(18.0, 9.0)	(19.0, 16.0)	(20.0, 53.0)	(21.0, 139.0)	(22.0, 240.0)	(23.0, 379.0)	(24.0, 648.0)	(25.0, 1080.0)	(26.0, 1870.0)	(27.0, 2503.0)	(28.0, 3077.0)	(29.0, 3701.0)	(30.0, 4087.0)	(31.0, 4782.0)	(32.0, 5423.0)	(33.0, 6873.0)	(34.0, 9120.0)	(35.0, 13169.0)	(36.0, 24126.0)	(37.0, 102573.0)						
3995R_S2_R_Female_week9_S80_L001_R2_001	(14.0, 1.0)	(15.0, 0.0)	(16.0, 2.0)	(17.0, 6.0)	(18.0, 12.0)	(19.0, 10.0)	(20.0, 89.0)	(21.0, 372.0)	(22.0, 639.0)	(23.0, 908.0)	(24.0, 1054.0)	(25.0, 1388.0)	(26.0, 2043.0)	(27.0, 2818.0)	(28.0, 4303.0)	(29.0, 6200.0)	(30.0, 8330.0)	(31.0, 12202.0)	(32.0, 18054.0)	(33.0, 26976.0)	(34.0, 36616.0)	(35.0, 37748.0)	(36.0, 22378.0)	(37.0, 1719.0)		
3997R_S2_L_Male_week5_S73_L001_R1_001	(17.0, 1.0)	(18.0, 4.0)	(19.0, 7.0)	(20.0, 18.0)	(21.0, 57.0)	(22.0, 121.0)	(23.0, 191.0)	(24.0, 292.0)	(25.0, 604.0)	(26.0, 927.0)	(27.0, 1307.0)	(28.0, 1616.0)	(29.0, 1828.0)	(30.0, 2097.0)	(31.0, 2477.0)	(32.0, 2871.0)	(33.0, 3786.0)	(34.0, 5000.0)	(35.0, 7560.0)	(36.0, 13787.0)	(37.0, 57985.0)	(38.0, 1.0)				
