Unique	Level 1	Level 2	Level 1.1	Level 2.1	Level 1.2	Level 2.2	Level 1.3	Level 2.3
Metabolic-Clusters // SECONDARY-METABOLITE-BIOSYNTHESIS	Metabolic clusters	NA	Biosynthesis	Secondary metabolite biosynthesis	NA	NA	NA	NA
Metabolic-Regulators	Biosynthesis	Metabolic regulators	NA	NA	NA	NA	NA	NA
Methylglyoxal-Detoxification // Aldehyde-Degradation	Detoxification	Methylglyoxal detoxification	Degradation/utilization/assimilation	Aldehyde degradation	NA	NA	NA	NA
Methylglyoxal-Detoxification // Aldehyde-Degradation // Super-Pathways	Detoxification	Methylglyoxal detoxification	Degradation/utilization/assimilation	Aldehyde degradation	Superpathways	NA	NA	NA
Noncarbon-Nutrients	Degradation/utilization/assimilation	Inorganic nutrient metabolism	NA	NA	NA	NA	NA	NA
Noncarbon-Nutrients // Activation	Degradation/utilization/assimilation	Inorganic nutrient metabolism	Metabolite activation/inactivation/interconversion	NA	NA	NA	NA	NA
Noncarbon-Nutrients // Amino-Acid-Biosynthesis	Degradation/utilization/assimilation	Inorganic nutrient metabolism	Biosynthesis	Amino acid biosynthesis	NA	NA	NA	NA
Noncarbon-Nutrients // Amino-Acid-Degradation	Degradation/utilization/assimilation	Inorganic nutrient metabolism	Degradation/utilization/assimilation	Amino acid degradation	NA	NA	NA	NA
Noncarbon-Nutrients // Energy-Metabolism	Degradation/utilization/assimilation	Inorganic nutrient metabolism	Generation of precursor metabolites and energy	NA	NA	NA	NA	NA
Noncarbon-Nutrients // SECONDARY-METABOLITE-BIOSYNTHESIS	Degradation/utilization/assimilation	Inorganic nutrient metabolism	Biosynthesis	Secondary metabolite biosynthesis	NA	NA	NA	NA
Noncarbon-Nutrients // Super-Pathways	Degradation/utilization/assimilation	Inorganic nutrient metabolism	Superpathways	NA	NA	NA	NA	NA
Noncarbon-Nutrients // Super-Pathways // Energy-Metabolism	Degradation/utilization/assimilation	Inorganic nutrient metabolism	Superpathways	NA	Generation of precursor metabolites and energy	NA	NA	NA
Nucleic-Acid-Processing	Macromolecule modification	Nucleic acid processing	NA	NA	NA	NA	NA	NA
