Pathways	Ontology - direct parents of entity	Ontology - direct parents of entity	Ontology - direct parents of entity	Ontology - direct parents of entity	Ontology - direct parents of entity	Ontology - direct parents of entity
PWY-5074	CARBOXYLATES-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-7308	Acrylonitrile-Degradation	Other-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-5896	Menaquinone-Biosynthesis // Super-Pathways	Quinone-Biosynthesis // Pathways	Electron-Carrier-Biosynthesis // Generalized-Reactions	Carriers-Biosynthesis // FRAMES	Cofactor-Biosynthesis // THINGS	Biosynthesis // 
PWY-7305	Hormone-Biosynthesis // Super-Pathways	HORMONE-SYN // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 
PWY-6546	Inactivation // Metabolic-Clusters // PLANT-HORMONE-DEG	Activation-Inactivation-Interconversion // Pathways // HORMONE-DEG	Pathways // Generalized-Reactions // Degradation	Generalized-Reactions // FRAMES // Pathways	FRAMES // THINGS // Generalized-Reactions	THINGS //  // FRAMES
PWY-8113	Factor-420-Biosynthesis	Electron-Carrier-Biosynthesis	Carriers-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways
P221-PWY	Other-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-6910	Thiamin-Salvage	Thiamine-Biosynthesis	Enzyme-Cofactor-Biosynthesis // Vitamin-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways
PWY-8526	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-5679	Beta-Lactam-Antibiotics-BioSynthesis	Antibiotic-Biosynthesis	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-5368	Conjugated-Fatty-Acid-Biosynthesis	PUFA-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis	Fatty-acid-biosynthesis	Lipid-Biosynthesis	Biosynthesis
PWY-8216	INDOLE-ALKALOIDS // TERPENOID-ALKALOIDS	ALKALOIDS-SYN // Terpenoid-Biosynthesis	N-CONTAINING-SECONDARY-CMPD-SYN // SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS // Biosynthesis	Biosynthesis // Pathways	Pathways // Generalized-Reactions
PWY-5409	Divinyl-Ether-Biosynthesis	FATTY-ACID-DERIVATIVE-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-7937	Bioluminescence	Bioluminescence-Fluoresence-Chromoproteins	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-5180	Super-Pathways // TOLUENE-DEG	Pathways // AROMATIC-COMPOUNDS-DEGRADATION	Generalized-Reactions // Degradation	FRAMES // Pathways	THINGS // Generalized-Reactions	 // FRAMES
PWY-5640	Nitrobenzene-Degradation	Nitroaromatic-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions
NAD-BIOSYNTHESIS-III	NAD-SYN	Enzyme-Cofactor-Biosynthesis // NAD-Metabolism	Cofactor-Biosynthesis // Electron-Carrier-Biosynthesis // Enzyme-Cofactor-Biosynthesis	Biosynthesis // Carriers-Biosynthesis // Cofactor-Biosynthesis	Pathways // Cofactor-Biosynthesis // Biosynthesis	Generalized-Reactions // Biosynthesis // Pathways
PWY-7472	D-Carnitine-Degradation	AMINE-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-5521	Ascorbate-Biosynthesis	Carboxylate-Biosynthesis // Enzyme-Cofactor-Biosynthesis // Vitamin-Biosynthesis	Biosynthesis // Cofactor-Biosynthesis	Pathways // Biosynthesis	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions
PWY-7452	ANTHOCYANIN-SYN	FLAVONOID-SYN // Pigment-Biosynthesis	PHENYLPROPANOID-SYN // SECONDARY-METABOLITE-BIOSYNTHESIS	AROMATIC-COMPOUNDS-BIOSYN // Biosynthesis	Biosynthesis // Pathways	Pathways // Generalized-Reactions
PWY-7335	UDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES	CARBO-BIOSYNTHESIS	Carbohydrates-Biosynthesis	Biosynthesis	Pathways
PWY-7304	COUMARIN-SYN	PHENYLPROPANOID-SYN	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways	Generalized-Reactions
HOMOSERSYN-PWY	Other-Amino-Acid-Biosynthesis	Amino-Acid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-5033	Nicotinate-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-8545	Antibiotic-Biosynthesis	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-7385	Alcohol-Biosynthesis	Fermentation	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES
P142-PWY	Pyruvate-Acetate-Fermentation // Super-Pathways	Acetate-Formation // Pyruvate-Degradation // Pathways	Fermentation-to-Acids // Fermentation // Generalized-Reactions	Fermentation // Energy-Metabolism // FRAMES	Energy-Metabolism // Pathways // THINGS	Pathways // Generalized-Reactions // 
ASPARAGINE-DEG1-PWY-1	Glyco-Amino-Acids-Degradation // Super-Pathways	MISCELLANEOUS-DEG // Pathways	Amino-Acid-Degradation // Generalized-Reactions	Degradation // FRAMES	Pathways // THINGS	Generalized-Reactions // 
PWY-6293	CYSTEINE-SYN // Super-Pathways	IND-AMINO-ACID-SYN // Pathways	Amino-Acid-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 
PWY-5469	LIGNAN-SYN	PHENYLPROPANOID-SYN	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways	Generalized-Reactions
PWY-7654	Hormone-Biosynthesis // Metabolic-Clusters	HORMONE-SYN // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 
PWY-8002	PHENYLPROPANOID-DERIVATIVE-DEG	Phenolic-Compounds-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions
PWY-7265	ALKALOIDS-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-8187	ARGININE-DEG // Stickland-Reductive	Proteinogenic-Amino-Acids-Degradation // Amino-Acid-Fermentation	Amino-Acid-Degradation // Fermentation	Degradation // Energy-Metabolism	Pathways	Generalized-Reactions
PWY-6902	Chitin-Degradation // Glycan-Pathways	POLYSACCHARIDES-DEG // Pathways	Carbohydrates-Degradation // Polymer-Degradation // Generalized-Reactions	Degradation // FRAMES	Pathways // THINGS	Generalized-Reactions // 
PWY-7586	Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-2501	Fatty-Acid-Degradation	Fatty-Acid-and-Lipid-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-7020	Antibiotic-Biosynthesis // Super-Pathways	Toxin-Biosynthesis // Pathways	SECONDARY-METABOLITE-BIOSYNTHESIS // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 
PWY-7535	Metabolic-Regulators	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-7299	Hormone-Biosynthesis	HORMONE-SYN	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-5648	2-Nirobenzoate-Degradation	Nitrobenzoate-Degradation	Nitroaromatic-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways
PWY-6569	Glycosaminoglycans-Biosynthesis // Super-Pathways	Polysaccharides-Biosynthesis // Pathways	Carbohydrates-Biosynthesis // Glycan-Pathways // Generalized-Reactions	Biosynthesis // Pathways // FRAMES	Pathways // Generalized-Reactions // THINGS	Generalized-Reactions // FRAMES // 
PWY-5036	GIBBERELLINS-BIOSYNTHESIS	GIBBERELLIN-SYN	DITERPENOID-SYN // Plant-Hormone-Biosynthesis	Terpenoid-Biosynthesis // Hormone-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS // HORMONE-SYN	Biosynthesis
PWY18C3-22	Salicylate-Biosynthesis	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-1782	Indole-3-Acetate-Inactivation // Super-Pathways	Inactivation // Pathways	Activation-Inactivation-Interconversion // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 
PWY-8339	Gamma-butyrobetaine-Degradation	AMINE-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-7196	Pyrimidine-Nucleotide-Salvage // Super-Pathways	PYR-NUC-SYN // Pathways	Nucleotide-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 
PWY-7927	Sulfide-Oxidation	Sulfur-Metabolism	Noncarbon-Nutrients	Degradation	Pathways	Generalized-Reactions
PWY-8595	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-5266	AROMATIC-COMPOUNDS-DEGRADATION // Super-Pathways	Degradation // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS	THINGS // 
PWY-6270	ISOPRENOIDS // Super-Pathways	Terpenoid-Biosynthesis // Pathways	SECONDARY-METABOLITE-BIOSYNTHESIS // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 
PWY-5723	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES	THINGS	
PWY-6887	DITERPENOID-SYN // Super-Pathways // TERPENOID-PHYTOALEXINS	Terpenoid-Biosynthesis // Pathways // PHYTOALEXIN-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS // Generalized-Reactions // Toxin-Biosynthesis	Biosynthesis // FRAMES // SECONDARY-METABOLITE-BIOSYNTHESIS	Pathways // THINGS // Biosynthesis	Generalized-Reactions //  // Pathways
FERMENTATION-PWY	Super-Pathways // Pyruvate-Ethanol-Fermentation // Fermentation-to-Acids	Pathways // Alcohol-Biosynthesis // Pyruvate-Degradation // Fermentation	Generalized-Reactions // Fermentation // Energy-Metabolism	FRAMES // Energy-Metabolism // Pathways	THINGS // Pathways // Generalized-Reactions	 // Generalized-Reactions // FRAMES
PWY-7070	DITERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
SPHINGOLIPID-SYN-PWY	Sphingolipid-Biosynthesis	Glycan-Pathways // Lipid-Biosynthesis	Pathways // Biosynthesis	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions	THINGS // FRAMES
PWY-7247	D-Glucuronate-Degradation	SUGAR-ACIDS-DEG	CARBOXYLATES-DEG // Sugars-And-Polysaccharides-Degradation	Degradation // Carbohydrates-Degradation	Pathways // Degradation	Generalized-Reactions // Pathways
ARG-GLU-PWY	ARGININE-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-6638	Sulfolactate-Degradation	Sulfur-Metabolism	Noncarbon-Nutrients	Degradation	Pathways	Generalized-Reactions
PWY-83	Glycosylation-Pathways // LIGNIN-SYN // Metabolic-Clusters	Other-biosynthesis // PHENYLPROPANOID-SYN // Pathways	Biosynthesis // AROMATIC-COMPOUNDS-BIOSYN // Generalized-Reactions	Pathways // Biosynthesis // FRAMES	Generalized-Reactions // Pathways // THINGS	FRAMES // Generalized-Reactions // 
PWY-6457	AROMATIC-COMPOUNDS-BIOSYN // CINNAMATE-SYN	Biosynthesis // PHENYLPROPANOID-SYN	Pathways // AROMATIC-COMPOUNDS-BIOSYN	Generalized-Reactions // Biosynthesis	FRAMES // Pathways	THINGS // Generalized-Reactions
PWY-8476	COUMARIN-SYN	PHENYLPROPANOID-SYN	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways	Generalized-Reactions
PWY-6587	Pyruvate-Ethanol-Fermentation	Alcohol-Biosynthesis // Pyruvate-Degradation	Fermentation	Energy-Metabolism	Pathways	Generalized-Reactions
PWY-6795	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-7044	Nitroaromatic-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-8204	O-Antigen-Biosynthesis	Lipopolysaccharide-Biosynthesis // Polysaccharides-Biosynthesis	Cell-Structure-Biosynthesis // Glycan-Pathways // Carbohydrates-Biosynthesis	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES
DENITRIFICATION-PWY	ANAEROBIC-RESPIRATION // Denitrification // Nitrate-Reduction	Respiration // NITROGEN-DEG	Energy-Metabolism // Noncarbon-Nutrients	Pathways // Degradation	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions
PWY-8273	UDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES	CARBO-BIOSYNTHESIS	Carbohydrates-Biosynthesis	Biosynthesis	Pathways
PWY-6983	Tetrahydropterin-Biosynthesis	Enzyme-Cofactor-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-6288	Glycosylation-Pathways	Other-biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
P341-PWY	GLYCOLYSIS-VARIANTS	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES	THINGS
P661-PWY	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-6361	Phytate-Biosynthesis	Cyclitols-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-8003	PHENYLPROPANOID-DERIVATIVE-DEG	Phenolic-Compounds-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions
PWY-5846	TROPANE-ALKALOIDS	ALKALOIDS-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-7663	Unsaturated-Fatty-Acids-Biosynthesis	Fatty-acid-biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
TOLUENE-DEG-DIOL-PWY	TOLUENE-DEG	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-2242	Ammonia-oxidation	NITROGEN-DEG	Noncarbon-Nutrients	Degradation	Pathways	Generalized-Reactions
PWY-7752	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-8609	POLYKETIDE-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-7697	Aroma-Compound-Biosynthesis // MONOTERPENOID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS // Terpenoid-Biosynthesis	Biosynthesis // SECONDARY-METABOLITE-BIOSYNTHESIS	Pathways // Biosynthesis	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions
PWY-7392	DITERPENOID-SYN // Super-Pathways	Terpenoid-Biosynthesis // Pathways	SECONDARY-METABOLITE-BIOSYNTHESIS // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 
PWY-7806	Glyphosate-Degradation	Phosphorus-Compounds	Noncarbon-Nutrients	Degradation	Pathways	Generalized-Reactions
PWY-6895	Super-Pathways // Thiamine-Biosynthesis	Pathways // Enzyme-Cofactor-Biosynthesis // Vitamin-Biosynthesis	Generalized-Reactions // Cofactor-Biosynthesis	FRAMES // Biosynthesis	THINGS // Pathways	 // Generalized-Reactions
PWY-7520	INDOLE-ALKALOIDS // QUINONE-SYN	ALKALOIDS-SYN // PHENYLPROPANOID-SYN	N-CONTAINING-SECONDARY-CMPD-SYN // AROMATIC-COMPOUNDS-BIOSYN	SECONDARY-METABOLITE-BIOSYNTHESIS // Biosynthesis	Biosynthesis // Pathways	Pathways // Generalized-Reactions
PWY-6456	Polyamine-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-7717	3-OH-4-Methyl-Anthranilate-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-7298	FLAVONE-SYN	FLAVONOID-SYN	PHENYLPROPANOID-SYN	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways
PWY-5874	Heme-Degradation	Tetrapyrrole-Degradation	Other-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-7821	Antibiotic-Biosynthesis	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-2942	LYSINE-SYN	IND-AMINO-ACID-SYN	Amino-Acid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-5750	Itaconate-Biosynthesis	Carboxylate-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-6731	Starch-Degradation	POLYSACCHARIDES-DEG	Carbohydrates-Degradation // Polymer-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-7363	ISOQUINOLINE-ALKALOIDS	ALKALOIDS-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-6667	PHENYLPROPANOID-DERIVATIVE-DEG	Phenolic-Compounds-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions
PWY-7516	Aldonate-Degradation	CARBOXYLATES-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-8228	O-Antigen-Biosynthesis	Lipopolysaccharide-Biosynthesis // Polysaccharides-Biosynthesis	Cell-Structure-Biosynthesis // Glycan-Pathways // Carbohydrates-Biosynthesis	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES
PWY-6678	TERPENOID-DEG	SECONDARY-METABOLITE-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-7115	Photosynthesis	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY1G-0	Reductants	Other-biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-8562	Enzyme-Cofactor-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-6151	S-adenosyl-L-methionine-Biosynthesis	C1-Carrier-Biosynthesis // Enzyme-Cofactor-Biosynthesis	Carriers-Biosynthesis // Cofactor-Biosynthesis	Cofactor-Biosynthesis // Biosynthesis	Biosynthesis // Pathways	Pathways // Generalized-Reactions
PWY-5512	UDP-Nac-Galactosamine-Biosynthesis	UDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES	CARBO-BIOSYNTHESIS	Carbohydrates-Biosynthesis	Biosynthesis
PWY-6841	Detoxification	Pathways	Generalized-Reactions	FRAMES	THINGS	
PWY-8342	CoA-Biosynthesis	Carriers-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-6845	Nitric-Oxide-Biosynthesis	Metabolic-Regulators	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-7457	CHEMOAUTOTROPHIC-ENERGY-METABOLISM // Sulfite-Oxidation	Energy-Metabolism // Sulfur-Metabolism	Pathways // Noncarbon-Nutrients	Generalized-Reactions // Degradation	FRAMES // Pathways	THINGS // Generalized-Reactions
PWY-622	GLYCOGEN-BIOSYN	Polysaccharides-Biosynthesis	Carbohydrates-Biosynthesis // Glycan-Pathways	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES
PWY-5365	COUMARIN-SYN	PHENYLPROPANOID-SYN	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways	Generalized-Reactions
PWY-7251	Metabolic-Clusters // TRITERPENOID-SYN	Pathways // Terpenoid-Biosynthesis	Generalized-Reactions // SECONDARY-METABOLITE-BIOSYNTHESIS	FRAMES // Biosynthesis	THINGS // Pathways	 // Generalized-Reactions
PWY-5028	HISTIDINE-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation	Pathways	Generalized-Reactions
HEME-BIOSYNTHESIS-II-1	Heme-b-Biosynthesis	HEME-SYN	Enzyme-Cofactor-Biosynthesis // Porphyrin-Compounds-Biosynthesis	Cofactor-Biosynthesis // Tetrapyrrole-Biosynthesis	Biosynthesis	Pathways
PWY-8473	Protocatechuate-Degradation // Super-Pathways	AROMATIC-COMPOUNDS-DEGRADATION // Pathways	Degradation // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 
PWY-5634	Beta-Lactam-Antibiotics-BioSynthesis // Super-Pathways	Antibiotic-Biosynthesis // Pathways	Toxin-Biosynthesis // Generalized-Reactions	SECONDARY-METABOLITE-BIOSYNTHESIS // FRAMES	Biosynthesis // THINGS	Pathways // 
PWY-7872	Aldonate-Degradation	CARBOXYLATES-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-6013	Acetlylenic-Fatty-Acid-Biosynthesis // PUFA-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis	Fatty-acid-biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways
PWY-6128	SESQUITERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-1722	C1-COMPOUNDS	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
HISHP-PWY	HISTIDINE-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation	Pathways	Generalized-Reactions
P161-PWY	Acetate-Formation // Pyruvate-Ethanol-Fermentation	Fermentation-to-Acids // Alcohol-Biosynthesis // Pyruvate-Degradation	Fermentation	Energy-Metabolism	Pathways	Generalized-Reactions
PWY-7512	Chloroaromatic-Compounds-Degradation	CHLORINATED-COMPOUNDS-DEG // AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-7568	GALACTOSE-DEGRADATION	Sugars-And-Polysaccharides-Degradation	Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-3861	Mannitol-Degradation	SUGAR-ALCOHOLS-DEG	Alcohol-Degradation // Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions
P185-PWY	Formaldehyde-Assimilation	C1-COMPOUNDS	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-6806	Metabolic-Clusters // TERPENOID-DEG	Pathways // SECONDARY-METABOLITE-DEGRADATION	Generalized-Reactions // Degradation	FRAMES // Pathways	THINGS // Generalized-Reactions	 // FRAMES
PWY-8013	UDP-Nac-Galactosamine-Biosynthesis	UDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES	CARBO-BIOSYNTHESIS	Carbohydrates-Biosynthesis	Biosynthesis
PWY-7489	TERPENOID-PHYTOALEXINS	PHYTOALEXIN-SYN	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-7443	MONOTERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-5133	TERPENOPHENOLICS-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-5110	PYRROLIDINE-ALKALOIDS	ALKALOIDS-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-7818	Teichoic-Acids-Biosynthesis	Cell-Wall-Biosynthesis	Cell-Structure-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-7380	BIOTIN-SYN	Enzyme-Cofactor-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-7575	Antibiotic-Biosynthesis // Super-Pathways	Toxin-Biosynthesis // Pathways	SECONDARY-METABOLITE-BIOSYNTHESIS // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 
PWY-7983	Siderophores-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-6711	Nucleic-Acid-Processing	Macromolecule-Modification	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-5384	SUCROSE-DEG	Sugars-And-Polysaccharides-Degradation	Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-7664	Oleate-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis	Fatty-acid-biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways
PWY-5489	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-7168	FLAVONOL-SYN	FLAVONOID-SYN	PHENYLPROPANOID-SYN	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways
SO4ASSIM-PWY	Assimilatory-Sulfate-Reduction // Super-Pathways	Sulfur-Metabolism // Pathways	Noncarbon-Nutrients // Generalized-Reactions	Degradation // FRAMES	Pathways // THINGS	Generalized-Reactions // 
BIOTIN-BIOSYNTHESIS-PWY	BIOTIN-SYN // Super-Pathways	Enzyme-Cofactor-Biosynthesis // Pathways	Cofactor-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 
PARATHION-DEGRADATION-PWY	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-5780	QUINONE-SYN	PHENYLPROPANOID-SYN	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways	Generalized-Reactions
BENZCOA-PWY	AROMATIC-COMPOUNDS-DEGRADATION // Super-Pathways	Degradation // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS	THINGS // 
PWY-7561	POLYKETIDE-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-6948	Steroids-Degradation	Fatty-Acid-and-Lipid-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
CODH-PWY	Autotrophic-CO2-Fixation	CO2-Fixation	C1-COMPOUNDS	Degradation	Pathways	Generalized-Reactions
PWY-6407	Siderophores-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
