Pathways	Ontology - direct parents of entity	Ontology - direct parents of entity	Ontology - direct parents of entity	Ontology - direct parents of entity	Ontology - direct parents of entity	Ontology - direct parents of entity
PWY-7671	Antibiotic-Biosynthesis	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
RIBOKIN-PWY	Sugars-And-Polysaccharides-Degradation	Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY490-3	Nitrate-Reduction	NITROGEN-DEG	Noncarbon-Nutrients	Degradation	Pathways	Generalized-Reactions
PWY-7527	Methionine-Salvage // Super-Pathways	METHIONINE-SYN // Pathways	IND-AMINO-ACID-SYN // Generalized-Reactions	Amino-Acid-Biosynthesis // FRAMES	Biosynthesis // THINGS	Pathways // 
PWY-7290	O-Antigen-Biosynthesis	Lipopolysaccharide-Biosynthesis // Polysaccharides-Biosynthesis	Cell-Structure-Biosynthesis // Glycan-Pathways // Carbohydrates-Biosynthesis	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES
HCAMHPDEG-PWY	Phenolic-Compounds-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-6670	TERPENOID-DEG	SECONDARY-METABOLITE-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-6947	Cholesterol-Degradation // Super-Pathways	Steroids-Degradation // Pathways	Fatty-Acid-and-Lipid-Degradation // Generalized-Reactions	Degradation // FRAMES	Pathways // THINGS	Generalized-Reactions // 
PWY-8374	Antibiotic-Biosynthesis	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-8393	Xylitol-Degradation	SUGAR-ALCOHOLS-DEG	Alcohol-Degradation // Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions
POLYISOPRENSYN-PWY	Super-Pathways // Polyprenyl-Biosynthesis	Pathways // Biosynthesis	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions	THINGS // FRAMES	 // THINGS
