Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
3752R_0_F_S5_week10_S59_L001_R1_001	(1.0, 2.953142061981195)	(2.0, 1.066841896736662)	(3.0, 0.6029975938076786)	(4.0, 0.34015248881458787)	(5.0, 0.22709043997564815)	(6.0, 0.24351825903771634)	(7.0, 0.18263869427828724)	(8.0, 0.28603732013953986)	(9.0, 0.16524453291845037)	('>10', 5.688857106964429)	('>50', 4.173632384063083)	('>100', 15.066242764512044)	('>500', 20.047737309509774)	('>1k', 48.9558671472609)	('>5k', 0.0)	('>10k+', 0.0)
3752R_0_F_S5_week10_S59_L001_R2_001	(1.0, 5.321647033812317)	(2.0, 1.3915329087869506)	(3.0, 0.808828503232415)	(4.0, 0.4715750413111332)	(5.0, 0.3140612467748326)	(6.0, 0.1855377211715934)	(7.0, 0.1352879216876202)	(8.0, 0.10823033735009614)	(9.0, 0.05218248407951064)	('>10', 0.7266894079220741)	('>50', 0.52665655228395)	('>100', 18.017452141897703)	('>500', 26.081578616777634)	('>1k', 45.85874008291217)	('>5k', 0.0)	('>10k+', 0.0)
3752R_L_F_S5_week10_S60_L001_R1_001	(1.0, 3.1168014570369245)	(2.0, 1.084104854621539)	(3.0, 0.5203703302183388)	(4.0, 0.35124997289737864)	(5.0, 0.24934411656295394)	(6.0, 0.22115739034279397)	(7.0, 0.3111380932763817)	(8.0, 0.25151232627219705)	(9.0, 0.2829513670562217)	('>10', 6.7984215433316715)	('>50', 3.9287959931484573)	('>100', 14.05216712560439)	('>500', 22.074543049803776)	('>1k', 46.757442379826976)	('>5k', 0.0)	('>10k+', 0.0)
3752R_L_F_S5_week10_S60_L001_R2_001	(1.0, 5.479065935257258)	(2.0, 1.502569328505453)	(3.0, 0.6764814292838403)	(4.0, 0.5116974913813664)	(5.0, 0.2276620194705232)	(6.0, 0.14960646993777238)	(7.0, 0.17454088159406778)	(8.0, 0.06070987185880618)	(9.0, 0.14635415537390778)	('>10', 1.3301966566206282)	('>50', 1.6164003382407148)	('>100', 12.36313176210403)	('>500', 53.120053771600794)	('>1k', 22.641529888770844)	('>5k', 0.0)	('>10k+', 0.0)
3795R_R_F_S2_week10_S51_L001_R1_001	(1.0, 2.89267513501179)	(2.0, 1.0648817220658706)	(3.0, 0.4609416596942268)	(4.0, 0.32554955503156613)	(5.0, 0.2510078344869552)	(6.0, 0.21906138282497908)	(7.0, 0.18635430136152734)	(8.0, 0.20689130600136915)	(9.0, 0.2053700463984179)	('>10', 6.215106107857306)	('>50', 3.904312770974367)	('>100', 10.819198296189244)	('>500', 22.591465733627444)	('>1k', 50.65718414847493)	('>5k', 0.0)	('>10k+', 0.0)
3795R_R_F_S2_week10_S51_L001_R2_001	(1.0, 4.139347379630333)	(2.0, 1.1941887883167264)	(3.0, 0.6526203696660835)	(4.0, 0.4594204000912756)	(5.0, 0.31946451661976116)	(6.0, 0.1916787099718567)	(7.0, 0.15973225830988058)	(8.0, 0.10953069141248954)	(9.0, 0.08214801855936715)	('>10', 1.096067543926371)	('>50', 2.4811744124134782)	('>100', 5.8203392408914585)	('>500', 25.197383433482923)	('>1k', 58.09690423670799)	('>5k', 0.0)	('>10k+', 0.0)
3874R_0_F_NS1_week10_S75_L001_R1_001	(1.0, 2.973468798599406)	(2.0, 1.1342577502956708)	(3.0, 0.5391914921356267)	(4.0, 0.45072311259696596)	(5.0, 0.3585297486566775)	(6.0, 0.2402614939049943)	(7.0, 0.22815529459970385)	(8.0, 0.27564884572045856)	(9.0, 0.2765800918208655)	('>10', 5.621001462056378)	('>50', 4.324706890289897)	('>100', 20.841287727107645)	('>500', 14.586107670674128)	('>1k', 48.150079621541586)	('>5k', 0.0)	('>10k+', 0.0)
3874R_0_F_NS1_week10_S75_L001_R2_001	(1.0, 5.316483987223304)	(2.0, 1.286982110762411)	(3.0, 0.6174161645698109)	(4.0, 0.3613234869578984)	(5.0, 0.2188428335956343)	(6.0, 0.1676242980732518)	(7.0, 0.09778084054273023)	(8.0, 0.08939962563906764)	(9.0, 0.07543093413296331)	('>10', 1.6967303949414714)	('>50', 3.279848765633294)	('>100', 20.917649907341012)	('>500', 21.656128064963728)	('>1k', 44.21835858562343)	('>5k', 0.0)	('>10k+', 0.0)
3874R_L_F_NS1_week10_S76_L001_R1_001	(1.0, 3.161401134648415)	(2.0, 1.0680268568156979)	(3.0, 0.5527507416853172)	(4.0, 0.4913339926091709)	(5.0, 0.29667412689324935)	(6.0, 0.23733930151459948)	(7.0, 0.33518971529693437)	(8.0, 0.27481392806953625)	(9.0, 0.25295372924582316)	('>10', 6.56534638005517)	('>50', 4.196117212304169)	('>100', 24.86337375735179)	('>500', 13.258731067506377)	('>1k', 44.44594805600375)	('>5k', 0.0)	('>10k+', 0.0)
3874R_L_F_NS1_week10_S76_L001_R2_001	(1.0, 5.410919689793369)	(2.0, 1.3199396242127726)	(3.0, 0.5527507416853172)	(4.0, 0.2873054702545152)	(5.0, 0.2186019882371311)	(6.0, 0.16863581949721543)	(7.0, 0.06558059647113933)	(8.0, 0.07494925310987352)	(9.0, 0.046843283193670954)	('>10', 3.0521001405298493)	('>50', 2.5597251860719306)	('>100', 26.235361474001976)	('>500', 25.27975849685109)	('>1k', 34.72752823609015)	('>5k', 0.0)	('>10k+', 0.0)
