Reaction	EC-Number	In-Pathway	Common-Name	Names
RXN0-6732	EC-2.7.8.37	PWY0-1533 // PWY-7399		Chemical Reactions
4.3.1.17-RXN	EC-4.3.1.17	PWY0-1608		Small-Molecule Reactions
RXN-18616	EC-1.14.14.50	PWY-5292		Chemical Reactions
RXN-9414		RXN-15253	monocyclic monoterpene ketone monooxygenase	Chemical Reactions
RXN-21725	EC-2.3.1.86	PWYG-321		Chemical Reactions
RXN-21056	EC-2.1.1.376	PWY-8107 // PWY-8108		Chemical Reactions
RXN-15532	EC-1.14.14	PWY-7497	parthenolide 3-hydroxylase	Chemical Reactions
2.1.1.94-RXN	EC-2.1.1.94	PWY-5292		Chemical Reactions
2.3.1.172-RXN	EC-2.3.1.172	PWY-5268		Chemical Reactions
RXN-23478	EC-1.13.11.34	PWY-8413 // PWY-8399		Chemical Reactions
RXN-9760	EC-2.3.1	PWY-6056		Chemical Reactions
AMINOLEVULINATE-AMINOTRANSFERASE-RXN	EC-2.6.1.43			Chemical Reactions
RXN-18261	EC-2.4.1.152			Chemical Reactions
RXN-15360	EC-2.3.1	PWY-7460	acetyl-CoA coutarate acyltransferase	Chemical Reactions
RXN-23541	EC-4.2.3.211	PWY-8407		Chemical Reactions
RXN-24011	EC-2.3.1.16	PWY-8463		Chemical Reactions
RXN-21403		RXN-24010 // PWY-8146		Chemical Reactions
RXN-15907	EC-5.5.1.27	PWY-6501		Chemical Reactions
2.7.8.19-RXN	EC-2.7.8.19			Chemical Reactions
RXN-24942	EC-2.4.1			Chemical Reactions
RXN-18126	EC-1.3.1	PWY-7826		Chemical Reactions
1.3.1.67-RXN	EC-1.3.1.67			Chemical Reactions
RXN-24840	EC-1.14.14	PWY-8547 // PWY-8546 // PWY-8545		Chemical Reactions
RXN-18047	EC-2.7.8	PWY-7818		Chemical Reactions
3.2.1.14-RXN	EC-3.2.1.14	PWY-6902 // PWY-7822 // PWY-6855		Chemical Reactions
RXN-14839	EC-2.4.1			Chemical Reactions
RXN-25079	EC-6.4.1.11			Small-Molecule Reactions
RXN-18657	EC-1.1.1.eb			Chemical Reactions
RXN-21892	EC-2.4.1			Chemical Reactions
RXN-23680	EC-2.3.1	PWY-8434		Chemical Reactions
RXN-4314		PWY-2681		Chemical Reactions
RXN-15414	EC-1.10.3.15	PWY-7153		Chemical Reactions
RXN-7249		PWY-4702		Chemical Reactions
RXN-17429	EC-3.1.1.100	PWY-7760 // PWY-7758 // PWY-7759		Chemical Reactions
RXN-22503	EC-2.8.2	PWY-6568		Chemical Reactions
RXN-24891		PWY-8548		Chemical Reactions
RXN-19897	EC-2.8.3.17	PWY-5754 // PWY-8016		Chemical Reactions
RXN-20436	EC-5.5.1.9	PWY18C3-1		Chemical Reactions
RXN1F-147	EC-5.5.1.18	PWY-5946		Chemical Reactions
RXN-12581	EC-1.1.1.105	PWY-6872		Chemical Reactions
RXN-17799	EC-2.3.1.16			Chemical Reactions
RXN-22546		PWY-8300		Chemical Reactions
RXN-13734	EC-2.3.1.198	PWY-1121		Chemical Reactions
2.8.2.27-RXN	EC-2.8.2.27	PWY-6199		Chemical Reactions
RXN-24866		PWY-7025		Chemical Reactions
RXN-20223	EC-2.3.1.26			Chemical Reactions
RXN-16716		PWY-7671		Small-Molecule Reactions
SERINE-C-PALMITOYLTRANSFERASE-RXN	EC-2.3.1.50	SPHINGOLIPID-SYN-PWY // PWY3DJ-12 // PWY-5129		Chemical Reactions
RXN-15526	EC-3.5.1.M21 // EC-3.5.1.M19 // EC-3.5.1.M20	PWY-7496		Chemical Reactions
RXN-20289	EC-1.14.13.M73	PWY-8036		Chemical Reactions
RXN-16219	EC-1.11.2.3	PWY-6917		Chemical Reactions
RXN-20118		PWY-8026		Chemical Reactions
RXN-4606	EC-2.8.2.24	PWY-2821		Chemical Reactions
RXN-12307	EC-2.7.1.216			Chemical Reactions
RXN-17924		RXN-15712		Chemical Reactions
RXN-12410	EC-1.3.99.29			Small-Molecule Reactions
RXN-15928	EC-1.1	PWY-7569 // PWY-7570		Chemical Reactions
RXN-23472	EC-1.13.11.33	PWY-8398		Chemical Reactions
RXN-18830		PWY-7911		Small-Molecule Reactions
RXN-20260		PWY-8035		Chemical Reactions
RXN0-6981	EC-3.4.13.18	PWY0-1546		Chemical Reactions
RXN-17507		RXN-17509		Chemical Reactions
RXN-24912		PWY-5872		Chemical Reactions
RXN-21646	EC-4.2.1.59	PWY-8525 // PWY-8174		Chemical Reactions
CARBOXY-CISCIS-MUCONATE-CYCLASE-RXN	EC-5.5.1.5			Chemical Reactions
RXN-16708	EC-3.4.99.M1	PWY-7893		Chemical Reactions
NADH-KINASE-RXN	EC-2.7.1.M29 // EC-2.7.1.86	PWY-7269 // PWY-7268 // PWY-5083		Chemical Reactions
RXN-20918	EC-2.3.1.251			Chemical Reactions
RXN-24051		PWY-6493 // RXN-11389		Chemical Reactions
RXN-17621	EC-1.14.19.48			Chemical Reactions
RXN-8752	EC-1.17.1.4	PWY-5497		Chemical Reactions
RXN-18989	EC-1.14.99.44	RXN-12223		Small-Molecule Reactions
3.5.1.29-RXN	EC-3.5.1.29	PWY-5499		Chemical Reactions
RXN-18976	EC-4.2.3.189			Chemical Reactions
RXN66-164		PWY66-221		Chemical Reactions
RXN-22956		PWY-8319		Chemical Reactions
RXN-13877	EC-2.1.1	PWY-7151	2'-hydroxy 3,6,7,4'-tetramethylquercetagetin 2'-<i>O</i>-methyltransferases	Chemical Reactions
RXN-17693	EC-1.10.3.16	PWY-5770		Chemical Reactions
RXN66-355	EC-1.14.14.19	PWY-8200 // PWY66-381		Chemical Reactions
RXN-19701	EC-2.4.1.368			Chemical Reactions
2.7.7.32-RXN	EC-2.7.7.32			Chemical Reactions
RXN-8058		PWY-5195		Chemical Reactions
GLYCERYL-ETHER-MONOOXYGENASE-RXN	EC-1.14.16.5			Chemical Reactions
RXN-18740	EC-2.3.2.32	PWY-7899		Chemical Reactions
RXN-14818	EC-1.1.1.362	PWY-7352 // PWY-7354		Chemical Reactions
RXN-21408		PWY-8147		Chemical Reactions
RXN0-6367	EC-1.5.1.50	PWY0-1433		Chemical Reactions
RXN-11343		PWY-6470		Chemical Reactions
RXN-20891	EC-6.2.1			Chemical Reactions
RXN-19526	EC-3.13.1.M4			Chemical Reactions
RXN-14340	EC-3.1.6.19			Chemical Reactions
RXN-25127		PWY-7950		Chemical Reactions
RXN-13174	EC-1.1.3.44	PWY-7016		Chemical Reactions
RXN-15283	EC-4.1.1.56	PWY-6585		Chemical Reactions
RXN66-546	EC-1.5.1.2			Chemical Reactions
RXN-14552		RXN0-6435 // RXN-15287 // RXN-15285 // RXN-15284		Chemical Reactions
S-ALKYLCYSTEINE-LYASE-RXN	EC-4.4.1.13			Small-Molecule Reactions
RXN-11032	EC-1.1.1.304	PWY-6389		Chemical Reactions
RXN-11295	EC-2.3.2.16	PWY-6459		Chemical Reactions
RXN-21940	EC-2.4.1			Chemical Reactions
RXN-18660	EC-2.7.1.221	PWY-7883		Chemical Reactions
RXN-13289	EC-1.2.1	PWY-7035	(<i>Z</i>)-15-tetracosenoyl-CoA reductase	Chemical Reactions
3.2.1.161-RXN	EC-3.2.1.161	PWY-5825		Chemical Reactions
1.14.13.103-RXN	EC-1.14.14.142	PWY-6914		Chemical Reactions
RXN8J2-156	EC-4.4.1	RXN8J2-157 // PWY8J2-23		Chemical Reactions
RXN-11856	EC-2.1.1.203 // EC-2.1.1.202	PWY-6829		Chemical Reactions
RXN-19403	EC-2.4.1	PWY-7981		Chemical Reactions
RXN-9337		PWY-5883		Chemical Reactions
RXN-21631	EC-1.1.1.100	PWY-8173		Chemical Reactions
RXN-17971				Chemical Reactions
METHANETHIOL-OXIDASE-RXN	EC-1.8.3.4	PWY-6047		Chemical Reactions
RXN-18141	EC-2.1.1	PWY-7826		Chemical Reactions
RXN0-7343	EC-2.4.1	PWY-8243		Chemical Reactions
THIOL-OXIDASE-RXN	EC-1.8.3.2			Chemical Reactions
RXN-18298	EC-2.4.1	PWY-7838		Chemical Reactions
RXN-19744		RXN-21005 // PWY-8003		Chemical Reactions
RXN-14243		RXN-12892		Chemical Reactions
RXN-20515	EC-3.1.4.54			Chemical Reactions
RXN2DNV-18	EC-2.4.1	PWY2DNV-5		Chemical Reactions
RXN0-366	EC-3.2.2.1	PWY-6606 // PWY-6599	guanosine hydrolase	Chemical Reactions
R524-RXN		CYANCAT-PWY // RXN-12893		Chemical Reactions
RXN-22769	EC-3.1.1.40			Chemical Reactions
RXN-9831	EC-1.17.99	PWY-6080		Chemical Reactions
RXN-1761	EC-3.5.5.8	PWY-743		Chemical Reactions
STEROL-GLUCOSYLTRANSFERASE-RXN	EC-2.4.1.173			Chemical Reactions
RXN-13459	EC-5.3.2.6			Chemical Reactions
COBALADENOSYLTRANS-RXN		PWY-6268 // PWY-7974 // RXN-19369 // RXN-19368 // RXN-19335		Chemical Reactions
2.8.2.31-RXN	EC-2.8.2.31			Chemical Reactions
RXN-23389		PWY-7532 // RXN-15667		Chemical Reactions
RXN-14421	EC-2.5.1.107	PWY-7526		Chemical Reactions
RXN-9628	EC-3.1.2.2			Chemical Reactions
RXN-9533	EC-4.2.1.59	PWY66-430 // PWY-8279 // PWY1A0-6120 // PWY-7664 // PWY-5971		Chemical Reactions
RXN-20485	EC-2.3.1	PWY-8049		Chemical Reactions
3.2.1.40-RXN	EC-3.2.1.40			Chemical Reactions
TRANS-CINNAMATE-4-MONOOXYGENASE-RXN	EC-1.14.14.91	PWY-8157 // PWY1F-467 // PWY-1121 // PWY-5048		Chemical Reactions
RXN-14815	EC-5.1.3			Chemical Reactions
RXN-14751	EC-1.14.14	PWY-7325		Chemical Reactions
RXN-20266	EC-1.14.15.M14	PWY-8035		Chemical Reactions
RXN-21325	EC-2.4.1	PWY-8133		Chemical Reactions
RXN-8433	EC-2.4.2			Chemical Reactions
RXN-21777	EC-6.2.1.2	PWY-8181		Chemical Reactions
RXN-9411	EC-1.1.98	PWY-5924		Chemical Reactions
RXN-13209	EC-2.4.1	PWY-7018		Chemical Reactions
NARINGENIN-3-DIOXYGENASE-RXN	EC-1.14.11.9	PWY1F-FLAVSYN // PWY-6787		Chemical Reactions
RXN-17386	EC-1.1.1.392	PWY-7756		Chemical Reactions
RXN-24846	EC-2.3.1	PWY-8545		Chemical Reactions
RXN-21924	EC-2.4.1			Chemical Reactions
RXN-8140	EC-2.4.1	PWY-5268		Chemical Reactions
RXN-18209		PWYQT-4450 // RXNQT-4165		Chemical Reactions
RXN-8683	EC-1.23.1.3	PWY-5466		Chemical Reactions
RXN-18125	EC-2.1.1	PWY-7826		Chemical Reactions
RXN-6861		PWY-4281		Chemical Reactions
RXN-22132	EC-2.4.1	PWY-8220		Chemical Reactions
RXN-14694	EC-1.8.1.19			Chemical Reactions
RXN-16804		PWY-7674 // PWY-1269		Chemical Reactions
RXN-8925	EC-2.6.1.119	PWY-5710		Chemical Reactions
RXN-7933	EC-3.5.1.16	PWY-5154		Chemical Reactions
2.1.1.128-RXN	EC-2.1.1.128	PWY-3581		Chemical Reactions
GSHTRAN-RXN	EC-2.5.1.18	PWY-6842 // PWY-4061		Chemical Reactions
PMPOXI-RXN	EC-1.4.3.5	PLPSAL-PWY // PWY-7204		Chemical Reactions
RXN-19769	EC-3.2.1.55			Chemical Reactions
RXN-14219		RXN-14199		Chemical Reactions
RXN-11458	EC-2.5.1			Chemical Reactions
RXN-7760	EC-2.4.1.236	PWY-5105		Chemical Reactions
RXN-12881		PWY-7477 // RXN-12883	(-)-9&beta;-pimara-7,15-dien-19-ol dehydrogenase	Chemical Reactions
RXN2DDB-16		PWY2DDB-9		Chemical Reactions
RXN-7082	EC-3.2.1.182	PWY-4441		Chemical Reactions
1.1.1.53-RXN	EC-1.1.1.53			Chemical Reactions
RXN-10830	EC-4.2.1.166	PWY-7769 // PWY-6322		Small-Molecule Reactions
RXN-23173	EC-3.2.1.M32			Chemical Reactions
RXN-11518	EC-1.14.13.128	PWY-6538		Chemical Reactions
S-NORLAUDANOSOLINE-SYNTHASE-RXN	EC-3.5.99.14	PWY-3581		Chemical Reactions
RXN-12296	EC-1.3.1	PWY-6786		Chemical Reactions
RXN-15475	EC-1.1.1	PWY-7490	gentisyl alcohol dehydrogenase	Chemical Reactions
RXN-14515		PWY-6531 // PWY-4101		Chemical Reactions
RXN-17566	EC-6.4.1.6			Chemical Reactions
RXN-19374	EC-2.6.1			Chemical Reactions
RXN-22814	EC-1.1.1.401	PWY-8329		Chemical Reactions
BRANCHED-CHAINAMINOTRANSFERVAL-RXN	EC-2.6.1.42	PWY-8581 // PWY-8183 // PWY-8175 // VALDEG-PWY // VALSYN-PWY // PWY-5057		Chemical Reactions
R164-RXN		P203-PWY		Chemical Reactions
RXN-8568	EC-1.3.1.95	PWY-5494		Chemical Reactions
RXN-16118	EC-2.3.1.51	PWY-6453		Chemical Reactions
ISOBUTYRYL-COA-MUTASE-RXN	EC-5.4.99.13			Chemical Reactions
RXN-8496	EC-4.2.1.121	PWY-5406		Chemical Reactions
RXN-20964	EC-2.3.1.M86			Small-Molecule Reactions
RXN-22468	EC-1.3.3.M5	PWY-8281		Chemical Reactions
RXN-13442	EC-2.3.1	PWY-7727 // PWY-7606 // PWY-7053		Chemical Reactions
RXN-10846	EC-4.3.3.5	PWY-6324		Chemical Reactions
RXN-21046	EC-2.1.1.365			Chemical Reactions
RXN-22036	EC-2.4.99.27	PWY-8196		Chemical Reactions
RXN-13326	EC-2.1.1.257			Chemical Reactions
RXN-15465	EC-1.1.1	PWY-7489	oryzalexin A/C synthase	Chemical Reactions
DOLICHYLDIPHOSPHATASE-RXN	EC-3.6.1.43			Chemical Reactions
RXN-14289	EC-3.1.2.27		chenodeoxychololyl-CoA  hydrolase	Chemical Reactions
RXN-18284	EC-2.4.3.8			Chemical Reactions
RXN-13646	EC-3.2.1	PWY-7091		Chemical Reactions
RXN-8795		RXN-17427		Chemical Reactions
2.4.1.148-RXN	EC-2.4.1.148	PWY-7435		Chemical Reactions
RXN0-3922	EC-1.2.1.99	PWY0-1221		Chemical Reactions
RXN-8830				Chemical Reactions
RXN-8306	EC-1.14.19.35	PWY-782		Chemical Reactions
RXN-12396		PWY-6806		Chemical Reactions
RXN-21195	EC-6.2.2.2	PWY-8118		Chemical Reactions
RXN-22855		PWY-8336		Chemical Reactions
RXN-8710	EC-2.3.1.M35	PWY-5473		Chemical Reactions
RXN1G-536	EC-2.3.1.86	PWYG-321	cerotoyl-[acyl-carrier protein] reductase	Chemical Reactions
RXN-22584	EC-2.5.1			Chemical Reactions
1.2.1.54-RXN	EC-1.2.1.54	PWY-5742 // ARGDEG-IV-PWY		Chemical Reactions
RXN-9335		PWY-5882		Small-Molecule Reactions
RXN-12040		PWY-6687		Chemical Reactions
RXN-8093	EC-1.2.3.1			Chemical Reactions
RXN-21376	EC-2.3.1.65			Chemical Reactions
RXN-16267	EC-1.5.1	PWY66-425 // PWY-7667 // PWY-7668		Chemical Reactions
RXN-4304	EC-1.14.14	PWY-2681		Chemical Reactions
RXN-23351		PWY-8389		Chemical Reactions
GLUCOSIDE-3-DEHYDROGENASE-RXN	EC-1.1.2.11	SUCROSEUTIL2-PWY		Chemical Reactions
RXN-10612		PWY-6261		Small-Molecule Reactions
RXN-10677	EC-2.3.2	PWY-6289		Chemical Reactions
RXN-14173	EC-3.5.1.100			Chemical Reactions
RXN-22054	EC-2.3.1			Chemical Reactions
RXN-20217	EC-2.8.2.15			Chemical Reactions
RXN-18259	EC-2.4.1.86	PWY-7832 // PWY-7833		Chemical Reactions
LTARTDEHYDRA-RXN	EC-4.2.1.32			Chemical Reactions
R309-RXN	EC-3.5.5.7	PWY-7309	Acrylonitrilase	Chemical Reactions
RXN-8606	EC-4.2.3			Chemical Reactions
RXN-9382	EC-2.3.1.183			Chemical Reactions
RXNQT-4335	EC-1.14.13.237	PWYQT-4472		Chemical Reactions
RXN-16245	EC-1.1.1.345	PWY-7767		Chemical Reactions
RXN-10709	EC-1.3.1	PWY-6302		Chemical Reactions
ACYLAGMATINE-AMIDASE-RXN	EC-3.5.1.40			Chemical Reactions
RXN-13636	EC-1.14.11			Chemical Reactions
R601-RXN	EC-1.3.5.1	PWY2O6K-7 // FERMENTATION-PWY // PWY-8086 // PWY0-1576 // P23-PWY // P108-PWY // PWY0-1582 // PWY-5392 // P42-PWY // PWY0-1336 // REDCITCYC		Small-Molecule Reactions
RXN-10896		PWY-6340	OH-DDVA hydrolase	Chemical Reactions
RXN0-6950	EC-2.1.1.264			Chemical Reactions
RXN-11837	EC-5.4.99.23			Chemical Reactions
RXN-16203	EC-2.1.1	PWY-7614		Chemical Reactions
RXN-11613	EC-6.3.2	PWY-6574		Chemical Reactions
DIPHOSPHOMEVALONTE-DECARBOXYLASE-RXN	EC-4.1.1.33	PWY-922 // PWY-7391		Chemical Reactions
L-ARABINOSE-1-DEHYDROGENASE-RXN	EC-1.1.1.46			Chemical Reactions
RXN-15271	EC-2.4.3.1	PWY-7434		Chemical Reactions
RXN-12694	EC-5.3.3.1	PWY-8151 // PWY-6946 // PWY-6945 // CHOLESTEROL-OXIDASE-RXN		Chemical Reactions
3.1.4.43-RXN	EC-3.1.4.43			Chemical Reactions
RXN-12703	EC-1.3.99	PWY-8151 // PWY-6946 // PWY-6945	cholest-4-en-3,27-dione-26-CoA dehydrogenase	Chemical Reactions
RXN-23043	EC-4.1.1.125	PWY-8358		Chemical Reactions
RXN-21532				Chemical Reactions
RXN-22666	EC-6.2.1.77	PWY-8320		Chemical Reactions
RXN-11094		PWY-6397		Chemical Reactions
RXN-16045	EC-2.3.1.23	PWY-5995		Chemical Reactions
IMPCYCLOHYDROLASE-RXN	EC-3.5.4.10	PWY-7234 // PWY-6123 // PWY-6124		Chemical Reactions
RXN-15354	EC-2.3.1	PWY-7458	delphinidin 3-O-rutinoside-7-O-(6-O-(4-O-(glucosyl)-oxybenzoyl)-glucoside acyltransferase	Chemical Reactions
RXN-25358				Chemical Reactions
RIBOSE-ISOMERASE-RXN	EC-5.3.1.20			Chemical Reactions
RXN-5467	EC-2.4.1.259	MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS		Chemical Reactions
RXN-10244		PWY-6199		Chemical Reactions
RXN-9408	EC-1.14.13.107			Chemical Reactions
RXN-16114	EC-1.3.1.93	PWY-7726 // PWY-7728		Chemical Reactions
RXN-20165	EC-3.1.6.1			Chemical Reactions
RXN-17862	EC-2.3.1.255	PWY-7800		Chemical Reactions
RXN-17317	EC-2.3.1.284	PWY-7746		Chemical Reactions
RXN-20195	EC-6.2.1	PWY-8032		Chemical Reactions
RXN-16064	EC-1.14.19.44	PWY-7592 // PWY-7725		Chemical Reactions
4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN	EC-1.14.13.2	PWY-8486 // PWY-8473 // PWY-8002 // PWY-7934 // PWY-7935 // PWY-7757 // PWY-7700 // PWY-6215 // 4-HYDROXYMANDELATE-DEGRADATION-PWY		Chemical Reactions
RXN-7246	EC-3.1.3.62	PWY-4781 // PWY-4702		Chemical Reactions
RXN-23020	EC-3.3.2.10	PWY-8400 // PWY-8356		Chemical Reactions
FGAMSYN-RXN	EC-6.3.5.3	PWY-6122 // PWY-6277 // PWY-6121		Chemical Reactions
PROSTAGLANDIN-I-SYNTHASE-RXN	EC-5.3.99.4	PWY-8397 // PWY66-374		Chemical Reactions
RXN-20537	EC-3.1.1.116			Chemical Reactions
RXN-8560	EC-4.2.3			Chemical Reactions
RXN-19991	EC-1.14.14.104	PWY-5301		Chemical Reactions
RXN-19966		PWY-8428 // RXN-19967		Chemical Reactions
RXN-20716	EC-2.1.2.5			Chemical Reactions
RXN-18889	EC-4.2.3.184			Chemical Reactions
RXN-9781	EC-5.1.99.5			Chemical Reactions
RXN-18155	EC-1.11.1.M1			Small-Molecule Reactions
2.1.1.3-RXN	EC-2.1.1.3			Chemical Reactions
RXN0-7309	EC-3.6.1.76	PWY0-1597		Chemical Reactions
CERAMIDE-GLUCOSYLTRANSFERASE-RXN	EC-2.4.1.80	PWY-7841 // PWY-7839 // PWY-7838 // PWY-7836		Chemical Reactions
RIBITOL-2-DEHYDROGENASE-RXN	EC-1.1.1.56	RIBITOLUTIL-PWY		Chemical Reactions
2.4.1.40-RXN	EC-2.4.1.40			Chemical Reactions
RXN-23147	EC-2.4.1	PWY-8367		Chemical Reactions
HYDROXYMETHYLGLUTARYL-COA-HYDROLASE-RXN	EC-3.1.2.5			Chemical Reactions
RXN-13111	EC-1.14.13.178	PWY-6999		Chemical Reactions
CHENODEOXYCHOLOYLTAURINE-HYDROLASE-RXN	EC-3.5.1.74	PWY-8135		Chemical Reactions
1.3.1.53-RXN	EC-1.3.1.53	PWY-7795		Chemical Reactions
RXN-12968	EC-1.1.1.330	PWY-7592 // PWY-5353		Chemical Reactions
RXN-14760		PWY-7330 // RXN-14994		Chemical Reactions
RXN-15924	EC-1.1.1	PWY-7568		Chemical Reactions
RXN-16214	EC-1.3.1			Chemical Reactions
RXN-14645	EC-1.14.17	PWY-7297		Chemical Reactions
4.3.1.22-RXN	EC-4.3.1.22			Chemical Reactions
RXN-11620	EC-3.2.1.35	PWY-6573		Chemical Reactions
RXN-8322	EC-1.14.19.22	PWY-762		Chemical Reactions
RXN-23263	EC-1.1.3.50	PWY-8446		Chemical Reactions
3.2.1.73-RXN	EC-3.2.1.73			Chemical Reactions
RXN-15703	EC-3.1.3.96			Chemical Reactions
RXN-24582	EC-2.3.1	PWY-8522		Chemical Reactions
CORTISOL-SULFOTRANSFERASE-RXN	EC-2.8.2.18			Chemical Reactions
MYO-INOSITOL-1-KINASE-RXN	EC-2.7.1.64	PWY-6372 // PWY-4661		Chemical Reactions
RXN-3562	EC-1.3.1.45	PWY-2463		Chemical Reactions
RXN-13718		PWY-3101 // PWY-5391 // PWY-5152 // RXN-7782		Chemical Reactions
RXN-22846	EC-6.2.1	PWY-8336		Chemical Reactions
RXN-8515	EC-1.14.13	PWY-5412		Chemical Reactions
RXN-20116	EC-1.1.1.417	PWY-8026		Chemical Reactions
RXN-25319	EC-2.7.8.26	PWY-7969		Chemical Reactions
RXN-20373	EC-1.1.1.418			Chemical Reactions
RXN-16113	EC-4.2.1.134	PWY-7726 // PWY-7728		Chemical Reactions
RXN-715	EC-1.14.14.178	PWY-699		Chemical Reactions
RXN-14714	EC-5.3.3.21	PWY-7307		Chemical Reactions
RXN-20472	EC-5.3.3	PWY-8047		Chemical Reactions
N-ACETYLLACTOSAMINE-SYNTHASE-RXN	EC-2.4.1.90			Chemical Reactions
RXN-23931		RXN-23933		Chemical Reactions
RXN-11663	EC-2.5.1.18	CAMALEXIN-SYN		Chemical Reactions
RXN-16889	EC-2.1.1.321	RXN-17121 // RXN-17120		Chemical Reactions
RXN-10646	EC-1.14.15	PWY-6279		Chemical Reactions
1.14.13.10-RXN	EC-1.14.13.10	P181-PWY		Chemical Reactions
RXN-9419	EC-1.3.99.25	PWY-5927		Chemical Reactions
RXN-25284	EC-1.14.14	PWY-8580		Chemical Reactions
1.2.1.67-RXN	EC-1.2.1.67	PWY-7982 // PWY-7098 // PWY-7097		Chemical Reactions
RXN-11575	EC-4.2.3.49	PWY-5434		Chemical Reactions
2.6.1.14-RXN	EC-2.6.1.14	PWY-4002		Chemical Reactions
3-CYANOALANINE-HYDRATASE-RXN	EC-4.2.1.65	3.5.5.4-RXN // ASPSYNII-PWY		Chemical Reactions
L-IDITOL-2-DEHYDROGENASE-RXN	EC-1.1.1.14			Chemical Reactions
RXN-24620		PWY-8526		Chemical Reactions
RXN18C3-47	EC-2.3.1	PWY18C3-10	sucrose 3-lauroyl-4-isovaleroyl-3'-acetyltransferase	Chemical Reactions
RXN-21600				Small-Molecule Reactions
RXN-20951	EC-2.4.1.374			Chemical Reactions
RXN-22883	EC-3.1.2.33	PWY-3602 // PWY-7471		Chemical Reactions
RXN-14266	EC-4.2.1.17		3-hydroxyisovaleryl-CoA hydratase	Chemical Reactions
RXN-15188	EC-1.14.13	PWY-7430		Chemical Reactions
RXN-25352				Chemical Reactions
RXN-13169	EC-1.14.13	PWY-7009	trihydroybiphenyl 3'-monooxygenase	Chemical Reactions
RXN-15330	EC-2.4.1	PWY-7450		Chemical Reactions
RXN-24987	EC-2.7.11.11			Chemical Reactions
DIHYDROURACIL-DEHYDROGENASE-NAD+-RXN	EC-1.3.1.1			Chemical Reactions
1.3.1.20-RXN	EC-1.3.1.20			Chemical Reactions
RXN-21988	EC-1.1.1.145	PWY-8202		Chemical Reactions
RXN-16433	EC-2.8.1	PWY-5303		Chemical Reactions
RXN-8532		RXN-19786 // PWY-5421		Chemical Reactions
RXN-16485	EC-3.2.1.179 // EC-3.2.1.180	PWY-7645		Chemical Reactions
RXN-24375		PWY-8498		Chemical Reactions
RXN-4316				Chemical Reactions
RXN-11169				Chemical Reactions
RXN-19087		PWY-7937		Chemical Reactions
RXN-25098		RXN-25100		Chemical Reactions
RXN0-2301	EC-1.3.8.4	LEU-DEG2-PWY		Chemical Reactions
RXN-16247	EC-4.2.1.157	PWY-7767		Chemical Reactions
RXN-11548		PWY-6553		Small-Molecule Reactions
RXN-24937	EC-2.4.1			Chemical Reactions
FORMATETHFLIG-RXN	EC-6.3.4.3	PWY-3841 // CODH-PWY // PWY-8480 // PWY-2161 // PWY-8303 // PWY-2201 // PWY-1722		Chemical Reactions
THYMIDYLATE-5-PHOSPHATASE-RXN	EC-3.1.3.35 // EC-3.1.3.89			Chemical Reactions
RXNQT-4352		PWYQT-4476		Chemical Reactions
RXN-19184		PWY-7950		Chemical Reactions
RXN-7143	EC-2.5.1	PWY-4502		Chemical Reactions
RXN-18357	EC-1.5.1.3			Chemical Reactions
RXN-17768	EC-1.1.1.402	PWY-7789		Chemical Reactions
RXN-21812		TRYPTOPHAN-2-DIOXYGENASE-RXN		Chemical Reactions
RXN-18996	EC-2.4.1.353			Chemical Reactions
RXN-15657	EC-2.3.1.13			Chemical Reactions
RXN-11497	EC-2.3.1.194			Chemical Reactions
RXN0-7173	EC-4.2.1			Chemical Reactions
RXN0-5124	EC-2.4.1	PWY1R65-1 // LIPA-CORESYN-PWY		Chemical Reactions
RXN-10676		PWY-6289 // RXN-19494		Chemical Reactions
RXN-13999	EC-2.1.1.268			Chemical Reactions
TRANS-2-ENOYL-COA-REDUCTASE-NAD+-RXN	EC-1.3.1.44			Chemical Reactions
ENTG-RXN		ENTBACSYN-PWY // ENTMULTI-RXN		Small-Molecule Reactions
RXN-9671	EC-2.7.8.13		UDP-<i>N</i>-acetylmuramoyl-pentapeptide:undecaprenyl-phosphate	Chemical Reactions
RXN-20216	EC-2.8.2.15			Chemical Reactions
RXN-21994	EC-3.2.1.M27 // EC-3.2.1.M26			Chemical Reactions
RXN-20483	EC-1.1.1.24			Chemical Reactions
RXN-16927	EC-1.14.19			Chemical Reactions
PGLYCEROLTRANSI-RXN	EC-2.7.8.20			Chemical Reactions
RXN-11334	EC-1.1.99.35			Chemical Reactions
RXN-20233	EC-2.3.1.26			Chemical Reactions
RXN-15305	EC-2.1.1.304	PWY-7671		Chemical Reactions
RXN-17783	EC-1.3.8.8	PWY0-1337		Chemical Reactions
RXN-23229	EC-1.1.1.81			Chemical Reactions
RXN-23510		PWY-8412 // PWY-8400		Chemical Reactions
RXN-16108		PWY-7604		Small-Molecule Reactions
RXN-20678	EC-4.2.1.74	PWY-8568 // PWY0-1337		Chemical Reactions
R205-RXN	EC-4.1.3			Chemical Reactions
RXN-22327				Chemical Reactions
2.3.1.138-RXN	EC-2.3.1.138			Chemical Reactions
RXN-23650	EC-1.21.98.5			Small-Molecule Reactions
RXN-24665	EC-1.1.99.M8			Chemical Reactions
