Reaction	EC-Number	In-Pathway	Common-Name	Names
RXN-10949	EC-3.1.3.25			Chemical Reactions
RXN-25024		PWY-8562		Small-Molecule Reactions
RXN-16499		RXN-24457 // PWY-7650		Chemical Reactions
RXN-21008		PWY-8104 // RXN-7575		Chemical Reactions
RXN-17136	EC-1.11.1.14			Chemical Reactions
RXN-17725	EC-3.1.3			Chemical Reactions
RXN-25042	EC-2.1.1.401			Chemical Reactions
RXN-22938		PWY-8344		Chemical Reactions
RXN66-82	EC-2.1.1.49			Chemical Reactions
RXN-14233	EC-1.1.1.359			Chemical Reactions
RXN-8958	EC-5.4.99.63	PWY-7854 // PWY-5741		Chemical Reactions
HEXANOL-RXN	EC-1.1.1	PWY-6863		Chemical Reactions
RXN-12424	EC-3.2.1.81	PWY-6815		Chemical Reactions
GLYC3PDEHYDROG-RXN	EC-1.1.5.3			Chemical Reactions
RXN-10105	EC-5.5.1.7	PWY-6191		Chemical Reactions
CYTIDEAM-RXN	EC-3.5.4.5	PWY-7181 // PWY-7199		Chemical Reactions
RXN-23873				Chemical Reactions
RXN-22270	EC-1.1.1.141			Chemical Reactions
RXN-21633	EC-1.3.1.9	PWY-8173		Chemical Reactions
RXN-23747		PWY-8438		Chemical Reactions
RXN-20045	EC-4.2.3.200			Chemical Reactions
RXN-23785	EC-2.5.1	PWY-8442		Chemical Reactions
2.4.1.218-RXN	EC-2.4.1.218			Chemical Reactions
3.2.1.82-RXN	EC-3.2.1.82	PWY-7246		Chemical Reactions
RXN-1301	EC-1.17.99.2	PWY-481		Chemical Reactions
RXN-7401	EC-2.7.7.37	PWY-82		Chemical Reactions
RXN-20777	EC-3.1.1.38			Chemical Reactions
RXN-15514	EC-1.3.1.107	PWY-5287		Chemical Reactions
RXN-19216		PWY-7951		Chemical Reactions
1.1.1.178-RXN	EC-1.1.1.178	PWY-5109 // ILEUDEG-PWY		Chemical Reactions
ACETYLPUTRESCINE-DEACETYLASE-RXN	EC-3.5.1.62			Chemical Reactions
RXN-13207	EC-2.4.2	PWY-7018		Chemical Reactions
THTOREDUCT-RXN	EC-1.8.4			Chemical Reactions
RXN-15423	EC-4.1.1	PWY-7480	2-hydroxy-3-carboxy-muconic semialdehyde decarboxylase	Chemical Reactions
RXN-12787	EC-1.1.1	PWY-6948	3-oxo-24-ethyl-26-hydroxy-cholest-4-ene dehydrogenase	Chemical Reactions
DAPASYN-RXN	EC-2.6.1.62	PWY0-1507		Chemical Reactions
2.3.1.49-RXN	EC-2.3.1.49	P2-PWY		Chemical Reactions
RXN-2962	EC-1.1.1.284	PWY-1801		Chemical Reactions
ENTMULTI-RXN	EC-6.3.2.14			Small-Molecule Reactions
RXN-17095	EC-3.1.1.99	PWY-7722		Chemical Reactions
RXN-16803	EC-1.14.12.23			Chemical Reactions
RXN-19844	EC-6.2.1.60			Chemical Reactions
RXN1A0-6307	EC-3.1.2	PWY1A0-6325		Chemical Reactions
RXN-17675	EC-2.4.1.115			Chemical Reactions
RXNN-404	EC-3.5.1.4	PWY-581 // PWY-5025 // PWY-3161		Chemical Reactions
RXN-18793	EC-4.2.3.166			Chemical Reactions
RXN-3766	EC-1.3.1.45	PWY-2464		Chemical Reactions
2.3.1.180-RXN	EC-2.3.1.180	PWY-4381 // PWY1A0-6120		Chemical Reactions
GLYOXYLATE-DEHYDROGENASE-ACYLATING-RXN	EC-1.2.1.17	PWY-6696		Chemical Reactions
RXN-13992	EC-3.5.4.37			Chemical Reactions
RXN-19089	EC-1.14.99.59	PWY-7936		Chemical Reactions
IMIDAZOLE-N-ACETYLTRANSFERASE-RXN	EC-2.3.1.2			Chemical Reactions
RXN-11263	EC-2.1.1	PWY-6442		Chemical Reactions
RXN-9502	EC-1.14.14.117	PWY-5960		Chemical Reactions
RXN-19801	EC-1.3.8	PWY-8152 // PWY-6944		Chemical Reactions
2.3.1.143-RXN	EC-2.3.1.143	PWY-5475		Chemical Reactions
D-XYLULOSE-REDUCTASE-RXN	EC-1.1.1.9	LARABITOLUTIL-PWY		Chemical Reactions
RXN-18661	EC-2.7.7.99	PWY-7883		Chemical Reactions
RXN-16152	EC-2.3.1.23	PWY-6433		Chemical Reactions
H2-METHYLENE-THMPT-DEHYDRO-RXN	EC-1.12.98.2	PWY-7784 // METHANOGENESIS-PWY		Chemical Reactions
LIPIDXSYNTHESIS-RXN	EC-3.6.1.54	NAGLIPASYN-PWY		Chemical Reactions
RXN-9887	EC-3.1.1.45	PWY-6093		Chemical Reactions
RXN-10859		PWY-6326		Chemical Reactions
RXN-12096	EC-3.7.1.26	PWY-8318 // PWY-6714		Chemical Reactions
RXN-11237	EC-1.17.5.3			Chemical Reactions
RXN-16479	EC-1.14.13.181	PWY-7352		Chemical Reactions
RXN-8755	EC-1.17.99.M4	P164-PWY		Chemical Reactions
RXN18C3-27	EC-2.3.1	PWY18C3-8	sucrose 4-decanoyltransferase	Chemical Reactions
RXN-8902		PWY-5706		Chemical Reactions
RXN-17107	EC-1.2.1.50	PWY-7723		Chemical Reactions
RXN-14612		RXN-14601		Chemical Reactions
RXN-23420	EC-1.14.14	PWY-8397		Chemical Reactions
RXN-20377	EC-4.2.1.134	PWY-7035		Chemical Reactions
