Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
3893R_RL_M_S5_week10_S64_L001_R1_001	3893R_RL_M_S5_week10_S64_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	96232.0	0.0	57-301	49.0	2.1801479757253306	278.34658949206084	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
3893R_RL_M_S5_week10_S64_L001_R2_001	3893R_RL_M_S5_week10_S64_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	96232.0	0.0	50-301	52.0	4.662690165433536	258.6494513259623	277	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
3893R_R_M_S5_week10_S63_L001_R1_001	3893R_R_M_S5_week10_S63_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	112243.0	0.0	50-301	50.0	1.8745044234384327	277.5745748064467	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
3893R_R_M_S5_week10_S63_L001_R2_001	3893R_R_M_S5_week10_S63_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	112243.0	0.0	50-301	52.0	3.968176189161017	258.1244086490917	277	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
3894R_0_M_NS6_week10_S71_L001_R1_001	3894R_0_M_NS6_week10_S71_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	111127.0	0.0	53-301	48.0	2.0175114958560925	278.56274352767554	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
3894R_0_M_NS6_week10_S71_L001_R2_001	3894R_0_M_NS6_week10_S71_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	111127.0	0.0	50-301	51.0	3.5958857883322684	265.3582477705688	277	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	pass
3896R_0_M_S2_week10_S52_L001_R1_001	3896R_0_M_S2_week10_S52_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100883.0	0.0	55-301	49.0	1.9160810047282495	278.509114518799	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
3896R_0_M_S2_week10_S52_L001_R2_001	3896R_0_M_S2_week10_S52_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100883.0	0.0	50-301	52.0	3.426741869294133	260.14822120674444	277	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
3896R_L_M_S2_week10_S53_L001_R1_001	3896R_L_M_S2_week10_S53_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	136973.0	0.0	52-301	49.0	1.785023325764932	278.27513451556143	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
3896R_L_M_S2_week10_S53_L001_R2_001	3896R_L_M_S2_week10_S53_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	136973.0	0.0	50-301	52.0	3.557635446401845	259.84260401685003	277	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
3909R_R_M_S2_week10_S54_L001_R1_001	3909R_R_M_S2_week10_S54_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	122235.0	0.0	51-301	49.0	1.8652595410479815	278.4221622284943	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
3909R_R_M_S2_week10_S54_L001_R2_001	3909R_R_M_S2_week10_S54_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	122235.0	0.0	50-301	52.0	3.719065734036896	259.6404057757598	277	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
3974R_0_M_NS1_week10_S79_L001_R1_001	3974R_0_M_NS1_week10_S79_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	110731.0	0.0	56-301	49.0	1.943448537446605	277.85231777912236	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
3974R_0_M_NS1_week10_S79_L001_R2_001	3974R_0_M_NS1_week10_S79_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	110731.0	0.0	50-301	52.0	4.657232392013077	258.6052776548573	277	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
3974R_L_M_NS1_week10_S80_L001_R1_001	3974R_L_M_NS1_week10_S80_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	117904.0	0.0	50-301	49.0	1.8616840819649885	278.6276716650835	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
3974R_L_M_NS1_week10_S80_L001_R2_001	3974R_L_M_NS1_week10_S80_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	117904.0	0.0	50-301	52.0	4.6207083729135565	258.74754037182794	277	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
Positive_control_S89_L001_R1_001	Positive_control_S89_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	143806.0	0.0	50-301	52.0	1.6995118423431568	276.9059357745852	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Positive_control_S89_L001_R2_001	Positive_control_S89_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	143806.0	0.0	50-301	54.0	3.8461538461538463	262.1587555456657	277	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
T1D_NS1_defined_mouse_inocula_S81_L001_R1_001	T1D_NS1_defined_mouse_inocula_S81_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	115400.0	0.0	50-301	50.0	2.3431542461005197	277.47242634315427	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
T1D_NS1_defined_mouse_inocula_S81_L001_R2_001	T1D_NS1_defined_mouse_inocula_S81_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	115400.0	0.0	50-301	52.0	5.2417677642980935	261.4924956672444	277	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
T1D_NS6_defined_mouse_inocula_S82_L001_R1_001	T1D_NS6_defined_mouse_inocula_S82_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	104691.0	0.0	57-301	50.0	2.4051733195785694	278.45841571863866	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
T1D_NS6_defined_mouse_inocula_S82_L001_R2_001	T1D_NS6_defined_mouse_inocula_S82_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	104691.0	0.0	50-301	52.0	4.807481063319674	261.61637581071915	277	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
T1D_S2_defined_mouse_inocula_S83_L001_R1_001	T1D_S2_defined_mouse_inocula_S83_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	108250.0	0.0	52-301	51.0	2.4637413394919165	278.32117321016165	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
T1D_S2_defined_mouse_inocula_S83_L001_R2_001	T1D_S2_defined_mouse_inocula_S83_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	108250.0	0.0	50-301	52.0	4.339030023094688	261.48354734411083	277	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
T1D_S5_defined_mouse_inocula_S84_L001_R1_001	T1D_S5_defined_mouse_inocula_S84_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98524.0	0.0	52-301	51.0	2.3618610693841093	277.711400267955	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
T1D_S5_defined_mouse_inocula_S84_L001_R2_001	T1D_S5_defined_mouse_inocula_S84_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98524.0	0.0	50-301	53.0	4.655718403637692	261.1647111363729	277	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
negative_control_S90_L001_R1_001	negative_control_S90_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6085.0	0.0	75-301	53.0	2.645850451930978	278.07115858668857	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
negative_control_S90_L001_R2_001	negative_control_S90_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6085.0	0.0	53-281	56.0	6.902218570254724	258.1912900575185	277	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
