Sample name,Internal sample name,Suffix,Taxonomy (GTDB-tk),Community,NS1,NS6,S2,S5,Source sample ID
G37020_23_EtOH_AN,S_NS1_Fp_020,020,Flavonifractor plautii,NS1,X,,,,T1D_NS_1
T1D_NS_6_20_GAM_AN,S_NS6_Fp_052,052,Flavonifractor plautii,NS6,,X,,,T1D_NS_6
T1D_S_2_7_TSA_AN,S_S2_Fp_080,080,Flavonifractor plautii,S2,,,X,,T1D_S_2
T1D_S_5_1_CNA_AN,S_S5_Fp_106,106,Flavonifractor plautii,S5,,,,X,T1D_S_5
T1D_S_2_4_CNA_AN,S_S2_Hf_081,081,Holdemania filiformis,S2,,,X,,T1D_S_2
T1D_S_5_41_BHI_AN,S_S5_Hf_107,107,Holdemania filiformis,S5,,,,X,T1D_S_5
T1D_NS_0_9_FAA_AN,S_NS1_He_021,021,Hungatella effluvii,NS1,X,,,,T1D_NS_0
T1D_NS_6_44_BHI_AN,S_NS6_He_053,053,Hungatella effluvii,NS6,,X,,,T1D_NS_6
T1D_S_2_1_MRS_AN,S_S2_He_082,082,Hungatella effluvii,S2,,,X,,T1D_S_2
T1D_S_2_5_MRS_AN,S_S2_Rf_084,084,Hungatella effluvii,S2,,,X,,T1D_S_2
T1D_S_5_6_FAA(EtOH)_AN,S_S5_He_108,108,Hungatella effluvii,S5,,,,X,T1D_S_5
T1D_NS_6_27_BHI_AN,S_NS6_Hh_054,054,Hungatella hathewayi,NS6,,X,,,T1D_NS_6
G37020_EtOH_49_AN,S_NS1_Ig_115,115,Instestinimonas_A celer,NS1,X,,,,T1D_NS_1
T1D_S_2_10_TSA__AN,S_S2_Cs_071,071,Otoolea symbiosa,S2,,,X,,T1D_S_2
G37020_NB_39_AN,S_NS1_Pd_022,022,Parabacteroides distasonis,NS1,X,,,,T1D_NS_1
T1D_NS_6_15_NB_AN,S_NS6_Pd_055,055,Parabacteroides distasonis,NS6,,X,,,T1D_NS_6
T1D_S_3_2_GC_AN,S_S2_Pd_083,083,Parabacteroides distasonis,S2,,,X,,T1D_S_3
T1D_S_5_12_TSA_AN,S_S5_Pd_110,110,Parabacteroides distasonis,S5,,,,X,T1D_S_5
T1D_S_5_36_SKV_AN,S_S5_Pd_111,111,Parabacteroides distasonis,S5,,,,X,T1D_S_5
G37020_41_FAA_AN,S_NS1_Pm_023,023,Parabacteroides merdae,NS1,X,,,,T1D_NS_1
T1D_NS_6_18_PEC_AN,S_NS6_Pm_056,056,Parabacteroides merdae,NS6,,X,,,T1D_NS_6
T1D_S_2_2_TSA_AN,S_S2_Bd_064,064,Phocaeicola dorei,S2,,,X,,T1D_S_2
G37020_32_TSA_AN,S_NS1_Bv_007,007,Phocaeicola vulgatus,NS1,X,,,,T1D_NS_1
T1D_NS_6_101_GAM_AN,S_NS6_Bv_037,037,Phocaeicola vulgatus,NS6,,X,,,T1D_NS_6
T1D_S_2_1_YPD_AN,S_S2_Bv_065,065,Phocaeicola vulgatus,S2,,,X,,T1D_S_2
T1D_S_5_11_FCC_AN,S_S5_Bv_093,093,Phocaeicola vulgatus,S5,,,,X,T1D_S_5
T1D_NS_6_148_TSA_AN,S_NS6_Pp_057,057,Pseudoflavonifractor_A sp022772585,NS6,,X,,,T1D_NS_6
T1D_S_2_5_MRS_AN,S_S2_Rf_118,118,Roseburia_C amylophila,S2,,,X,,T1D_S_2
T1D_S_3_2_FAA(EtOH)_AN,S_S2_Rg_085,085,Ruminococcus_B gnavus,S2,,,X,,T1D_S_3
T1D_S_5_11_FMU_AN,S_S5_Rg_113,113,Ruminococcus_B gnavus,S5,,,,X,T1D_S_5
G37020_NB_38_AN,S_NS1_Cp_013,013,Sarcina perfringens,NS1,X,,,,T1D_NS_1
T1D_NS_0_2_FAA_(EtOH)_AN,S_NS6_Cp_043,043,Sarcina perfringens,NS6,,X,,,T1D_NS_0
T1D_S_2 1 FMU AER,S_S2_Sc_086,086,Staphylococcus capitis,S2,,,X,,T1D_NS_6
T1D_S_5_36_BHI_AER,S_S5_Sc_120,120,Staphylococcus epidermidis,S5,,,,X,????
G37020_49_NB_AN,S_NS1_Shsn_025,025,Staphylococcus hominis,NS1,X,,,,T1D_NS_1
T1D_NS_6_158_CNA_AN,S_NS6_Sh_058,058,Staphylococcus hominis,NS6,,X,,,T1D_NS_6
T1D_S_2_1_YPD_AER,S_S2_Shsn_087,087,Staphylococcus hominis,S2,,,X,,T1D_S_2
G37020_FAA_3_AER,S_NS1_Ss_026,026,Streptococcus sp001556435,NS1,X,,,,T1D_NS_1
T1D_NS_0_5_CNA_AER,S_NS6_Ss_059,059,Streptococcus sp001556435,NS6,,X,,,T1D_NS_0
G37020C_Pec_17_AN,S_NS1_Sw_027,027,Sutterella wadsworthensis,NS1,X,,,,T1D_NS_1
T1D_NS_6_13_MRS_AN,S_NS6_Sw_060,060,Sutterella wadsworthensis,NS6,,X,,,T1D_NS_6
