ID	Total pathways	Naive	MinPath	Bacteria	Non-Bacteria	Glycan pathways	Metabolite activation/inactivation/interconversion	Macromolecule modification	Detoxification	Transport	Bioluminescence/fluorescence/chromoprotein biosynthesis	Degradation/utilization/assimilation	Superpathways	Generation of precursor metabolites and energy	Metabolic clusters	nan	Biosynthesis
S_S5_Hf_107_default_parsed_report.tsv	228	228	113	162	66	8	1	14	2	0	0	62	132	44	9	224	105
S_NS6_Em_046_v1v9_default_parsed_report.tsv	387	387	251	281	106	22	4	16	7	0	1	94	208	71	18	384	201
S_NS6_Bu_034_v1v9_default_parsed_report.tsv	365	365	252	253	112	21	5	12	5	0	1	75	200	62	17	361	207
S_S5_Bv_093_v1v9_default_parsed_report.tsv	409	409	281	291	118	23	5	13	7	0	1	100	214	68	20	405	221
S_NS6_Hh_054_v1v9_default_parsed_report.tsv	378	378	253	274	104	16	5	12	5	0	1	103	208	64	14	375	191
S_S2_Rf_084_default_parsed_report.tsv	375	375	253	272	103	15	5	13	5	0	1	103	203	63	15	372	188
S_S2_Et_075_v1v9_default_parsed_report.tsv	405	405	275	295	110	17	4	15	7	0	1	117	220	68	18	402	199
S_S2_Shsn_087_v1v9_default_parsed_report.tsv	387	387	256	266	121	7	7	16	7	0	1	99	197	68	20	384	196
S_S2_Af_119_default_parsed_report.tsv	328	328	215	224	104	17	3	12	5	0	1	61	181	55	15	324	194
S_NS6_Sh_058_default_parsed_report.tsv	387	387	256	267	120	7	7	16	7	0	1	99	197	68	20	384	196
S_S5_Rf_112_default_parsed_report.tsv	338	338	218	252	86	14	3	14	4	0	0	84	204	52	13	335	182
S_S2_Am_061_v1v9_default_parsed_report.tsv	330	330	216	231	99	13	4	14	3	0	0	54	188	64	16	326	192
S_S2_Rf_084_v1v9_default_parsed_report.tsv	375	375	253	272	103	15	5	13	5	0	1	103	203	63	15	372	188
S_S5_Cc_098_v1v9_default_parsed_report.tsv	398	398	258	291	107	11	4	14	4	0	0	111	219	76	16	395	193
